page,table_count,text_len
1,0,0
2,0,286
3,0,1525
4,0,131
5,2,3413
6,0,2756
7,0,791
8,0,5270
9,0,2955
10,0,4014
11,0,4016
12,0,5773
13,0,5900
14,0,5884
15,0,5787
16,0,5093
17,0,4690
18,0,4594
19,3,5529
20,0,4882
21,0,2173
22,0,3989
23,0,2412
24,0,5754
25,0,2572
26,0,1218
27,3,4576
28,0,3449
29,0,5394
30,0,3374
31,0,4
32,0,4673
33,1,5112
34,0,5215
35,2,5114
36,0,5248
37,0,1187
38,0,1960
39,0,48
40,0,1
41,0,2643
42,0,2662
43,0,2497
44,0,2589
45,0,2512
46,0,2479
47,0,2836
48,0,2816
49,0,2300
50,0,2816
51,0,2612
52,0,2464
53,0,2553
54,0,2824
55,0,2752
56,0,1828
57,0,580
58,0,1598
59,0,1400
60,0,1519
61,0,1416
62,0,956
63,0,1563
64,0,1607
65,0,1636
66,0,1604
67,0,1379
68,0,1054
69,0,33
70,0,2
71,0,2367
72,0,2352
73,0,2275
74,0,2669
75,0,2479
76,0,2417
77,0,2754
78,0,2835
79,0,2087
80,0,2677
81,0,2374
82,0,2348
83,0,2385
84,0,2366
85,0,2438
86,0,2256
87,0,896
88,0,1729
89,0,1461
90,0,1681
91,0,1625
92,0,1573
93,0,1690
94,0,1739
95,0,1756
96,0,1724
97,0,1476
98,0,1121
99,0,31
100,0,2
101,0,2042
102,0,2232
103,0,1999
104,0,2074
105,0,2000
106,0,1858
107,0,2245
108,0,2199
109,0,1894
110,0,2304
111,0,1923
112,0,1903
113,0,2008
114,0,2158
115,0,2311
116,0,1236
117,0,1927
118,0,1676
119,0,1640
120,0,1554
121,0,1483
122,0,1683
123,0,1722
124,0,1706
125,0,1740
126,0,1581
127,0,1598
128,0,585
129,0,22
130,0,2
131,0,1622
132,0,1647
133,0,1584
134,0,1901
135,0,1728
136,0,1677
137,0,1851
138,0,1988
139,0,1665
140,0,2039
141,0,1829
142,0,1743
143,0,1637
144,0,1783
145,0,1804
146,0,1027
147,0,1206
148,0,3
149,0,39
150,0,3
151,0,2618
152,0,2558
153,0,2805
154,0,2981
155,0,2389
156,0,2555
157,0,2754
158,0,2953
159,0,2234
160,0,2381
161,0,2698
162,0,2566
163,0,2649
164,0,2848
165,0,2667
166,0,2917
167,0,2052
168,0,2250
169,0,2420
170,0,2750
