page,best_strategy,attempts
1,none,"[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}]"
2,none,"[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 18, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 15, ""score"": 0}]"
3,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 36, ""score"": 15}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 36, ""score"": 15}]"
4,none,"[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}]"
5,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 2, ""rows"": 6, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 2, ""rows"": 6, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 79, ""score"": 6}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 11, ""score"": 2}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 6, ""rows"": 18, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 44, ""score"": 6}]"
6,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 67, ""score"": 3}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 3, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 67, ""score"": 3}]"
7,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 45, ""score"": 30}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 1, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 45, ""score"": 30}]"
8,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 56, ""score"": 43}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 56, ""score"": 43}]"
9,"{""horizontal_strategy"": ""text"", ""join_tolerance"": 5, ""snap_tolerance"": 5, ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 33, ""score"": 24}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 31, ""score"": 25}]"
10,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 92, ""score"": 119}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 17, ""score"": 65}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 44, ""score"": 81}]"
