ifct_code,nutrient_code,value,unit,per_amount,per_unit,source_table,source_page,confidence,source
A001,moisture,9.89,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A001,protein,14.59,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A001,ash,2.78,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A001,total_fat,5.74,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A001,total_dietary_fiber,7.02,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A001,insoluble_dietary_fiber,5.76,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A001,soluble_dietary_fiber,1.26,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A001,carbohydrate,59.98,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A001,energy,1490.0,kcal,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A003,moisture,8.97,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A003,protein,10.96,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A003,ash,1.37,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A003,total_fat,5.43,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A003,total_dietary_fiber,11.49,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A003,insoluble_dietary_fiber,9.14,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A003,soluble_dietary_fiber,2.34,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A003,carbohydrate,61.78,g,100,g,Proximate Principles and Dietary Fiber,41,0.9,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
