ifct_code,name,normalized_name,group,scientific_name,edible_portion,source,source_attribution
A001,"(All values are expressed per 100g edible portion; All blank space in the table represent below detectable limit) Thiamine Riboflavin Niacin Pantothenic Biotin T o t a l Folates T otal Ascorbic A CEREALS AND MILLETS Amaranth seed, black (Amaranthus cruentus)",all values are expressed per 100g edible portion all blank space in the table represent below detectable limit thiamine riboflavin niacin pantothenic biotin t o t a l folates t otal ascorbic a cereals and millets amaranth seed black amaranthus cruentus,,,,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR.","Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A003,"(All values are expressed per 100g edible portion; All blank space in the table represent below detectable limit) Tocopherols Tocotrienols Ergocalcife α-Tocopherol Phylloquino rol (D2) Equivalent Alpha Beta Gamma Delta Alpha Beta Gamma Delta nes (K1) A CEREALS AND MILLETS Amaranth seed, black (Amaranthus cruentus) Amaranth seed, pale brown (Amaranthus cruentus) Bajra (Pennisetum typhoideum)",all values are expressed per 100g edible portion all blank space in the table represent below detectable limit tocopherols tocotrienols ergocalcife tocopherol phylloquino rol d2 equivalent alpha beta gamma delta alpha beta gamma delta nes k1 a cereals and millets amaranth seed black amaranthus cruentus amaranth seed pale brown amaranthus cruentus bajra pennisetum typhoideum,,,,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR.","Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A004,Barley (Hordeum vulgare),barley hordeum vulgare,,,,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR.","Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A005,Jowar (Sorghum vulgare),jowar sorghum vulgare,,,,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR.","Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A006,"Maize, dry (Zea mays)",maize dry zea mays,,,,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR.","Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A007,"Maize, tender, local (Zea mays)",maize tender local zea mays,,,,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR.","Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A008,"Maize, tender, sweet (Zea mays)",maize tender sweet zea mays,,,,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR.","Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A009,Quinoa(Chenopodium quinoa),quinoa chenopodium quinoa,,,,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR.","Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A010,Ragi (Eleusine coracana),ragi eleusine coracana,,,,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR.","Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
A011,Rice flakes (Oryza sativa ),rice flakes oryza sativa,,,,"Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR.","Source: Indian Food Composition Tables 2017, National Institute of Nutrition / ICMR."
