code,name,category,unit,original_column,isMacro,isVitamin,isMineral
moisture,Moisture,proximate,g,Moisture,True,False,False
protein,Protein,proximate,g,Protein,True,False,False
ash,Ash,proximate,g,Ash,True,False,False
total_fat,Total Fat,proximate,g,Total Fat,True,False,False
total_dietary_fiber,Total Dietary Fiber,proximate,g,Total Dietary Fiber,True,False,False
insoluble_dietary_fiber,Insoluble Dietary Fiber,proximate,g,Insoluble Dietary Fiber,False,False,False
soluble_dietary_fiber,Soluble Dietary Fiber,proximate,g,Soluble Dietary Fiber,False,False,False
carbohydrate,Carbohydrate,proximate,g,Carbohydrate,True,False,False
energy,Energy,proximate,kcal,Energy,True,False,False
thiamine,Thiamine,water_soluble_vitamin,mg,Thiamine,False,True,False
riboflavin,Riboflavin,water_soluble_vitamin,mg,Riboflavin,False,True,False
niacin,Niacin,water_soluble_vitamin,mg,Niacin,False,True,False
phosphorus,Phosphorus,mineral,mg,Pantothenic Acid,False,False,True
vitamin_b6,Vitamin B6,water_soluble_vitamin,mg,Vitamin B6,False,True,False
biotin,Biotin,water_soluble_vitamin,mg,Biotin,False,True,False
total_folates,Total Folates,water_soluble_vitamin,mg,Total Folates,False,True,False
vitamin_c,Vitamin C,water_soluble_vitamin,mg,Vitamin C,False,True,False
vitb6a,VITB6A,water_soluble_vitamin,mg,VITB6A,False,True,False
calcium,Calcium,mineral,mg,ERGCAL,False,False,True
toctra,TOCTRA,fat_soluble_vitamin,mg,TOCTRA,False,True,False
toctrb,TOCTRB,fat_soluble_vitamin,mg,TOCTRB,False,True,False
toctrg,TOCTRG,fat_soluble_vitamin,mg,TOCTRG,False,True,False
vitamin_a_retinol,Vitamin A (Retinol),fat_soluble_vitamin,mg,Vitamin A (Retinol),False,True,False
cholesterol,Cholesterol,fat_soluble_vitamin,mg,Cholesterol,False,True,False
toctrd,TOCTRD,fat_soluble_vitamin,mg,TOCTRD,False,True,False
vite,VITE,fat_soluble_vitamin,mg,VITE,False,True,False
potassium,Potassium,mineral,mg,VITK2,False,False,True
lutn,LUTN,carotenoid,mg,LUTN,False,True,False
zea,ZEA,carotenoid,mg,ZEA,False,True,False
cereals,CEREALS,mineral,mg,CEREALS,False,False,True
and,AND,mineral,mg,AND,False,False,True
millets,MILLETS,mineral,mg,MILLETS,False,False,True
iron,Iron,mineral,mg,Iron,False,False,True
zinc,Zinc,mineral,mg,Zinc,False,False,True
sodium,Sodium,mineral,mg,Sodium,False,False,True
