edoc dooF,,Food Name,,snoigeR fo .oN,Moisture,Protein,Ash,Total Fat,Die,tary Fibre,Soluble,Carbohydrate,Energy
,,,,,,,,,Total,Insoluble,,,
,,,,,,,,g,,,,,KJ
,,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
C008,Bathua leaves (Ch,enopodium album,),2,88.77,2.50,1.71,0.44,4.01,2.34,1.68,2.56,116
C009,Beet greens (Beta,vulgaris),,6,86.68±1.35,2.38±0.35,2.69±0.12,0.75±0.02,3.64±0.13,2.20±0.10,1.43±0.19,3.86±1.63,145±23
C010,"Betel leaves, big (",kolkata) (Piper be,tle),6,84.93±0.85,2.51±0.29,2.33±0.18,0.75±0.02,2.12±0.20,1.32±0.16,0.80±0.05,7.37±0.66,202±14
C011,"Betel leaves, sma",ll (Piper betle),,4,85.92±0.16,2.62±0.28,2.59±0.18,0.75±0.04,1.97±0.13,1.17±0.12,0.80±0.09,6.16±0.33,183±2
C012,Brussels sprouts gemmifera),(Brassica olerace,a var.,1,84.39,4.26,1.47,0.50,4.29,3.35,0.94,5.09,185
C013,"Cabbage, Chines",e (Brassica rupa),,1,93.19,1.58,0.73,0.13,2.01,1.55,0.45,2.36,75
C014,"Cabbage, collard viridis)",greens (Brassica,oleracea var.,1,89.53,3.63,0.81,0.27,2.98,2.04,0.94,2.79,126
C015,"Cabbage, green ( f. alba)",Brassica oleracea,var. capitata,6,91.85±0.97,1.36±0.07,0.67±0.06,0.12±0.01,2.76±0.20,1.91±0.18,0.85±0.10,3.25±0.91,90±16
C016,"Cabbage, violet ( f. rubra)",Brassica oleracea,var. capitata,2,91.94,1.39,0.71,0.21,2.21,1.58,0.62,3.54,97
C017,Cauliflower leave botrytis),s (Brassica olerac,ea var.,6,87.64±1.33,3.90±0.87,1.22±0.12,0.42±0.02,3.43±0.26,2.37±0.20,1.06±0.12,3.39±0.70,148±22
C018,"Colocasia leaves,",green (Colocasia,anti-quorum),6,83.61±0.59,3.42±0.29,2.30±0.11,1.38±0.09,5.60±0.18,4.32±0.16,1.29±0.12,3.69±0.49,182±9
C019,Drumstick leaves,(Moringa oleifera),,3,75.65±1.49,6.41±0.35,2.46±0.18,1.64±0.12,8.21±0.19,6.12±0.08,2.10±0.11,5.62±1.44,282±27
C020,Fenugreek leaves,(Trigonella foenu,m graecum),5,86.73±0.66,3.68±0.36,1.69±0.19,0.83±0.02,4.90±0.21,3.20±0.14,1.70±0.09,2.17±0.32,144±10
C021,Garden cress (Le,pidium sativum),,2,84.02,5.62,2.48,0.80,2.60,1.77,0.83,4.48,208
C022,"Gogu leaves, gre",en (Hibiscus canna,binus),4,87.42±0.41,1.86±0.16,0.98±0.08,1.09±0.03,4.59±0.39,3.24±0.16,1.35±0.30,4.06±0.18,152±2
C023,"Gogu leaves, red",(Hibiscus cannabi,nus),1,87.98,1.85,0.97,1.07,3.89,2.66,1.23,4.24,153
C024,"Knol-Khol, leaves gongylodes)",(Brassica olerace,a var.,2,86.20,3.12,1.42,0.35,2.76,1.81,0.95,6.16,178
C025,Lettuce (Lactuca s,ativa),,3,92.27±0.99,1.54±0.48,1.11±0.10,0.27±0.03,1.79±0.24,1.32±0.04,0.47±0.28,3.01±0.56,91±16
C026,Mustard leaves (B,rassica juncea),,3,88.17±0.56,3.52±0.21,1.47±0.11,0.51±0.05,3.92±0.06,3.04±0.03,0.87±0.03,2.41±0.46,127±9
