edoc dooF,F,ood Name,snoigeR fo .oN,Moisture,Protein,Ash,Total Fat,Die,tary Fibre,Soluble,Carbohydrate,Energy
,,,,,,,,Total,Insoluble,,,
,,,,,,,g,,,,,KJ
,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
D013,Brinjal-4 (Solanum m,elongena),4,90.28±1.21,1.51±0.24,0.66±0.09,0.31±0.03,4.04±0.65,3.03±0.82,1.01±0.22,3.19±0.86,100±18
D014,Brinjal-5 (Solanum m,elongena),3,89.45±1.73,1.38±0.26,0.72±0.12,0.29±0.06,4.13±0.70,3.10±0.43,1.03±0.29,4.02±2.01,111±38
D015,Brinjal-6 (Solanum m,elongena),2,90.57,1.46,0.72,0.29,3.68,3.00,0.68,3.29,97
D016,Brinjal-7 (Solanum m,elongena),1,91.25,1.40,0.57,0.37,3.32,2.30,1.02,3.10,98
D017,Brinjal-8(Solanum m,elongena),3,89.28±0.39,1.82±0.16,0.80±0.06,0.33±0.04,4.01±0.48,2.79±0.53,1.22±0.05,3.75±0.18,117±2
D018,Brinjal-9(Solanum m,elongena),2,89.83,1.47,0.83,0.35,4.00,2.94,1.06,3.52,106
D019,Brinjal-10 (Solanum,melongena),2,89.38,1.68,0.72,0.25,3.90,2.74,1.16,4.08,116
D020,Brinjal-11 (Solanum,melongena),6,89.93±0.89,1.43±0.20,0.68±0.07,0.31±0.04,4.12±0.52,2.95±0.56,1.17±0.28,3.53±1.01,105±16
D021,Brinjal-12 (Solanum,melongena),2,90.94,1.60,0.58,0.27,3.89,2.70,1.19,2.73,93
D022,Brinjal-13(Solanum,melongena),1,89.14,1.49,0.64,0.31,3.92,2.61,1.31,4.51,124
D023,Brinjal-14(Solanum,melongena),3,90.31±0.06,1.56±0.19,0.64±0.02,0.35±0.03,3.87±0.59,2.50±0.76,1.37±0.24,3.27±0.39,106±9
D024,Brinjal-15 (Solanum,melongena),4,89.44±0.96,1.58±0.27,0.74±0.05,0.29±0.03,3.99±0.79,2.82±0.72,1.17±0.08,3.96±0.19,114±6
D025,Brinjal-16(Solanum,melongena),1,90.39,1.26,0.80,0.34,3.74,2.54,1.20,3.46,103
D026,Brinjal-17(Solanum,melongena),1,90.83,1.18,0.81,0.36,3.94,2.80,1.14,2.89,91
D027,Brinjal-18 (Solanum,melongena),3,89.07±0.78,1.47±0.15,0.66±0.02,0.33±0.06,4.38±0.25,3.23±0.15,1.15±0.18,4.10±0.88,116±18
D028,Brinjal-19(Solanum,melongena),3,90.41±0.55,1.26±0.06,0.66±0.05,0.31±0.02,3.97±0.18,2.81±0.42,1.16±0.27,3.39±0.36,100±8
D029,Brinjal-20(Solanum,melongena),5,90.65±0.79,1.44±0.21,0.68±0.08,0.34±0.04,3.73±0.21,2.64±0.37,1.09±0.21,3.15±0.60,99±10
D030,Brinjal-21(Solanum,melongena),2,89.83,1.36,0.69,0.35,3.85,2.57,1.28,3.93,113
D031,Brinjal - all varieties,(Solanum melongena),6,90.00±0.90,1.48±0.22,0.70±0.08,0.32±0.04,3.98±0.49,2.84±0.52,1.14±0.22,3.52±0.80,106±15
D032,Broad beans (Vicia f,aba),3,84.20±0.17,3.85±0.13,1.05±0.08,0.15±0.01,8.63±0.15,6.61±0.07,2.03±0.09,2.11±0.11,123±4
