edoc dooF,,Food Nam,e,,snoigeR fo .oN,Moisture,Protein,Ash,Total Fat,Die,tary Fibre,Soluble,Carbohydrate,Energy
,,,,,,,,,,Total,Insoluble,,,
,,,,,,,,,g,,,,,KJ
,,,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
D055,"Kovai, small (",Coccinia cordif,olia,),1,92.40,1.22,0.47,0.24,3.25,2.14,1.12,2.41,80
D056,Ladies finger,(Abelmoschus,esc,ulentus),6,89.06±0.30,2.08±0.37,0.94±0.09,0.22±0.03,4.08±0.20,2.80±0.29,1.28±0.37,3.62±0.26,115±5
D057,"Mango, green",", raw (Mangife",ra i,ndica),6,85.14±0.59,0.69±0.09,0.49±0.07,0.08±0.02,3.01±0.19,1.68±0.15,1.34±0.11,10.59±0.37,205±8
D058,"Onion, stalk (",Allium cepa),,,6,88.35±0.79,2.07±0.21,1.13±0.09,0.26±0.02,5.21±0.10,3.76±0.07,1.45±0.11,2.99±0.50,107±12
D059,"Papaya, raw (",Carica papaya),,,6,92.04±0.44,0.50±0.06,0.55±0.06,0.23±0.03,2.28±0.05,1.32±0.04,0.96±0.04,4.40±0.37,100±7
D060,Parwar (Tricho,santhes dioica,),,6,91.57±0.27,1.40±0.10,0.59±0.03,0.30±0.04,2.61±0.07,1.82±0.04,0.79±0.07,3.54±0.32,101±5
D061,"Peas, fresh (P",isum sativum),,,6,73.37±1.13,7.25±1.03,1.05±0.02,0.13±0.02,6.32±0.26,5.04±0.19,1.28±0.25,11.88±0.67,340±19
D062,"Plantain, flow",er (Musa x par,adis,iaca),6,89.14±0.59,1.47±0.12,1.35±0.09,0.63±0.02,5.25±0.39,4.72±0.44,0.52±0.07,2.15±0.43,89±8
D063,"Plantain, gree",n (Musa x para,dis,iaca),6,76.15±0.42,1.18±0.20,1.27±0.14,0.23±0.02,3.60±0.27,2.79±0.25,0.81±0.05,17.58±0.35,334±6
D064,"Plantain, stem",(Musa x para,disi,aca),6,87.53±1.01,0.35±0.05,1.20±0.09,0.16±0.07,2.12±0.04,1.33±0.08,0.80±0.09,8.64±0.93,165±15
D065,"Pumpkin, gre","en, cylindrical",(C,ucurbita maxima),1,91.73,0.87,0.47,0.18,2.53,1.28,1.25,4.22,103
D066,"Pumpkin, ora","nge, round (C",ucu,rbita maxima),6,91.85±0.45,0.84±0.21,0.58±0.09,0.16±0.02,2.56±0.11,1.44±0.14,1.12±0.08,4.00±0.64,97±8
D067,"Red gram, ten","der, fresh (Ca",jan,us cajan),1,64.00,8.09,1.64,0.92,5.90,3.66,2.25,19.46,520
D068,Ridge gourd (,Luffa acutangu,la),,6,94.99±0.35,0.91±0.08,0.44±0.04,0.14±0.01,1.81±0.13,1.20±0.16,0.61±0.08,1.72±0.46,55±7
D069,"Ridge gourd,",smooth skin (,Luff,a acutangula),3,94.27±0.62,0.98±0.13,0.53±0.06,0.13±0.01,1.85±0.28,1.31±0.17,0.54±0.10,2.24±0.41,64±8
D070,"Snake gourd, anguina)","long, pale gre",en,(Trichosanthes,6,94.81±0.28,0.98±0.33,0.42±0.04,0.25±0.01,2.27±0.11,1.69±0.15,0.58±0.08,1.27±0.15,52±4
D071,"Snake gourd, anguina)","long, dark gre",en,(Trichosanthes,2,94.92,0.89,0.45,0.25,2.27,1.69,0.58,1.23,50
D072,"Snake gourd,",short (Trichos,ant,hes anguina),1,94.35,0.54,0.41,0.26,2.29,1.61,0.68,2.15,61
D073,"Tinda, tender",(Praecitrullus fi,stu,losus),6,94.41±0.32,1.02±0.04,0.51±0.03,0.17±0.01,2.00±0.04,1.68±0.06,0.32±0.02,1.90±0.37,58±6
D074,"Tomato, gree",n (Lycopersicon,es,culentum),6,93.21±0.46,1.12±0.08,0.60±0.03,0.27±0.07,1.62±0.08,1.05±0.07,0.57±0.04,3.18±0.40,87±7
