edoc dooF,,Food,Name,,snoigeR fo .oN,Moisture,Protein,Ash,Total Fat,Die,tary Fibre,Soluble,Carbohydrate,Energy
,,,,,,,,,,Total,Insoluble,,,
,,,,,,,,,g,,,,,KJ
,,,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
E017,"Dates, dry, p",ale brown (,Phoenix dacty,lifera),6,11.14±0.73,2.45±0.24,2.20±0.07,0.35±0.03,8.95±0.23,7.53±0.22,1.42±0.14,74.91±0.52,1340±12
E018,"Dates, dry, d",ark brown (,Phoenix dacty,lifera),2,13.13,2.38,2.39,0.35,9.10,7.57,1.53,72.67,1301
E019,"Dates, proce",ssed (Phoe,nix dactylifera),,2,22.01,1.18,1.93,0.41,6.52,5.68,0.84,67.95,1197
E020,Fig (Ficus car,ica),,,6,75.60±1.16,2.03±0.22,1.08±0.18,0.37±0.06,4.64±0.41,2.59±0.22,2.05±0.23,16.28±1.13,341±18
E021,Goosberry (E,mblica offic,inalis),,5,87.02±0.78,0.34±0.03,0.34±0.05,0.16±0.04,7.75±0.64,6.20±0.43,1.55±0.43,4.39±1.09,99±19
E022,"Grapes, seed","ed, round,",black (Vitis vi,nifera),4,83.88±0.56,0.76±0.13,0.46±0.04,0.32±0.02,1.35±0.14,0.82±0.06,0.52±0.09,13.23±0.60,254±11
E023,"Grapes, seed","ed, round,",green (Vitis vi,nifera),5,85.07±0.29,0.77±0.12,0.43±0.05,0.29±0.03,1.25±0.04,0.81±0.02,0.44±0.02,12.19±0.20,235±4
E024,"Grapes, seed","ed, round,",red (Vitis vinif,era),5,84.46±1.60,0.95±0.11,0.48±0.07,0.29±0.04,1.28±0.10,0.85±0.05,0.43±0.09,12.55±1.38,244±26
E025,"Grapes, seed","less, oval,",black (Vitis vi,nifera),5,75.30±1.55,1.41±0.26,0.70±0.13,0.46±0.11,1.64±0.15,0.98±0.19,0.66±0.08,20.48±0.97,395±23
E026,"Grapes, seed","less, roun","d, green (Vitis",vinifera),5,85.55±1.70,0.62±0.13,0.47±0.08,0.26±0.02,1.28±0.05,0.85±0.05,0.44±0.01,11.81±1.52,224±28
E027,"Grapes, seed","less, roun","d, black (Vitis",vinifera),5,76.90±1.40,1.24±0.25,0.49±0.05,0.35±0.03,1.15±0.19,0.83±0.04,0.32±0.15,19.86±1.58,374±25
E028,"Guava, white",flesh (Psid,ium guajava),,5,83.79±0.30,1.44±0.09,0.72±0.05,0.32±0.03,8.59±0.05,7.14±0.02,1.45±0.04,5.13±0.33,135±5
E029,"Guava, pink f",lesh (Psidi,um guajava),,5,81.22±0.45,1.19±0.19,0.81±0.06,0.25±0.03,7.39±0.38,6.12±0.29,1.28±0.09,9.14±0.27,195±6
E030,"Jack fruit, rip",e (Artocarp,us heterophyll,us),5,78.56±0.34,2.74±0.47,0.91±0.08,0.15±0.02,3.62±0.17,2.21±0.17,1.41±0.06,14.01±0.56,302±3
E031,"Jambu fruit, r",ipe (Syzygi,um cumini),,2,83.33,0.82,0.31,0.17,3.07,2.40,0.67,12.30,235
E032,Karonda fruit,(Carissa c,arandas),,1,86.04,1.15,1.02,1.67,7.25,5.87,1.38,2.87,141
E033,"Lemon, juice",(Citrus limo,n),,6,91.59±0.53,0.41±0.05,0.28±0.03,0.75±0.02,,,,6.97±0.56,153±9
E034,"Lime, sweet,",pulp (Citrus,limetta),,6,91.32±0.33,0.76±0.09,0.47±0.03,0.20±0.06,2.07±0.11,1.33±0.04,0.74±0.08,5.18±0.37,114±5
E035,Litchi (Nephe,lium litchi),,,4,85.56±0.27,0.99±0.09,0.44±0.06,0.26±0.02,1.34±0.05,0.81±0.10,0.53±0.06,11.41±0.20,225±5
E036,"Mango, ripe,",banganapa,lli (Mangifera,indica),6,88.44±0.55,0.54±0.10,0.42±0.04,0.55±0.03,1.88±0.15,1.01±0.08,0.87±0.11,8.18±0.49,175±9
