edoc dooF,Fo,od Name,snoigeR fo .oN,Moisture,Protein,Ash,Total Fat,Die,tary Fibre,Soluble,Carbohydrate,Energy
,,,,,,,,Total,Insoluble,,,
,,,,,,,g,,,,,KJ
,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
E059,Rambutan (Nephelium,lappaceum),1,80.87,0.68,0.43,0.16,1.02,0.71,0.30,16.84,306
E060,Sapota (Achras sapot,a),6,73.64±1.01,0.92±0.07,0.68±0.05,1.26±0.02,9.60±0.57,8.46±0.58,1.14±0.04,13.90±1.13,307±18
E061,Soursop (Annona mur,icata),1,80.85,0.74,0.58,0.94,4.95,3.79,1.16,11.94,260
E062,Star fruit (Averrhoa ca,rambola),1,91.18,0.79,0.33,0.39,2.81,2.17,0.64,4.51,110
E063,Strawberry (Fragaria,ananassa),6,92.03±0.64,0.97±0.10,0.54±0.02,0.56±0.02,2.50±0.03,1.51±0.08,0.99±0.08,3.40±0.64,103±11
E064,"Tamarind, pulp (Tama",rindus indicus),6,20.83±0.57,2.92±0.22,3.44±0.31,0.15±0.02,5.31±0.27,3.73±0.24,1.58±0.09,67.35±0.45,1207±7
E065,"Water melon, dark gr vulgaris)",een (sugar baby) (Citrullus,6,94.54±0.63,0.60±0.06,0.13±0.02,0.16±0.01,0.70±0.14,0.35±0.11,0.34±0.05,3.86±0.59,85±10
E066,"Water melon, pale gr",een (Citrullus vulgaris),6,95.33±0.22,0.59±0.03,0.12±0.01,0.16±0.01,0.78±0.11,0.40±0.07,0.38±0.08,3.02±0.21,70±4
E067,Wood Apple (Limonia,acidissima),3,79.36±0.17,3.14±0.30,1.15±0.05,3.62±0.03,5.21±0.38,3.77±0.08,1.44±0.40,7.52±0.58,327±3
E068,Zizyphus(Zizyphus ju,jube),1,84.39,1.34,0.80,0.35,3.73,2.71,1.02,9.40,204
,,,,,,,,,,,,
F,ROOTS AND TU,BERS,,,,,,,,,,
F001,Beet root (Beta vulgar,is),6,86.95±0.50,1.95±0.14,1.46±0.21,0.14±0.01,3.31±0.32,2.60±0.30,0.71±0.06,6.18±0.61,149±9
F002,"Carrot, orange (Dacu",s carota),6,87.69±0.56,0.95±0.15,1.16±0.09,0.47±0.02,4.18±0.30,2.81±0.18,1.37±0.21,5.55±0.48,139±9
F003,"Carrot, red (Dacus ca",rota),4,86.07±1.34,1.04±0.09,1.22±0.10,0.47±0.04,4.49±0.19,3.09±0.26,1.40±0.21,6.71±1.11,160±19
F004,Colocasia (Colocasia,antiquorum),6,73.49±0.32,3.31±0.59,1.95±0.27,0.17±0.03,3.22±0.34,2.54±0.30,0.68±0.05,17.85±0.94,372±9
F005,Lotus root (Nelumbiu,m nelumbo),3,76.26±0.87,1.94±0.32,1.50±0.10,0.93±0.06,4.70±0.04,2.86±0.01,1.84±0.05,14.67±0.45,332±14
F006,"Potato, brown skin, b",ig (Solanum tuberosum),6,80.72±0.40,1.54±0.17,0.92±0.08,0.23±0.02,1.71±0.03,1.13±0.02,0.58±0.04,14.89±0.40,292±7
F007,"Potato, brown skin, s",mall (Solanum tuberosum),1,82.97,1.35,0.87,0.22,1.69,1.15,0.54,12.90,255
F008,"Potato, red skin (Sola",num tuberosum),1,79.72,1.83,1.13,0.22,1.68,1.11,0.57,15.43,306
