edoc dooF,Fo,od Name,snoigeR fo .oN,Moisture,Protein,Ash,Total Fat,Di,etary Fibre,Soluble,Carbohydrate,Energy
,,,,,,,,Total,Insoluble,,,
,,,,,,,g,,,,,KJ
,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
G010,Curry leaves (Murray,a koenigii),6,65.33±1.57,7.41±0.26,4.86±0.58,1.06±0.04,16.83±0.78,13.81±0.43,3.02±0.44,4.51±1.79,266±32
G011,"Garlic, big clove (Alli",um sativum),6,64.38±0.56,6.92±0.20,1.40±0.11,0.16±0.02,5.22±0.41,2.56±0.38,2.66±0.17,21.93±0.82,518±12
G012,"Garlic, small clove (",Allium sativum),3,64.42±0.30,6.75±0.24,1.38±0.17,0.14±0.01,5.47±0.07,2.61±0.02,2.86±0.07,21.84±0.74,514±8
G013,"Garlic, single clove,",Kashmir (Allium sativum),1,64.49,6.12,1.76,0.16,4.01,2.20,1.81,23.46,523
G014,"Ginger, fresh (Zinzib",er officinale),6,81.27±0.22,2.22±0.16,1.33±0.13,0.85±0.03,5.36±0.40,4.28±0.25,1.08±0.21,8.97±0.28,230±4
G015,Mango ginger (Curcu,ma amada),3,84.55±0.16,1.45±0.37,1.57±0.14,0.70±0.03,4.74±0.50,3.79±0.13,0.95±0.62,6.98±0.15,177±3
G016,Mint leaves (Mentha,spicata ),4,84.24±0.71,4.66±0.15,2.18±0.17,0.65±0.05,5.89±0.49,4.49±0.54,1.40±0.06,2.39±0.36,155±4
G017,"Onion, big (Allium ce",pa),6,85.76±0.43,1.50±0.10,0.50±0.04,0.24±0.03,2.45±0.21,1.92±0.15,0.53±0.08,9.56±0.44,201±9
G018,"Onion, small (Allium",cepa),5,84.67±0.12,1.82±0.20,0.61±0.07,0.16±0.01,1.16±0.19,0.70±0.18,0.46±0.09,11.58±0.37,237±4
G,CONDIMENTS,AND SPICES-DRY,,,,,,,,,,
G019,Asafoetida (Ferula as,sa-foetida),6,9.42±0.56,6.34±0.53,5.90±0.12,1.26±0.02,5.13±0.33,3.90±0.37,1.23±0.25,71.95±0.71,1387±9
G020,"Cardamom, green (E",lettaria cardamomum),6,11.24±0.51,8.10±0.41,7.21±0.46,2.60±0.15,23.10±0.14,20.46±0.09,2.64±0.10,47.76±0.47,1067±16
G021,"Cardamom, black (E",lettaria cardamomum),4,6.69±0.47,6.69±0.31,7.84±0.40,2.80±0.24,23.46±0.58,20.73±0.39,2.74±0.37,52.53±1.51,1132±13
G022,"Chillies, red (Capsic",um annum),6,14.57±0.42,12.69±0.22,5.73±0.15,6.40±0.04,31.15±0.04,26.55±0.17,4.60±0.15,29.46±0.62,990±8
G023,Cloves (Syzygium aro,maticum),6,26.49±0.68,5.86±0.21,5.99±0.23,8.41±0.15,34.52±0.48,28.07±0.42,6.46±0.10,18.73±0.39,781±6
G024,Coriander seeds (Co,riandrum sativum),6,8.72±0.47,10.66±0.33,5.36±0.15,17.47±0.22,44.81±2.36,35.27±1.77,9.54±2.42,12.98±2.62,1125±38
G025,Cumin seeds (Cumin,um cyminum),6,10.59±0.51,13.91±0.50,5.90±0.09,16.64±0.15,30.35±0.71,25.73±0.77,4.62±0.27,22.62±1.05,1274±19
G026,Fenugreek seeds (Tr,igonella foenum graecum),6,7.82±0.37,25.41±0.24,2.93±0.15,5.72±0.02,47.55±0.54,27.63±0.59,19.92±0.51,10.57±0.57,983±10
G027,Mace (Myristica fragr,ans),6,20.06±0.70,6.24±0.27,2.47±0.28,24.41±0.20,20.31±0.23,16.78±0.23,3.54±0.17,26.51±0.81,1488±12
G028,Nutmeg (Myristica fra,grans),6,15.55±0.55,6.30±0.24,1.99±0.11,36.52±0.04,11.99±0.18,10.54±0.18,1.46±0.14,27.64±0.70,1940±11
