edoc dooF,Food Na,me,snoigeR fo .oN,Moisture,Protein,Ash,Total Fat,Di,etary Fibre,Soluble,Carbohydrate,Energy
,,,,,,,,Total,Insoluble,,,
,,,,,,,g,,,,,KJ
,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
H016,"Niger seeds, gray (Guizotia",abyssinica),5,5.66±0.29,18.34±2.11,4.92±0.22,39.53±0.26,10.96±0.14,10.54±0.12,0.41±0.03,20.59±1.85,2128±6
H017,Pine seed (Pinus gerardiana,),5,5.32±0.15,12.55±0.25,2.78±0.10,48.79±0.10,3.79±0.03,2.23±0.03,1.57±0.03,26.77±0.35,2486±3
H018,Pistachio nuts (Pistacla ver,a),6,4.68±0.22,23.35±0.35,3.02±0.13,42.49±0.34,10.64±0.16,8.23±0.15,2.41±0.11,15.82±0.52,2257±10
H019,Safflower seeds (Carthamu,s tinctorius),5,5.24±0.16,17.66±0.54,2.57±0.15,30.87±0.98,13.49±0.45,10.24±0.27,3.25±0.22,30.18±1.20,1981±20
H020,Sunflower seeds (Helianthu,s annuus),5,3.53±0.29,23.53±0.56,3.44±0.26,51.85±0.07,10.80±0.13,8.51±0.17,2.29±0.07,6.85±0.99,2453±8
H021,Walnut (Juglans regia),,6,3.56±0.22,14.92±0.62,1.72±0.08,64.27±0.05,5.39±0.19,4.74±0.17,0.65±0.03,10.14±0.69,2809±3
I,SUGARS,,,,,,,,,,,
I001,"Jaggery, cane (Saccharum",officinarum),6,11.20±0.49,1.85±0.19,1.92±0.17,0.16±0.02,,,,84.87±0.63,1480±9
I002,"Sugarcane, juice (Saccharu",m officinarum),6,85.54±0.99,0.16±0.03,0.23±0.02,0.40±0.05,0.56±0.09,0.40±0.05,0.16±0.05,13.11±0.93,242±18
,,,,,,,,,,,,
J,MUSHROOMS,,,,,,,,,,,
J001,"Button mushroom, fresh (",Agaricus sp.),1,90.09,3.68,0.71,0.42,3.11,2.76,0.35,1.98,115
J002,"Chicken mushroom, fresh",(Lactiporus sp.),1,92.43,1.84,0.74,0.25,1.99,1.82,0.18,2.76,89
J003,"Shiitake mushroom, fresh",(Lentinula sp.),1,82.94,3.19,1.11,0.76,3.02,2.03,0.99,8.98,243
J004,"Oyster mushroom, dried (P",leurotus sp.),1,4.51,19.04,1.41,2.86,39.12,35.64,3.48,33.07,1019
,,,,,,,,,,,,
K,MISCELLANEOUS,FOODS,,,,,,,,,,
K001,Toddy,,10,93.86±0.59,0.18±0.05,0.21±0.03,0.03±0.01,,,,5.72±0.55,101±10
