edoC dooF,,fo Food Name .oN,snoigeR,Moisture,Protein,Ash,Total Fat,Energy
,,,,,g,,,KJ
,,,,,,,,
,,,,WATER,PROTCNT,ASH,FATCE,ENERC
O006,"Goat, lu",ngs,4,79.03±1.20,16.86±0.71,0.74±0.01,3.09±0.56,401±32
O007,"Goat, h",eart,5,75.15±1.23,19.38±0.80,0.95±0.09,4.40±0.71,492±33
O008,"Goat, li",ver,6,73.37±1.16,20.32±0.92,1.30±0.07,4.88±0.73,526±31
O009,"Goat, tr",ipe,5,80.94±0.84,15.36±0.50,0.23±0.02,3.36±0.29,386±19
O010,"Goat, s",pleen,4,77.93±0.50,18.45±0.15,1.15±0.09,2.37±0.36,401±14
O011,"Goat, ki",dneys,4,80.26±1.07,15.60±1.15,1.10±0.05,2.93±0.18,374±18
O012,"Goat, tu",be (small intestine),3,78.12±0.63,12.92±0.54,0.54±0.01,8.26±1.08,525±32
O013,"Goat, te",stis,2,84.29,12.32,0.87,2.39,298
O014,"Sheep,",shoulder,5,66.51±2.51,18.24±1.41,0.86±0.01,14.31±1.37,840±68
O015,"Sheep,",chops,4,75.66±2.78,18.00±1.22,1.09±0.02,5.15±2.05,496±86
O016,"Sheep,",leg,5,68.26±1.01,21.42±0.43,0.94±0.01,8.69±0.74,686±25
O017,"Sheep,",brain,1,78.36,13.05,1.19,7.29,492
O018,"Sheep,",tongue,1,68.70,16.61,1.06,13.53,783
O019,"Sheep,",lungs,2,80.41,16.12,0.97,2.41,363
O020,"Sheep,",heart,1,77.06,18.19,0.97,3.66,445
O021,"Sheep,",liver,4,69.71±1.12,22.26±1.46,1.26±0.07,4.87±0.12,559±21
O022,"Sheep,",tripe,2,78.81,16.76,0.26,4.05,435
O023,"Sheep,",spleen,1,79.66,16.02,1.17,3.02,384
O024,"Sheep,",kidneys,2,79.77,16.22,1.00,2.92,384
O025,"Beef, s",houlder,6,63.84±0.59,20.56±1.32,0.95±0.01,14.59±0.86,889±12
O026,"Beef, c",hops,4,72.40±0.34,19.82±0.43,0.96±0.02,6.71±0.45,585±13
