,,,,g,,,KJ
,,,,,,,
,,,WATER,PROTCNT,ASH,FATCE,ENERC
O028,"Beef, brain",4,78.71±1.43,10.55±0.50,1.37±0.17,9.28±0.92,523±42
O029,"Beef, tongue",4,70.97±1.20,15.63±0.67,0.73±0.00,12.57±0.63,731±32
O030,"Beef, lungs",3,80.83±0.18,15.66±0.42,1.13±0.05,2.28±0.21,351±1
O031,"Beef, heart",5,77.77±0.72,17.68±0.51,0.87±0.01,3.57±0.46,433±20
O032,"Beef, liver",6,74.15±1.31,20.73±0.96,1.07±0.03,3.96±0.45,499±30
O033,"Beef, tripe",5,83.74±0.62,13.10±0.29,0.55±0.01,2.51±0.74,316±25
O034,"Beef, spleen",6,79.03±0.73,17.42±0.55,1.22±0.04,2.22±0.24,378±16
O035,"Beef, kidneys",3,77.59±0.66,17.09±0.30,1.22±0.04,4.01±0.36,439±17
O036,"Calf, shoulder",2,70.49,20.98,0.94,7.47,633
O037,"Calf, chops",2,72.66,22.47,0.92,3.85,524
O038,"Calf, round (leg)",2,71.13,21.10,0.74,6.92,615
O039,"Calf, brain",2,81.19,9.84,1.26,7.60,448
O040,"Calf, tongue",2,69.44,17.78,0.93,11.76,737
O041,"Calf, heart",1,73.44,18.84,0.86,3.75,459
O042,"Calf, liver",1,73.66,21.02,1.26,3.95,503
O043,"Calf, spleen",1,78.65,17.71,1.41,2.12,379
O044,"Calf, kidneys",2,80.23,15.16,1.02,3.50,387
O045,"Mithun, shoulder",1,68.86,19.05,0.84,11.14,736
O046,"Mithun, chops",1,73.81,18.19,0.79,6.12,536
O047,"Mithun, round (leg)",1,72.25,19.61,0.90,4.10,485
O048,"Pork, shoulder",6,62.92±0.74,17.41±0.71,0.75±0.12,18.83±0.88,993±28
