edoC dooF,fo Food Name .oN,snoigeR,Moisture,Protein,Ash,Total Fat,Energy
,,,,g,,,KJ
,,,,,,,
,,,WATER,PROTCNT,ASH,FATCE,ENERC
O050,"Pork, ham",6,61.94±0.39,18.83±0.59,0.62±0.02,18.55±0.78,1006±20
O051,"Pork, lungs",4,81.12±0.72,15.13±0.52,0.93±0.01,2.74±0.23,358±16
O052,"Pork, heart",4,77.74±0.88,16.31±0.16,1.01±0.01,4.87±0.84,457±32
O053,"Pork, liver",5,74.88±1.23,19.89±1.16,1.18±0.03,3.94±0.34,484±24
O054,"Pork, stomach",1,76.51,15.36,0.23,7.81,550
O055,"Pork, spleen",3,80.93±1.08,15.13±0.79,1.13±0.05,2.71±0.71,357±31
O056,"Pork, kidneys",5,80.92±0.87,14.35±1.03,0.97±0.10,3.65±0.55,379±21
O057,"Pork, tube (small intestine)",1,75.42,14.96,0.55,8.98,587
O058,"Hare, shoulder",1,71.06,21.13,1.17,6.58,603
O059,"Hare, chops",1,75.47,20.62,1.27,2.55,445
O060,"Hare, leg",1,73.00,20.52,1.26,4.16,503
O061,"Rabbit, shoulder",1,70.75,20.01,1.19,7.96,635
O062,"Rabbit, chops",1,71.03,22.61,1.35,4.88,565
