,,,,,,g,,,KJ
,,,,,WATER,PROTCNT,ASH,FATCE,ENERC
P088,Vela meen (A,prion viresce,ns),1,71.82,22.16,1.34,4.34,537
P089,Vora (Siganu,s javus),,2,76.94,20.14,1.26,2.14,422
P090,Whale shark,(Galeocerdo,cuvier),1,77.59,21.83,1.48,0.82,401
P091,Xiphinis (Xip,hias gladius),,1,79.22,19.82,1.15,0.88,370
P092,"Z.Eggs, Cat fi",sh (Ompok b,imaculatus),1,69.34,24.68,1.57,5.28,600
,,,,,,,,,
Q,MARINE,SHELLFIS,H,,,,,,
Q001,Crab (Menipp,e mercenaria,),1,79.77,10.23,1.74,1.41,343
Q002,"Crab, sea (P",ortunus sang,uinolentus),1,79.67,15.36,0.92,0.60,283
Q003,"Lobster, bro",wn (Thenus o,rientalis),1,81.48,15.96,1.29,0.56,292
Q004,"Lobster, king",size (Thenu,s orientalis),1,77.77,18.54,1.08,0.78,375
Q005,Mud crab (Sc,ylla tranqueb,arica),1,83.10,10.00,2.60,0.55,190
Q006,Oyster (Cras,sostrea sp.),,1,82.50,9.51,2.47,2.44,252
Q007,Tiger prawns,", brown(Sol",enocera crassicornis),1,82.41,14.85,0.94,0.56,273
Q008,Tiger Prawns,", orange (Pe",naeus monodon),1,81.48,14.25,0.83,0.74,270
,,,,,,,,,
R,MARINE,MOLLUS,KS,,,,,,
R001,"Clam, green",shell(Perna,viridis ),1,80.07,12.14,2.44,0.98,243
R002,"Clam, white","shell, ribbed",(Meretrix meretrix),1,80.27,11.82,0.85,1.34,250
R003,Octopus (Oc,topus vulgari,s),1,80.45,14.71,1.21,1.12,334
R004,"Squid, black",(Loligo sp.),,1,80.59,16.10,0.99,1.07,335
