edoC dooF,,fo Fish Name .oN,snoigeR,Moisture,Protein,Ash,Total Fat,Energy
,,,,,g,,,KJ
,,,,WATER,PROTCNT,ASH,FATCE,ENERC
R006,"Squid, red (Loligo du",vaucelii),2,80.85,16.25,1.15,1.44,329
R007,"Squid, white, small (",Uroteuthis duvauceli),1,79.38,17.41,1.19,1.15,353
S,FRESHWATER,FISH AND SHELLFISH,,,,,,
S001,Cat fish (Tandanus ta,ndanus),2,77.23±0.91,15.86±3.65,0.93±0.01,6.24±3.03,518±84
S002,Catla (Catla catla),,6,78.43±0.71,17.94±1.36,0.94±0.01,2.15±0.34,394±6
S003,Freshwater Eel (Ang,uilla anguilla),1,75.57,20.41,1.03,2.63,451
S004,Gold fish (Carassius,auratus),2,79.07,16.91,1.10,2.94,396
S005,Pangas (Pangasiano,don hypophthalmus),6,68.50±1.01,17.12±1.62,1.12±0.03,16.77±0.91,852±24
S006,Rohu (Labeo rohita),,6,76.34±0.28,19.71±0.57,1.28±0.04,2.39±0.64,428±12
S007,Crab (Pachygrapsus,sp.),1,80.58,13.23,1.23,0.89,327
S008,"Prawns, big (Macrob",rachium rosenbergii),1,77.43,19.24,0.84,0.52,380
S009,"Prawns, small (Macr",obrachium sp.),3,82.58,13.07,0.86,0.78,297
