Ta,,,,,,,,,,,,,
ble,,,,,sn,Thiamine,Riboflavin,Niacin,Pantothenic,,Biotin T,o t a l Folates T otal,Asc
2.,ed,,,,oi,(B1),(B2),(B3),Acid (B5),Total B6,(B7),(B9),Acid
Wa,oc,Food Name,,,geR,,,,,,,,
ter,do,,,,fo,,,mg,,,µg,,mg
So,oF,,,,.o,,,,,,,,
lub,,,,,N,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
le,,,,,,,,,,,,,
V,,,,,,,,,,,,,
ita,A019,"Wheat flour,",atta (Triticum,aestivum),6,0.42±0.044,0.15±0.010,2.37±0.10,0.87±0.04,0.25±0.032,0.76±0.12,29.22±1.92,
min,,,,,,,,,,,,,
s,,,,,,,,,,,,,
,A020,"Wheat, whol",e (Triticum aes,tivum),6,0.46±0.067,0.15±0.041,2.68±0.19,1.08±0.21,0.26±0.036,1.03±0.58,30.09±3.79,
,,,,,,,,,,,,,
,A021,"Wheat, bulg",ur (Triticum ae,stivum),6,0.24±0.027,0.12±0.004,2.05±0.05,0.84±0.03,0.24±0.011,2.50±0.35,26.30±3.61,
,,,,,,,,,,,,,
,A022,"Wheat, semo",lina (Triticum,aestivum),6,0.29±0.025,0.04±0.004,1.13±0.10,0.75±0.08,0.11±0.010,0.44±0.04,25.68±3.64,
,,,,,,,,,,,,,
,A023,"Wheat, verm",icelli (Triticum,aestivum),6,0.13±0.011,0.01±0.003,0.86±0.02,0.52±0.05,0.03±0.004,2.00±0.19,14.35±2.38,
,,,,,,,,,,,,,
,A024,"Wheat, verm","icelli, roasted",(Triticum aestivum),6,0.12±0.012,0.01±0.002,0.67±0.05,0.49±0.05,0.03±0.001,1.34±0.18,13.21±2.15,
,,,,,,,,,,,,,
,B,GRAIN L,EGUMES,,,,,,,,,,
,,,,,,,,,,,,,
,B001,Bengal gram,", dal (Cicer ar",ietinum),6,0.35±0.029,0.15±0.003,1.87±0.06,1.60±0.24,0.19±0.008,0.81±0.09,182±4.5,
34,,,,,,,,,,,,,
,,,,,,,,,,,,,
,B002,Bengal gram,", whole (Cice",r arietinum),6,0.37±0.040,0.24±0.011,2.10±0.06,2.38±0.26,0.36±0.025,0.93±0.07,233±12.9,
,,,,,,,,,,,,,
,B003,"Black gram,",dal (Phaseolu,s mungo),6,0.21±0.005,0.09±0.003,1.76±0.09,2.95±0.26,0.22±0.029,0.81±0.13,88.75±2.35,
,,,,,,,,,,,,,
,B004,"Black gram,",whole (Phase,olus mungo),6,0.32±0.024,0.11±0.008,1.85±0.13,3.98±0.70,0.53±0.039,1.28±0.18,134±14.2,
,,,,,,,,,,,,,
,B005,"Cowpea, bro",wn (Vigna cat,jang),6,0.33±0.087,0.09±0.009,1.64±0.03,1.47±0.31,0.30±0.033,3.97±0.12,231±27.3,
,,,,,,,,,,,,,
,B006,"Cowpea, whi",te (Vigna catj,ang),1,0.34,0.09,1.51,1.66,0.26,4.28,249,
,,,,,,,,,,,,,
,B007,"Field bean, b",lack (Phaseol,us vulgaris),1,0.35,0.07,1.88,0.85,0.35,0.66,291,
,,,,,,,,,,,,,
,B008,"Field bean, b",rown (Phase,olus vulgaris),1,0.32,0.07,2.04,0.97,0.37,0.76,292,
,,,,,,,,,,,,,
,B009,"Field bean,",white (Phaseo,lus vulgaris),5,0.37±0.082,0.07±0.009,1.96±0.09,0.92±0.19,0.38±0.017,0.68±0.11,289±27.0,
,,,,,,,,,,,,,
,B010,"Green gram,",dal (Phaseolu,s aureus),6,0.35±0.071,0.12±0.016,1.84±0.23,1.68±0.17,0.19±0.011,0.65±0.06,92.11±5.11,
,,,,,,,,,,,,,
,B011,"Green gram,",whole (Phase,olus aureus),6,0.45±0.027,0.27±0.011,2.16±0.13,2.02±0.24,0.35±0.034,1.35±0.16,145±5.4,
,,,,,,,,,,,,,
,B012,"Horse gram,",whole (Dolicu,s biflorus),6,0.32±0.002,0.24±0.033,1.82±0.26,1.58±0.06,0.21±0.017,0.59±0.07,163±5.3,
,,,,,,,,,,,,,
,B013,Lentil dal (Le,ns culinaris),,6,0.34±0.034,0.16±0.005,1.81±0.02,1.32±0.03,0.18±0.022,1.25±0.20,49.99±4.91,
