Ta,,,,,,,,,,,,,,
ble,,,,,,sn,Thiamine,Riboflavin,Niacin,Pantothenic,,Biotin,T o t a l Folates T,otal Ascorbi
2.,ed,,,,,oig,(B1),(B2),(B3),Acid (B5),Total B6,(B7),(B9),Acid
Wa,oc,Food Name,,,,eR,,,,,,,,
ter,do,,,,,fo,,,mg,,,µg,,mg
So,oF,,,,,.o,,,,,,,,
lub,,,,,,N,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
le,,,,,,,,,,,,,,
V,,,,,,,,,,,,,,
ita,D056,Ladies finger,(Abelmoschus,esc,ulentus),6,0.04±0.005,0.07±0.009,0.61±0.01,0.28±0.04,0.27±0.027,1.58±0.33,63.68±10.76,22.51±1.60
min,,,,,,,,,,,,,,
s,,,,,,,,,,,,,,
,D057,"Mango, green",", raw (Mangife",ra i,ndica),6,0.02±0.003,0.02±0.001,0.26±0.02,0.13±0.02,0.13±0.013,1.41±0.16,25.86±7.38,90.24±10.47
,,,,,,,,,,,,,,
,D058,"Onion, stalk (",Allium cepa),,,6,0.03±0.020,0.05±0.014,0.14±0.02,0.19±0.05,0.17±0.052,6.99±2.48,57.61±11.87,27.23±4.22
,,,,,,,,,,,,,,
,D059,"Papaya, raw (",Carica papaya),,,6,0.02±0.004,0.03±0.007,0.12±0.01,0.24±0.04,0.03±0.008,1.24±0.20,29.79±2.21,20.73±2.35
,,,,,,,,,,,,,,
,D060,Parwar (Tricho,santhes dioica,),,6,0.05±0.007,0.05±0.011,0.67±0.04,0.25±0.05,0.20±0.019,9.86±0.74,19.96±1.76,19.24±6.61
,,,,,,,,,,,,,,
,D061,"Peas, fresh (P",isum sativum),,,6,0.27±0.027,0.03±0.004,1.28±0.03,0.68±0.13,0.19±0.020,4.04±0.33,54.77±12.01,38.40±6.42
,,,,,,,,,,,,,,
,D062,"Plantain, flow",er (Musa x par,adis,iaca),6,0.02±0.005,0.02±0.005,0.28±0.03,0.35±0.07,0.13±0.009,2.44±0.25,49.27±7.30,6.49±1.15
,,,,,,,,,,,,,,
,D063,"Plantain, gree",n (Musa x para,dis,iaca),6,0.01±0.001,0.05±0.005,0.33±0.04,0.26±0.02,0.10±0.006,0.60±0.05,18.96±1.29,23.28±2.40
,,,,,,,,,,,,,,
,D064,"Plantain, stem",(Musa x para,disi,aca),6,0.02±0.003,0.02±0.004,0.18±0.02,0.24±0.09,0.14±0.01,4.42±0.41,12.85±2.18,3.77±2.74
40,,,,,,,,,,,,,,
,D065,"Pumpkin, gre","en, cylindrical",(C,ucurbita maxima),1,0.03,0.02,0.44,0.16,0.05,1.41,31.60,7.29
,,,,,,,,,,,,,,
,D066,"Pumpkin, ora","nge, round (C",ucu,rbita maxima),6,0.03±0.005,0.03±0.003,0.41±0.01,0.18±0.01,0.08±0.015,1.63±0.26,24.14±3.70,8.04±0.87
,,,,,,,,,,,,,,
,D067,"Red gram, ten","der, fresh (Ca",jan,us cajan),1,0.23,0.09,2.14,0.71,0.30,2.91,94.21,15.13
,,,,,,,,,,,,,,
,D068,Ridge gourd (,Luffa acutangu,la),,6,0.02±0.003,0.01±0.002,0.20±0.01,0.28±0.04,0.07±0.005,2.27±0.18,29.26±3.12,5.42±1.06
,,,,,,,,,,,,,,
,D069,"Ridge gourd,",smooth skin (,Luff,a acutangula),3,0.02±0.004,0.01±0.001,0.21±0.01,0.25±0.02,0.09±0.007,2.22±0.29,27.36±2.98,8.10±2.67
,,,,,,,,,,,,,,
,D070,"Snake gourd,","long, pale gre",en,(Trichosanthes,6,0.03±0.003,0.03±0.002,0.34±0.02,0.27±0.03,0.10±0.017,2.50±0.30,18.34±1.87,2.72±1.15
,,anguina),,,,,,,,,,,,
,D071,"Snake gourd,","long, dark gre",en,(Trichosanthes,2,0.03,0.03,0.33,0.27,0.07,2.43,16.52,2.85
,,anguina),,,,,,,,,,,,
,,,,,,,,,,,,,,
,D072,"Snake gourd,",short (Trichos,ant,hes anguina),1,0.03,0.02,0.33,0.31,0.06,2.50,17.74,2.30
,,,,,,,,,,,,,,
,D073,"Tinda, tender",(Praecitrullus fi,stu,losus),6,0.02±0.000,0.03±0.005,0.56±0.02,0.39±0.03,0.06±0.008,3.26±0.72,43.23±5.74,14.20±0.88
,,,,,,,,,,,,,,
,D074,"Tomato, gree",n (Lycopersicon,es,culentum),6,0.08±0.043,0.05±0.043,0.46±0.16,0.30±0.12,0.07±0.024,4.74±1.99,12.51±4.01,16.41±2.52
,,,,,,,,,,,,,,
,D075,"Tomato, ripe,",hybrid (Lycop,ersi,con esculentum),6,0.04±0.004,0.02±0.007,0.51±0.02,0.18±0.01,0.08±0.006,1.09±0.10,15.41±2.70,25.27±3.52
,,,,,,,,,,,,,,
,D076,"Tomato, ripe,",local (Lycoper,sico,n esculentum),6,0.03±0.004,0.03±0.004,0.52±0.01,0.20±0.03,0.09±0.005,1.18±0.11,19.46±2.99,27.47±1.77
