,,,,,,,mg,,,µg,,mg
,,,,,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
D077,"Zucchini, gre",en (Cucurbita pep,o),2,0.05,0.09,1.03,0.99,0.25,1.02,18.85,15.78
D078,"Zucchini, yell",ow (Cucurbita pep,o),2,0.03,0.02,0.42,0.72,0.20,1.13,21.50,16.71
,,,,,,,,,,,,
E,FRUITS,,,,,,,,,,,
E001,"Apple, big (M",alus domestica),,6,0.03±0.017,0.01±0.011,0.25±0.07,0.09±0.04,0.04±0.027,0.34±0.08,3.04±0.94,3.57±0.58
E002,"Apple, green",(Malus domestica),,6,0.01±0.023,0.02±0.016,0.21±0.06,0.12±0.04,0.08±0.016,0.41±0.09,3.43±0.68,2.90±0.32
E003,"Apple, small",(Malus domestica),,6,0.01±0.001,0.01±0.000,0.09±0.01,0.09±0.01,0.03±0.004,0.47±0.06,3.52±0.37,4.00±0.72
E004,"Apple, small,",Kashmir (Malus d,omestica),1,0.01,0.01,0.09,0.12,0.04,0.44,3.97,4.24
E005,"Apricot, dried",(Prunus armeniac,a),6,0.04±0.011,0.04±0.006,1.66±0.12,0.62±0.13,0.10±0.005,1.47±0.21,10.50±1.59,0.42±0.14
E006,"Apricot, proc",essed (Prunus arm,eniaca),3,0.25±0.011,0.04±0.007,1.07±0.07,0.25±0.02,0.17±0.011,1.55±0.27,5.42±0.98,7.98±1.75
E007,Avocado fruit,(Persea american,a),1,0.07,0.08,0.90,1.26,0.18,1.25,67.17,9.36
E008,Bael fruit (Ae,gle marmelos),,1,0.03,0.04,0.25,1.62,0.03,1.14,55.22,7.50
E009,"Banana, ripe,",montham (Musa,x paradisiaca),1,0.01,0.04,0.48,0.35,0.51,1.54,17.93,8.06
E010,"Banana, ripe,",poovam (Musa x,paradisiaca),2,0.01,0.03,0.43,0.40,0.50,1.79,19.95,6.74
E011,"Banana, ripe,",red (Musa x para,disiaca),1,0.01,0.02,0.46,0.41,0.45,1.35,18.92,6.74
E012,"Banana, ripe,",robusta (Musa x,paradisiaca),6,0.01±0.000,0.03±0.005,0.47±0.04,0.36±0.03,0.44±0.045,1.69±0.07,16.81±1.95,4.76±1.34
E013,Black berry (,Rubus fruticosus),,5,0.01±0.002,0.02±0.005,0.40±0.09,0.21±0.12,0.05±0.011,1.65±0.19,22.95±1.38,19.45±1.54
E014,"Cherries, red",(Prunus cerasus),,4,0.07±0.006,0.02±0.004,0.19±0.01,0.23±0.03,0.04±0.005,1.52±0.25,4.92±1.30,8.82±0.57
E015,"Currants, bla",ck (Ribes nigrum),,1,0.03,0.03,0.35,0.28,0.09,2.41,8.48,182
E016,Custard appl,e (Annona squamo,sa),1,0.13,0.09,0.69,0.19,0.07,0.76,7.60,21.51
