Ta,,,,,,,,,,,,,,,,
ble,,,,,,,,sn,Thiamine,Riboflavin,Niacin,Pantothenic,,Biotin T,o t al Folates T o,tal Ascorb
2.,ed,,,,,,,oi,(B1),(B2),(B3),Acid (B5),Total B6,(B7),(B9),Acid
Wa,oc,Food Name,,,,,,geR,,,,,,,,
ter,do,,,,,,,fo,,,mg,,,µg,,mg
So,oF,,,,,,,.o,,,,,,,,
lub,,,,,,,,N,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
le,,,,,,,,,,,,,,,,
V,,,,,,,,,,,,,,,,
ita,E017,"Dates, dry,",pa,le brown,(Phoenix,dacty,lifera),6,0.03±0.012,0.03±0.008,1.47±0.07,0.51±0.07,0.14±0.009,0.82±0.11,18.65±1.39,4.42±0.54
mins,,,,,,,,,,,,,,,,
,E018,"Dates, dry,",da,rk brown,(Phoenix,dacty,lifera),2,0.02,0.03,1.09,0.53,0.153,0.94,12.80,3.84
,,,,,,,,,,,,,,,,
,E019,"Dates, proc",es,sed (Pho,enix dacty,lifera),,2,0.05,0.02,0.51,0.52,0.06,2.50,24.53,15.51
,,,,,,,,,,,,,,,,
,E020,Fig (Ficus c,ari,ca),,,,6,0.04±0.020,0.02±0.008,0.27±0.08,0.26±0.08,0.15±0.016,2.64±1.09,13.67±3.81,16.92±4.26
,,,,,,,,,,,,,,,,
,E021,Goosberry,(E,mblica off,icinalis),,,5,0.01±0.009,0.03±0.012,0.12±0.02,0.35±0.04,0.27±0.054,1.42±0.35,7.86±1.27,252±30.4
,,,,,,,,,,,,,,,,
,E022,"Grapes, se",ed,"ed, round",", black (V",itis vi,nifera),4,0.03±0.009,0.03±0.005,0.14±0.03,0.07±0.00,0.11±0.020,1.14±0.22,8.69±1.60,18.30±2.32
,,,,,,,,,,,,,,,,
,E023,"Grapes, se",ed,"ed, round",", green (V",itis vi,nifera),5,0.03±0.005,0.02±0.004,0.13±0.02,0.07±0.01,0.09±0.015,1.08±0.15,8.35±0.75,17.10±5.63
,,,,,,,,,,,,,,,,
,E024,"Grapes, se",ed,"ed, round",", red (Viti",s vinif,era),5,0.04±0.027,0.03±0.018,0.10±0.03,0.11±0.03,0.10±0.017,1.09±0.27,7.49±1.15,20.59±3.45
,,,,,,,,,,,,,,,,
42,E025,"Grapes, se",edl,"ess, ova","l, black (V",itis vi,nifera),5,0.03±0.021,0.02±0.015,0.15±0.04,0.11±0.04,0.11±0.011,0.97±0.11,7.22±1.23,27.32±5.18
,,,,,,,,,,,,,,,,
,E026,"Grapes, se",edl,"ess, rou","nd, green",(Vitis,vinifera),5,0.04±0.023,0.03±0.019,0.12±0.04,0.10±0.04,0.08±0.015,1.20±0.20,8.31±1.46,16.47±2.06
,,,,,,,,,,,,,,,,
,E027,"Grapes, se",edl,"ess, rou","nd, black",(Vitis,vinifera),5,0.03±0.019,0.03±0.029,0.13±0.05,0.11±0.03,0.08±0.011,1.27±0.23,8.89±2.54,22.79±3.45
,,,,,,,,,,,,,,,,
,E028,"Guava, whi",te,flesh (Ps,idium guaj,ava),,5,0.05±0.006,0.04±0.008,0.60±0.04,0.25±0.02,0.11±0.014,0.74±0.13,29.76±0.66,214±13.6
,,,,,,,,,,,,,,,,
,E029,"Guava, pin",k f,lesh (Psi,dium guaja,va),,5,0.03±0.010,0.03±0.005,0.59±0.07,0.20±0.03,0.16±0.027,1.25±0.23,32.17±2.69,222±27.0
,,,,,,,,,,,,,,,,
,E030,"Jack fruit, r",ip,e (Artocar,pus hetero,phyll,us),5,0.05±0.004,0.01±0.004,0.42±0.08,0.16±0.01,0.22±0.010,4.00±0.37,32.15±2.27,6.73±1.59
,,,,,,,,,,,,,,,,
,E031,Jambu fruit,", r",ipe (Syzy,gium cumi,ni),,2,0.02,0.02,0.14,0.31,0.03,2.57,7.63,16.47
,,,,,,,,,,,,,,,,
,E032,Karonda fr,uit,(Carissa,carandas),,,1,0.01,0.02,0.25,0.67,0.08,1.55,8.72,135
,,,,,,,,,,,,,,,,
,E033,"Lemon, jui",ce,(Citrus lim,on),,,6,0.04±0.007,0.01±0.000,0.10±0.01,0.12±0.01,0.03±0.004,1.92±0.14,12.43±1.85,48.16±4.35
,,,,,,,,,,,,,,,,
,E034,"Lime, swee","t,p",ulp (Citru,s limetta),,,6,0.06±0.005,0.01±0.003,0.17±0.02,0.25±0.03,0.05±0.013,2.23±0.23,15.38±4.15,46.96±7.64
,,,,,,,,,,,,,,,,
,E035,Litchi (Nep,hel,ium litchi),,,,4,0.02±0.003,0.06±0.008,0.23±0.02,0.19±0.10,0.07±0.010,2.80±0.34,15.69±5.09,33.82±5.24
,,,,,,,,,,,,,,,,
,E036,"Mango, rip","e,",bangana,palli (Man,gifera,indica),6,0.03±0.005,0.04±0.004,0.26±0.03,0.12±0.02,0.12±0.02,1.60±0.11,82.05±7.90,32.97±7.14
