Ta,,,,,,,,,,,,
ble,,,,sn,Thiamine,Riboflavin,Niacin,Pantothenic,,Biotin T,o t a l Folates T o,tal Ascorb
2.,ed,,,oi,(B1),(B2),(B3),Acid (B5),Total B6,(B7),(B9),Acid
Wate,oc do,Food Name,,geR f,,,mg,,,µg,,mg
r Solub,oF,,,o .oN,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
le,,,,,,,,,,,,
Vita,E057,"Raisins, dried, black (",Vitis vinifera),6,0.09±0.013,0.04±0.017,0.48±0.04,0.21±0.05,0.17±0.020,0.73±0.11,38.30±4.98,2.05±0.14
mins,,,,,,,,,,,,
,E058,"Raisins, dried, golden",(Vitis vinifera),6,0.09±0.012,0.04±0.006,0.64±0.05,0.18±0.06,0.17±0.03,0.75±0.14,34.68±4.36,1.85±0.27
,,,,,,,,,,,,
,E059,Rambutan (Nephelium,lappaceum),1,0.11,0.01,0.26,0.14,0.04,0.64,7.35,65.00
,,,,,,,,,,,,
,E060,Sapota (Achras sapota),,6,0.01±0.001,0.03±0.005,0.24±0.02,0.24±0.02,0.12±0.019,1.48±0.31,10.83±1.91,20.96±4.62
,,,,,,,,,,,,
,E061,Soursop (Annona muri,cata),1,0.03,0.04,0.85,0.12,0.03,0.23,6.09,59.54
,,,,,,,,,,,,
,E062,Star fruit (Averrhoa car,ambola),1,0.08,0.02,0.34,0.26,0.06,0.13,8.43,33.55
,,,,,,,,,,,,
,E063,Strawberry (Fragaria a,nanassa),1,0.06±0.063,0.01±0.003,0.48±0.11,0.18±0.06,0.09±0.026,0.07±0.04,8.91±3.84,50.20±4.97
,,,,,,,,,,,,
,E064,"Tamarind, pulp (Tamar",indus indicus),6,0.34±0.039,0.07±0.004,1.56±0.16,0.17±0.02,0.08±0.013,0.66±0.04,9.79±0.80,3.62±0.85
4,,"Water melon, dark gre",en (sugar baby) (Citrullus,,,,,,,,,
4,E065,vulgaris),,6,0.02±0.004,0.02±0.003,0.28±0.03,0.19±0.01,0.10±0.019,0.59±0.06,5.88±0.55,13.26±2.66
,E066,"Water melon, pale gre",en (Citrullus vulgaris),6,0.02±0.003,0.02±0.002,0.30±0.04,0.19±0.00,0.07±0.025,0.57±0.06,5.55±1.61,11.45±2.09
,,,,,,,,,,,,
,E067,Wood Apple (Limonia a,cidissima),3,0.04±0.009,0.01±0.001,0.55±0.05,0.22±0.02,0.17±0.021,1.65±0.14,6.51±0.44,22.17±7.49
,,,,,,,,,,,,
,E068,Zizyphus(Zizyphus juju,be),1,0.01,0.02,0.33,0.14,0.11,2.22,5.99,60.93
,,,,,,,,,,,,
,F,ROOTS AND TU,BERS,,,,,,,,,
,,,,,,,,,,,,
,F001,Beet root (Beta vulgaris,),6,0.01±0.001,0.01±0.002,0.21±0.01,0.26±0.04,0.07±0.011,2.56±0.19,97.37±7.06,5.26±0.85
,,,,,,,,,,,,
,F002,"Carrot, orange (Dacus",carota),6,0.04±0.003,0.03±0.003,0.22±0.02,0.30±0.03,0.11±0.016,1.50±0.23,24.04±2.07,6.22±1.99
,,,,,,,,,,,,
,F003,"Carrot, red (Dacus caro",ta),4,0.04±0.017,0.03±0.016,0.25±0.05,0.27±0.04,0.07±0.012,1.30±0.14,23.67±3.25,6.76±1.56
,,,,,,,,,,,,
,F004,Colocasia (Colocasia a,ntiquorum),6,0.06±0.007,0.03±0.002,0.51±0.09,0.12±0.02,0.17±0.038,3.69±0.22,19.91±2.90,1.83±0.64
,,,,,,,,,,,,
,F005,Lotus root (Nelumbium,nelumbo),3,0.07±0.008,0.05±0.023,0.43±0.05,0.20±0.02,0.19±0.017,2.85±0.32,26.49±6.85,26.63±7.02
,,,,,,,,,,,,
,F006,"Potato, brown skin, bi",g (Solanum tuberosum),6,0.06±0.004,0.01±0.001,1.04±0.14,0.38±0.06,0.10±0.008,1.35±0.17,15.51±1.66,23.15±3.98
