Ta,,,,,,,,,,,,
ble,,,,sn,Thiamine,Riboflavin,Niacin,Pantothenic,,Biotin,T o t a l Folates T,otal Ascorbi
2.,ed,,,oi,(B1),(B2),(B3),Acid (B5),Total B6,(B7),(B9),Acid
Wa,oc,Food Name,,geR,,,,,,,,
ter,do,,,fo,,,mg,,,µg,,mg
Sol,oF,,,.o,,,,,,,,
ub,,,,N,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
le,,,,,,,,,,,,
V,,,,,,,,,,,,
ita,G006,"Chillies, green-6 (Ca",psicum annum),1,0.07,0.13,0.92,0.27,0.29,0.73,18.87,108
mins,,,,,,,,,,,,
,G007,"Chillies, green-7 (Ca",psicum annum),1,0.08,0.11,0.80,0.24,0.22,1.21,19.39,112
,,,,,,,,,,,,
,G008,"Chillies, green - all v",arieties (Capsicum annum),6,0.09±0.033,0.11±0.038,0.89±0.15,0.22±0.06,0.28±0.100,0.63±0.16,21.50±4.83,94.07±11.67
,,,,,,,,,,,,
,G009,Coriander leaves (C,oriandrum sativum),6,0.09±0.005,0.05±0.004,0.73±0.03,0.63±0.07,0.19±0.025,4.17±0.89,51.01±3.98,23.87±7.33
,,,,,,,,,,,,
,G010,Curry leaves (Murray,a koenigii),6,0.07±0.016,0.13±0.008,0.85±0.10,0.51±0.04,0.57±0.096,1.77±0.22,117±19.3,6.04±1.36
,,,,,,,,,,,,
,G011,"Garlic, big clove (Alli",um sativum),6,0.20±0.029,0.25±0.026,0.38±0.05,1.57±0.16,0.56±0.039,2.55±0.34,85.77±15.61,12.62±1.15
,,,,,,,,,,,,
,G012,"Garlic, small clove (",Allium sativum),3,0.20±0.023,0.23±0.015,0.36±0.04,1.51±0.35,0.77±0.112,2.54±0.21,78.82±22.76,13.57±0.70
,,,,,,,,,,,,
,G013,"Garlic, single clove,",Kashmir (Allium sativum),1,0.25,0.22,0.42,1.86,0.97,2.85,92.25,15.38
,,,,,,,,,,,,
46,G014,"Ginger, fresh (Zinzib",er officinale),6,0.04±0.005,0.04±0.003,0.42±0.05,0.24±0.02,0.20±0.025,1.07±0.15,10.82±1.61,5.43±1.22
,,,,,,,,,,,,
,G015,Mango ginger (Curcu,ma amada),3,0.02±0.001,0.07±0.015,0.45±0.01,0.26±0.02,0.18±0.010,1.49±0.49,22.62±0.48,1.62±0.30
,,,,,,,,,,,,
,G016,Mint leaves (Mentha,spicata ),4,0.02±0.005,0.19±0.029,0.74±0.23,0.34±0.09,0.17±0.028,2.21±0.43,106±6.3,17.16±6.75
,,,,,,,,,,,,
,G017,"Onion, big (Allium ce",pa),6,0.04±0.005,0.01±0.001,0.34±0.10,0.30±0.05,0.10±0.014,2.61±0.19,28.88±2.85,6.69±0.63
,,,,,,,,,,,,
,G018,"Onion, small (Allium",cepa),5,0.07±0.012,0.02±0.004,0.21±0.01,0.14±0.01,0.12±0.009,2.69±0.63,29.68±1.98,10.96±2.00
,,,,,,,,,,,,
,G,CONDIMENTS,AND SPICES-DRY,,,,,,,,,
,,,,,,,,,,,,
,G019,Asafoetida (Ferula as,sa-foetida),6,0.82±0.037,0.01±0.006,0.43±0.05,0.14±0.03,0.02±0.003,2.27±0.34,26.28±4.12,
,,,,,,,,,,,,
,G020,"Cardamom, green (E",lettaria cardamomum),6,0.12±0.016,0.07±0.013,1.13±0.13,0.27±0.05,0.15±0.007,4.94±0.39,2.85±1.05,
,,,,,,,,,,,,
,G021,"Cardamom, black (E",lettaria cardamomum),4,0.05±0.015,0.13±0.047,0.52±0.11,0.27±0.08,0.20±0.021,4.76±0.88,4.96±1.62,
,,,,,,,,,,,,
,G022,"Chillies, red (Capsic",um annum),6,0.46±0.036,0.83±0.009,6.94±0.55,0.57±0.09,0.42±0.009,0.92±0.04,51.50±2.87,
,,,,,,,,,,,,
,G023,Cloves (Syzygium aro,maticum),6,0.53±0.122,0.22±0.022,1.15±0.12,0.36±0.03,0.03±0.003,2.41±0.23,32.81±1.90,
