edoc dooF,Food Name,,snoigeR fo .oN,Thiamine (B1),Riboflavin (B2),Niacin (B3),Pantothenic Acid (B5),Total B6,Biotin (B7),T o t a l Folates T o (B9),tal Ascor Acid
,,,,,,mg,,,µg,,mg
,,,,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
H010,"Gingelly seeds, brown (Se",samum indicum),4,0.27±0.025,0.08±0.009,3.05±0.45,0.49±0.04,0.49±0.033,3.48±0.24,92.63±5.90,
H011,"Gingelly seeds, white (Ses",amum indicum),5,0.36±0.047,0.07±0.009,3.94±0.14,0.48±0.04,0.62±0.029,3.46±0.46,131±4.3,
H012,Ground nut (Arachis hypog,ea),6,0.57±0.052,0.12±0.017,11.35±0.36,1.01±0.03,0.23±0.023,1.61±0.22,90.87±4.80,
H013,Mustard seeds (Brassica ju,ncea),6,0.55±0.065,0.33±0.010,3.80±0.41,0.48±0.04,0.24±0.019,1.45±0.36,94.88±4.67,
H014,Linseeds (Linum usitatissim,um),6,0.28±0.018,0.05±0.001,1.09±0.05,0.37±0.03,0.35±0.020,21.25±0.49,86.50±2.75,
H015,"Niger seeds, black (Guizoti",a abyssinica),4,0.46±0.043,0.23±0.031,1.14±0.09,0.49±0.03,0.45±0.061,2.37±0.11,140±29.3,
H016,"Niger seeds, gray (Guizotia",abyssinica),5,0.38±0.064,0.35±0.042,0.88±0.15,0.46±0.03,0.34±0.025,2.40±0.29,73.13±4.56,
H017,Pine seed (Pinus gerardiana,),5,0.36±0.051,0.08±0.004,3.52±0.05,0.50±0.03,0.11±0.004,18.46±0.62,31.64±2.70,
H018,Pistachio nuts (Pistacla ver,a),6,0.98±0.144,0.04±0.002,0.86±0.01,0.58±0.03,0.96±0.029,11.82±2.20,64.90±7.22,
H019,Safflower seeds (Carthamu,s tinctorius),5,0.85±0.019,0.15±0.006,1.12±0.02,0.89±0.05,0.93±0.072,17.37±2.17,82.41±1.80,
H020,Sunflower seeds (Helianthu,s annuus),5,0.59±0.064,0.13±0.027,1.60±0.27,0.97±0.05,0.94±0.150,2.44±0.18,81.79±21.37,
H021,Walnut (Juglans regia),,6,0.40±0.020,0.12±0.006,0.86±0.03,0.84±0.03,0.80±0.072,13.05±1.48,57.95±9.72,0.88±0.10
I,SUGARS,,,,,,,,,,
I001,"Jaggery, cane (Saccharum",officinarum),6,0.04±0.006,0.01±0.000,0.02±0.00,0.23±0.01,0.71±0.084,0.58±0.06,14.40±2.40,
I002,"Sugarcane, juice (Saccharu",m officinarum),6,0.03±0.003,0.04±0.004,0.14±0.02,0.07±0.01,0.40±0.089,0.59±0.06,44.53±4.14,6.73±1.56
,,,,,,,,,,,
J,MUSHROOMS,,,,,,,,,,
J001,"Button mushroom, fresh (",Agaricus sp.),1,0.01,0.03,0.68,0.43,0.12,9.23,8.28,
J002,"Chicken mushroom, fresh",(Lactiporus sp.),1,0.37,0.06,1.45,1.48,0.11,8.94,11.13,0.45
J003,"Shiitake mushroom, fresh",(Lentinula sp.),1,0.05,0.16,1.92,2.04,0.45,10.60,10.92,
