Ta,,,,,,,,,,,
ble,,,,sn,,Riboflavin,Niacin Pan,tothenic Acid,,T,otal Folate
2.,ed,,,Th oi,iamine (B1),(B2),(B3),(B5),Total B6,Biotin (B7),(B9)
Wat,oC,F,ood Name,geR,,,,,,,
er S,doo,,,fo,,,mg,,,µg,
ol,F,,,.o,,,,,,,
uble,,,,N,THIA,RIBF,NIA,PANTAC,VITB6A,BIOT,FOLSUM
Vi,,,,,,,,,,,
tam,M,EGG AND EG,G PRODUCTS,,,,,,,,
ins,,,,,,,,,,,
,M001,"Egg, poultry, whol","e, raw",6,0.06±0.01,0.19±0.01,0.11±0.01,1.47±0.04,0.16±0.02,18.24±1.33,49.32±2.35
,,,,,,,,,,,
,M002,"Egg, poultry, white",", raw",6,0.02±0.01,0.16±0.01,0.01±0.00,1.35±0.17,,4.36±0.84,4.96±0.39
,,,,,,,,,,,
,M003,"Egg, poultry, yolk,",raw,6,0.11±0.01,0.16±0.01,0.69±0.03,2.78±0.05,0.29±0.02,65.22±5.01,112±6.1
,,,,,,,,,,,
,M004,"Egg, poultry, whol","e, boiled",6,0.06±0.01,0.18±0.01,0.21±0.01,1.42±0.03,0.14±0.01,15.36±1.41,48.25±2.37
,,,,,,,,,,,
,M005,"Egg, poultry, white",", boiled",6,0.02±0.01,0.18±0.01,0.01±0.00,0.18±0.00,,4.37±0.27,4.10±0.21
,,,,,,,,,,,
,M006,"Egg, poultry, yolk,",boiled,6,0.17±0.01,0.15±0.01,0.45±0.02,2.57±0.10,0.27±0.02,58.43±6.73,110±6.1
,,,,,,,,,,,
,M007,"Egg, poultry, omle",t,3,0.11±0.02,0.20±0.00,0.33±0.01,2.06±0.04,0.14±0.01,17.13±2.25,37.66±1.03
,,,,,,,,,,,
5,,,,,,,,,,,
0,M008,"Egg, country hen,","whole, raw",1,0.14,0.08,0.14,1.03,0.18,19.35,54.60
,,,,,,,,,,,
,,,,,,,,,,,
,M009,"Egg, country hen,","whole, boiled",1,0.11,0.08,0.12,0.96,0.18,20.15,59.98
,,,,,,,,,,,
,M010,"Egg, country hen,",omlet,1,0.14,0.07,0.14,0.94,0.18,18.55,58.79
,,,,,,,,,,,
,M011,"Egg, duck, whole,",boiled,1,0.21,0.07,0.18,1.14,0.15,13.87,73.32
,,,,,,,,,,,
,M012,"Egg, duck, whole,",raw,1,0.18,0.07,0.13,0.51,0.15,14.52,75.48
,,,,,,,,,,,
,M013,"Egg, duck, whole,",omlet,1,0.31,0.09,0.14,1.05,0.15,13.81,67.95
,,,,,,,,,,,
,M014,"Egg, quial, whole,",raw,1,0.15,0.11,0.12,0.93,0.17,18.82,54.86
,,,,,,,,,,,
,M015,"Egg, quial, whole,",boiled,1,0.11,0.08,0.15,0.81,0.15,16.53,51.72
,,,,,,,,,,,
,N,POULTRY,,,,,,,,,
,,,,,,,,,,,
,N001,"Chicken, poultry, l","eg, skinless",4,0.17±0.04,0.13±0.02,5.60±0.96,1.28±0.24,0.33±0.01,4.58±0.71,7.47±0.19
,,,,,,,,,,,
,N002,"Chicken, poultry, t","high, skinless",6,0.13±0.01,0.10±0.01,5.62±1.05,1.06±0.46,0.38±0.07,3.86±0.74,9.00±0.62
