,,,,sn,,Riboflavin,Niacin Pan,tothenic Acid,,T,otal Folate
,ed,,,Th oi,iamine (B1),(B2),(B3),(B5),Total B6,Biotin (B7),(B9)
,o,,,ge,,,,,,,
,C,,Food Name,R,,,,,,,
,doo,,,fo,,,mg,,,µg,
,F,,,.o,,,,,,,
,,,,N,THIA,RIBF,NIA,PANTAC,VITB6A,BIOT,FOLSUM
,,,,,,,,,,,
,N003,"Chicken, poultry,","breast, skinless",5,0.10±0.04,0.06±0.01,8.06±0.87,1.15±0.18,0.53±0.05,4.11±0.49,10.44±0.55
,,,,,,,,,,,
,N004,"Chicken, poultry,","wing, skinless",5,0.08±0.02,0.07±0.01,6.66±1.00,1.28±0.14,0.39±0.06,3.61±0.55,7.87±0.45
,,,,,,,,,,,
,N005,"Poultry, chicken,",liver,1,0.28,0.20,4.44,6.39,0.92,4.07,1032
,,,,,,,,,,,
,N006,"Poultry, chicken,",gizzard,1,0.01,0.11,2.87,0.70,0.14,5.12,8.72
,,,,,,,,,,,
,N007,"Country hen, leg,",with skin,1,0.17,0.10,2.44,0.73,0.36,4.60,8.10
,,,,,,,,,,,
,N008,"Country hen, thig","h, with skin",1,0.11,0.13,3.62,0.89,0.42,2.91,10.42
,,,,,,,,,,,
,N009,"Country hen, bre","ast, with skin",1,0.11,0.04,5.62,0.81,0.59,3.06,12.98
,,,,,,,,,,,
,N010,"Country hen, win","g, with skin",1,0.07,0.03,3.19,0.85,0.43,5.13,9.19
51,,,,,,,,,,,
,,,,,,,,,,,
,N011,"Duck, meat, with",skin,1,0.22,0.13,2.24,0.74,0.31,4.27,27.98
,,,,,,,,,,,
,N012,"Emu, meat, skinl",ess,1,0.10,0.17,3.26,2.21,0.35,NA,7.07
,,,,,,,,,,,
,N013,"Guinea fowl, mea","t, with skin",1,0.02,0.18,3.64,0.71,0.58,NA,5.69
,,,,,,,,,,,
,N014,"Pigeon, meat, wit",h skin,1,0.18,0.39,3.45,0.79,0.48,NA,8.41
,,,,,,,,,,,
,N015,"Quail, meat, skin",less,1,0.05,0.24,4.69,0.81,0.56,NA,9.33
,,,,,,,,,,,
,N016,"Turkey, leg, with",skin,1,0.05,0.11,4.92,1.59,0.48,NA,8.55
,,,,,,,,,,,
Ta,N017,"Turkey, thigh, wit",h skin,1,0.04,0.12,1.94,1.54,0.51,NA,10.91
ble,,,,,,,,,,,
2.,N018,"Turkey, breast, w",ith skin,1,0.06,0.10,4.49,1.53,0.56,NA,14.67
Wat,,,,,,,,,,,
er,N019,"Turkey, wing, wit",h skin,1,0.03,0.09,4.38,1.36,0.45,NA,10.41
Soluble,,,,,,,,,,,
Vit,,,,,,,,,,,
am,,NA-Not Analysed,,,,,,,,,
ins,,,,,,,,,,,
