abl,e,,sn Th,iamine (B1),Riboflavin,Niacin Pan,tothenic Acid,Total B6 Tot,al Folates
e 2.,do,,oig,,(B2),(B3),(B5),,
W,C,Food Name,eR,,,mg,,,µg
ater,doo,,fo,,,,,,
S,F,,.o,,,,,,
ol,,,N,THIA,RIBF,NIA,PANTAC,VITB6A,FOLSUM
uble,,,,,,,,,
Vit,O,ANIMAL MEAT,,,,,,,
am,,,,,,,,,
ins,O001,"Goat, shoulder",6,0.07±0.01,0.17±0.01,5.14±0.56,1.07±0.10,0.26±0.03,2.08±0.44
,,,,,,,,,
,O002,"Goat, chops",6,0.05±0.01,0.13±0.01,5.51±0.57,0.98±0.09,0.30±0.02,1.53±0.10
,,,,,,,,,
,O003,"Goat, legs",6,0.07±0.01,0.15±0.04,5.15±0.36,0.99±0.04,0.31±0.02,2.25±0.59
,,,,,,,,,
,O004,"Goat, brain",5,0.13±0.02,0.17±0.02,2.04±0.19,1.52±0.42,0.28±0.04,1.30±0.18
,,,,,,,,,
,O005,"Goat, tongue",4,0.14±0.00,0.22±0.03,3.04±0.24,0.88±0.06,0.17±0.04,2.54±0.18
,,,,,,,,,
,O006,"Goat, lungs",4,0.08±0.01,0.32±0.02,2.79±0.15,0.83±0.11,0.14±0.03,1.80±0.44
,,,,,,,,,
,O007,"Goat, heart",5,0.36±0.02,0.33±0.05,5.97±0.25,1.72±0.20,0.23±0.08,1.63±0.38
,,,,,,,,,
,O008,"Goat, liver",6,0.20±0.04,0.37±0.04,12.88±0.44,7.01±0.11,0.65±0.27,178±34.9
52,,,,,,,,,
,O009,"Goat, tripe",5,0.02±0.01,0.10±0.01,0.81±0.14,0.21±0.03,0.20±0.05,2.36±0.30
,,,,,,,,,
,O010,"Goat, spleen",4,0.06±0.01,0.16±0.02,5.20±0.39,6.58±0.12,0.33±0.07,3.30±0.36
,,,,,,,,,
,O011,"Goat, kidneys",4,0.34±0.03,0.34±0.05,5.50±0.17,6.54±0.34,0.40±0.07,68.76±2.10
,,,,,,,,,
,O012,"Goat, tube (small intestine)",3,0.01±0.00,0.11±0.01,0.64±0.14,0.53±0.13,0.21±0.05,1.87±0.10
,,,,,,,,,
,O013,"Goat, testis",2,0.15,0.11,1.72,1.58,0.24,2.01
,,,,,,,,,
,O014,"Sheep, shoulder",5,0.05±0.01,0.18±0.03,4.53±0.41,0.96±0.10,0.15±0.04,3.16±0.17
,,,,,,,,,
,O015,"Sheep, chops",4,0.07±0.01,0.16±0.03,4.94±0.15,1.01±0.10,0.18±0.02,1.61±0.24
,,,,,,,,,
,O016,"Sheep, leg",5,0.08±0.02,0.16±0.02,5.25±0.32,1.04±0.11,0.24±0.04,1.81±0.25
,,,,,,,,,
,O017,"Sheep, brain",1,0.12,0.21,2.66,1.73,0.33,1.86
,,,,,,,,,
,O018,"Sheep, tongue",1,0.15,0.20,2.78,0.35,0.16,2.40
,,,,,,,,,
,O019,"Sheep, lungs",2,0.07,0.23,2.75,0.88,0.02,13.89
,,,,,,,,,
,O020,"Sheep, heart",1,0.34,0.30,5.43,1.66,0.30,2.17
