edoC dooF,,Food Name,snoigeR Th fo .oN,iamine (B1),Riboflavin (B2),Niacin Pan (B3),tothenic Acid (B5),Total B6 Tot,al Folates
,,,,,,mg,,,µg
,,,,,,,,,
,,,,THIA,RIBF,NIA,PANTAC,VITB6A,FOLSUM
O021,"Sheep,",liver,4,0.17±0.04,0.35±0.02,15.66±0.44,6.95±0.18,0.26±0.05,206±26.8
O022,"Sheep,",tripe,2,0.02,0.08,0.63,0.20,0.22,1.87
O023,"Sheep,",spleen,1,0.07,0.23,5.42,6.07,0.27,3.19
O024,"Sheep,",kidneys,2,0.35,0.31,5.51,6.22,0.51,46.21
O025,"Beef, s",houlder,6,0.03±0.01,0.12±0.02,5.18±0.21,1.14±0.09,0.48±0.04,8.06±1.30
O026,"Beef, c",hops,4,0.02±0.01,0.06±0.01,4.36±0.17,1.27±0.08,0.34±0.03,5.69±0.82
O027,"Beef, ro",und (leg),6,0.04±0.01,0.06±0.01,6.30±0.26,0.84±0.12,0.44±0.11,2.11±0.28
O028,"Beef, br",ain,4,0.12±0.01,0.13±0.01,1.91±0.48,1.76±0.09,0.25±0.01,5.39±2.10
O029,"Beef, to",ngue,4,0.05±0.01,0.13±0.01,2.93±0.05,0.72±0.03,0.19±0.04,10.81±1.33
O030,"Beef, lu",ngs,3,0.09±0.01,0.12±0.02,3.13±0.05,0.85±0.06,0.23±0.01,6.98±0.78
O031,"Beef, h",eart,5,0.24±0.04,0.30±0.05,5.38±0.45,1.55±0.06,0.25±0.07,8.50±1.25
O032,"Beef, liv",er,6,0.17±0.03,0.34±0.05,14.01±0.44,9.32±0.03,0.30±0.05,1744±71.2
O033,"Beef, tr",ipe,5,0.03±0.01,0.08±0.03,1.31±0.12,1.09±0.09,0.23±0.07,1.45±0.19
O034,"Beef, s",pleen,6,0.31±0.02,0.25±0.03,7.45±0.43,7.30±0.21,0.26±0.03,3.40±0.88
O035,"Beef, ki",dneys,3,0.26±0.04,0.27±0.05,6.52±0.25,2.05±0.18,0.22±0.02,53.68±4.93
O036,"Calf, sh",oulder,2,0.10,0.20,6.11,0.98,0.50,9.25
O037,"Calf, ch",ops,2,0.07,0.17,5.11,0.94,0.37,2.13
O038,"Calf, ro",und (leg),2,0.03,0.17,5.97,0.87,0.41,7.81
O039,"Calf, br",ain,2,0.07,0.19,3.19,1.61,0.30,1.50
O040,"Calf, to",ngue,2,0.11,0.22,4.31,0.79,0.17,5.20
