edoC dooF,,Food Name,snoigeR Th fo .oN,iamine (B1),Riboflavin (B2),Niacin Pan (B3),tothenic Acid (B5),Total B6 To,tal Folates (
,,,,,,mg,,,µg
,,,,,,,,,
,,,,THIA,RIBF,NIA,PANTAC,VITB6A,FOLSUM
O042,"Calf, live",r,1,0.17,0.31,12.98,8.95,0.59,1473
O043,"Calf, spl",een,1,0.09,0.28,7.61,6.83,0.44,3.58
O044,"Calf, kid",neys,2,0.32,0.35,4.16,2.49,0.30,33.48
O045,"Mithun,",shoulder,1,0.04,0.06,6.29,1.31,0.37,1.86
O046,"Mithun,",chops,1,0.20,0.18,4.76,1.62,0.34,1.90
O047,"Mithun,",round (leg),1,0.02,0.05,5.30,1.36,0.29,1.86
O048,"Pork, sh",oulder,6,0.18±0.01,0.10±0.02,4.22±0.43,0.86±0.06,0.41±0.08,6.70±1.09
O049,"Pork, ch",ops,6,0.30±0.02,0.11±0.02,4.49±0.30,0.72±0.13,0.36±0.10,7.74±1.03
O050,"Pork, ha",m,6,0.24±0.02,0.10±0.01,4.59±0.68,0.79±0.06,0.25±0.06,1.51±0.21
O051,"Pork, lu",ngs,4,0.08±0.02,0.14±0.02,3.11±0.19,1.79±0.20,0.19±0.02,6.36±0.75
O052,"Pork, he",art,4,0.28±0.03,0.30±0.04,5.13±0.18,1.49±0.15,0.30±0.05,4.73±0.80
O053,"Pork, liv",er,5,0.16±0.02,0.31±0.05,13.76±0.76,7.93±0.20,0.37±0.16,954±88.6
O054,"Pork, st",omach,1,0.10,0.06,1.90,3.10,0.19,6.87
O055,"Pork, sp",leen,3,0.13±0.02,0.27±0.12,7.80±0.43,4.87±0.34,0.22±0.04,5.92±0.49
O056,"Pork, ki",dneys,5,0.24±0.14,0.37±0.05,6.46±0.38,2.52±0.27,0.16±0.04,59.61±10.30
O057,"Pork, tu",be (small intestine),1,0.08,0.10,0.90,3.02,0.19,7.84
O058,"Hare, sh",oulder,1,0.07,0.27,5.04,0.70,0.28,2.20
O059,"Hare, ch",ops,1,0.07,0.28,4.85,0.61,0.22,3.85
O060,"Hare, le",g,1,0.08,0.22,5.63,0.64,0.24,1.95
O061,"Rabbit,",shoulder,1,0.03,0.14,4.38,0.69,0.30,1.80
O062,"Rabbit,",chops,1,0.02,0.08,7.54,0.73,0.24,2.10
