edoC dooF,Fish,Name,snoigeR Th fo .oN,iamine (B1),Riboflavin (B2),Niacin Pan (B3),tothenic Acid (B5),Total B6 Tota,l Folates
,,,,,,mg,,,µg
,,,,,,,,,
,,,,THIA,RIBF,NIA,PANTAC,VITB6A,FOLSUM
P,MARINE FISH,,,,,,,,
P001,Allathi (Elops machnata),,1,0.08,0.04,3.67,0.72,194,1230
P002,Aluva (Parastromateus nig,er),3,0.05±0.01,0.02±0.00,2.35±0.50,0.74±0.12,158±8.5,1132±159
P003,Anchovy (Stolephorus ind,icus),2,0.03,0.04,0.91,1.21,61.25,1170
P004,Ari fish (Aprion virescens,),1,0.06,0.03,3.65,0.23,218,602
P005,Betki (Lates calcarifer),,1,0.01,0.04,1.54,0.40,85.00,2079
P006,Black snapper (Macolor n,iger),1,,0.02,2.89,0.54,106,1772
P007,Bombay duck (Harpadon,nehereus),2,0.03,0.02,0.64,1.48,98.00,2784
P008,Bommuralu (Muraenesox,cinerius),3,0.05±0.02,0.02±0.00,1.34±1.09,0.64±0.08,68.63±18.97,1004±91
P009,Cat fish (Tachysurus thala,ssinus),1,0.05,0.05,1.38,1.24,223,1136
P010,Chakla (Rachycentron can,adum),5,0.06±0.01,0.04±0.02,2.37±0.75,0.67±0.03,99.11±11.25,572±107
P011,Chappal(Aluterus monoc,eros ),1,0.06,0.02,3.95,0.18,185,776
P012,Chelu (Elagatis bipinnulat,a),2,0.06,0.02,2.19,1.07,161,677
P013,Chembali (Lutjanus quinq,uelineatus),1,0.03,0.06,1.80,0.27,146,1221
P014,Eri meen (Pristipomoides,filamentosus),1,0.04,0.03,2.88,0.57,190,579
P015,Gobro(Epinephelus diaca,nthus),2,0.07,0.02,1.27,0.24,43.72,302
P016,Guitar fish (Rhinobatus pr,ahli),1,0.03,0.02,2.01,0.15,139,1532
P017,Hilsa(Tenualosa ilisha),,2,0.01,0.04,2.85,2.33,120,2875
P018,Jallal(Arius sp.),,1,0.02,0.02,3.24,0.91,89.14,627
P019,Jathi vela meen(Lethrinu,s lentjan),2,0.12,0.02,2.82,0.29,67.45,828
P020,Kadal bral(Synodus indic,us),1,0.01,0.06,1.76,0.19,89.19,1178
