edoC dooF,F,ish Name,snoigeR Th fo .oN,iamine (B1),Riboflavin (B2),Niacin Pan (B3),tothenic Acid (B5),Total B6 Tota,l Folates
,,,,,,mg,,,µg
,,,,,,,,,
,,,,THIA,RIBF,NIA,PANTAC,VITB6A,FOLSUM
P022,Kalamaara (Leptomela,nosoma indicum),2,0.06,0.03,2.22,0.65,160,657
P023,Kalava (Epinephelus c,oioides),1,0.06,0.05,2.24,0.22,135,1194
P024,Kanamayya (Lutjanus,rivulatus),2,0.06,0.01,1.22,1.46,83.86,1167
P025,Kannadi paarai (Alecti,s indicus),3,0.04±0.02,0.03±0.00,1.81±0.27,1.07±0.07,67.09±9.46,561±115
P026,Karimeen (Etroplus su,ratensis),1,0.08,0.05,1.15,0.23,90.62,1199
P027,Karnagawala (Anchoa,hepsetus),1,0.07,0.01,0.98,1.39,60.47,377
P028,Kayrai (Thunnus albac,ores),2,0.08,0.07,5.18,1.29,264,884
P029,Kiriyan (Atule mate),,1,0.04,0.13,2.75,1.36,121,604
P030,Kite fish (Mobula kuhli,i),1,0.04,0.07,2.50,0.45,127,1334
P031,Korka (Terapon jarbua,),1,0.03,0.17,3.42,0.40,316,751
P032,Kulam paarai (Carang,oides fulvoguttatus),1,0.06,0.01,1.97,0.57,218,699
P033,Maagaa (Polynemus pl,ebeius),1,0.02,0.01,0.73,0.40,106,695
P034,Mackerel(Rastrelliger,kanagurta),3,0.07±0.02,0.10±0.03,2.67±2.00,1.35±0.08,100±2.9,713±112
P035,Manda clathi (Naso re,ticulatus),1,0.03,0.02,2.77,1.02,87.58,738
P036,Matha (Acanthurus ma,ta),2,0.05,0.05,2.37,1.40,42.45,1157
P037,Milk fish(Chanos cha,nos),1,0.05,0.07,5.21,1.03,76.51,1132
P038,Moon fish (Mene mac,ulata),1,0.07,0.07,1.83,1.72,136,772
P039,Mullet(Mugil cephalus,),3,0.05±0.02,0.09±0.11,2.52±2.20,1.11±0.06,135±15.2,1189±267
P040,Mural (Tylosurus croc,odilus crocodilus),1,0.06,0.03,2.65,0.37,67.24,1146
P041,Myil meen(Istiophorus,platypterus),2,0.04,0.04,4.41,0.71,119,808
P042,Nalla bontha (Epineph,elus sp.),1,0.04,0.01,0.56,0.22,83.41,1714
