edoC dooF,,Fish Name,snoigeR Th fo .oN,iamine (B1),Riboflavin (B2),Niacin Pan (B3),tothenic Acid (B5),Total B6 Tota,l Folates
,,,,,,mg,,,µg
,,,,,,,,,
,,,,THIA,RIBF,NIA,PANTAC,VITB6A,FOLSUM
P066,"Red snapper, small (",Priacanthus hamrur),1,0.06,0.03,3.43,0.96,172,906
P067,Sadaya (Platax orbicu,laris),1,0.07,0.38,2.45,1.07,125,459
P068,Salmon (Salmo salar),,1,0.07,0.06,4.45,1.15,150,1136
P069,Sangada (Nemipterus,japanicus),1,0.01,0.02,0.68,0.22,101,1675
P070,Sankata paarai (Cara,nx ignobilis),1,0.03,0.06,3.70,1.19,181,1076
P071,Sardine (Sardinella lo,ngiceps),1,0.01,0.06,0.91,0.77,140,2266
P072,Shark (Carcharhinus,sorrah),2,0.03,0.04,2.68,1.15,110,857
P073,"Shark, hammer head",(Sphyrna mokarran),1,0.02,0.04,2.72,0.66,73.11,2006
P074,"Shark, spotted (Steg",ostoma fasciatum),1,0.05,0.05,1.02,0.67,76.56,1323
P075,Shelavu (Sphyraena j,ello),4,0.05±0.01,0.06±0.03,2.10±0.71,0.44±0.05,110±6.5,790±101
P076,Silan (Silonia silondia,),1,0.02,0.07,1.27,0.90,122,2438
P077,Silk fish(Beryx sp.),,1,0.03,0.04,2.24,0.17,169,802
P078,Silver carp(Hypopht,halmichthys molitrix),1,0.02,0.02,1.87,1.33,136,2462
P079,Sole fish (Cynogloss,us arel),1,0.01,0.02,0.47,0.91,68.89,1393
P080,Stingray (Dasyatis pa,stinaca),1,0.03,0.02,2.74,0.98,214,2559
P081,Tarlava(Drepane pun,ctata),2,0.04,0.04,2.13,0.25,149,1380
P082,Tholam (Plectorhinch,us schotaf),2,0.04,0.03,2.74,1.22,160,824
P083,Tilapia (Oreochromis,niloticus),1,0.02,0.18,1.40,0.78,176,829
P084,Tuna(Euthynnus affin,is),5,0.06±0.02,0.07±0.03,4.73±1.83,1.34±0.13,68.24±14.90,1374±204
P085,"Tuna, striped(Katsu",wonus pelamis),1,0.07,0.15,5.04,1.27,122,789
P086,Valava (Chirocentrus,nudus),1,0.13,0.02,0.86,0.61,104,1438
