,,,,,,,,Alpha,Beta,Gamma,Delta,Alpha,Beta,,,
,,,,,,,µg,,,,,mg,,,,µg
,,,,,,,ERGCAL,TOCPHA,TOCPHB,TOCPHG,TOCPHD,TOCTRA,TOCTRB,TOCTRG TOCTRD,VITE,VITK1
D078,"Zucchini, yell",o,w(Cucur,bita pep,o),2,0.38,1.47,,0.15,,,,,1.48,53.28
,,,,,,,,,,,,,,,,
E,FRUITS,,,,,,,,,,,,,,,
E001,"Apple, big (M",al,us dome,stica),,6,1.46±0.51,0.15±0.04,,,,,,,0.15±0.04,3.65±0.47
E002,"Apple, green",(,Malus do,mestica,),6,2.45±0.40,0.10±0.04,,,,,,,0.10±0.04,2.13±0.09
E003,"Apple, small",(M,alus do,mestica),,6,1.86±0.19,0.07±0.01,,,,,,,0.07±0.01,2.18±0.40
E004,"Apple, small,",K,ashmir (,Malus d,omestica),1,2.04,0.05,,,,,,,0.05,2.55
E005,"Apricot, dried",(,Prunus a,rmeniac,a),6,3.98±0.06,0.07±0.01,,0.07±0.02,0.29±0.04,0.09±0.01,,0.04±0.01,0.11±0.01,5.17±1.17
E006,"Apricot, proc",e,ssed (Pru,nus arm,eniaca),3,4.31±0.14,0.01±0.01,,0.01±0.01,0.07±0.00,0.01±0.00,,0.01±0.00,0.01±0.01,6.14±0.76
E007,Avocado fruit,(,Persea a,merican,a),1,2.10,0.02,,,,,,,0.02,38.74
E008,Bael fruit (Ae,gl,e marme,los),,1,1.60,0.60,,,,,,,0.60,4.50
E009,"Banana, ripe, paradisiaca)",,montham,(Musa,x,1,0.20,0.08,,0.07,,,,,0.09,2.20
E010,"Banana, ripe,",p,oovam (,Musa x,paradisiaca),2,0.24,0.07,,0.08,,,,,0.08,2.60
E011,"Banana, ripe,",r,ed (Musa,x para,disiaca),1,0.21,0.09,,0.06,,,,,0.09,1.90
E012,"Banana, ripe,",r,obusta (,Musa x,paradisiaca),6,0.22±0.03,0.08±0.01,,0.05±0.01,,,,,0.09±0.01,2.80±1.11
E013,Black berry (,R,ubus fruti,cosus),,5,14.65±0.40,0.49±0.04,,,,0.07±0.02,0.05±0.01,,0.52±0.04,1.82±0.04
E014,"Cherries, red",(,Prunus c,erasus),,4,4.30±0.44,0.07±0.02,,,,,,,0.06±0.04,5.56±1.10
E015,"Currants, bla",c,k (Ribes,nigrum),,1,3.01,0.45,,,,,,,0.45,27.52
E016,Custard appl,e,(Annona,squamo,sa),1,0.18,0.19,0.01,,,,,,0.19,58.00
E017,"Dates, dry, pa",l,e brown,(Phoeni,x dactylifera),6,2.60±0.23,0.02±0.00,,,,0.03±0.00,,,0.03±0.00,3.34±0.26
E018,"Dates, dry, da",r,k brown,(Phoeni,x dactylifera),2,0.68,0.01,,,,0.06,,,0.03,4.53
