T,,,,,,,,,,,,,,,,,
ab,,,,,,,,,Tocoph,erols,,,Tocotri,enols,,,
le 3,e,,,,,sn,Ergocalcife,,,,,,,,,α-Tocopherol,Phylloquino
. Fat,doc,,,,,oige,rol (D2),Alpha,Beta,Gamma,Delta,Alpha,Beta,Gamma,Delta,Equivalent,nes (K1)
Sol,doo,,F,ood Name,,R fo,µg,,,,,mg,,,,,µg
uble,F,,,,,.oN,,,,,,,,,,,
V,,,,,,,ERGCAL,TOCPHA,TOCPHB,TOCPHG,TOCPHD,TOCTRA,TOCTRB,TOCTRG,TOCTRD,VITE,VITK1
itam,,,,,,,,,,,,,,,,,
ins,E020,Fig (Ficus car,ica),,,6,1.47±0.15,0.42±0.16,,1.17±0.08,,,,,,0.54±0.17,5.75±1.51
,,,,,,,,,,,,,,,,,
,E021,Goosberry (E,mbli,ca officina,lis),5,0.27±0.02,0.11±0.01,,0.01±0.00,0.06±0.01,0.05±0.01,,,,0.12±0.02,1.64±0.31
,,,,,,,,,,,,,,,,,
,E022,"Grapes, seed","ed,","round, bla",ck (Vitis vinifera),4,6.19±0.19,0.05±0.02,,0.02±0.00,,,,0.01±0.00,,0.05±0.02,3.65±0.40
,,,,,,,,,,,,,,,,,
,E023,"Grapes, seed","ed,","round, gre",en (Vitis vinifera),5,3.59±0.15,0.07±0.02,,0.03±0.01,,,,0.02±0.01,,0.07±0.02,7.26±0.43
,,,,,,,,,,,,,,,,,
,E024,"Grapes, seed","ed,","round, red",(Vitis vinifera),5,6.87±0.22,0.07±0.02,,0.04±0.02,,,,0.01±0.00,,0.07±0.02,5.20±0.59
,,,,,,,,,,,,,,,,,
,E025,"Grapes, seed",less,", oval, bla",ck (Vitis vinifera),5,6.42±0.33,0.05±0.03,,0.04±0.03,,,,0.04±0.02,,0.05±0.03,3.40±0.66
,,,,,,,,,,,,,,,,,
,E026,"Grapes, seed",less,", round, g",reen (Vitis,5,3.54±0.25,0.08±0.01,,0.02±0.01,,,,0.01±0.00,,0.08±0.01,7.15±0.76
,,vinifera),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,E027,"Grapes, seed",less,", round, b",lack (Vitis,5,6.23±0.45,0.06±0.02,,0.04±0.01,,,,0.02±0.01,,0.06±0.02,3.00±1.16
,,vinifera),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
72,E028,"Guava, white",fles,h (Psidium,guajava),5,1.68±0.23,0.06±0.01,0.02±0.01,,,0.04±0.01,,0.03±0.01,0.74±0.03,0.09±0.01,3.68±0.38
,,,,,,,,,,,,,,,,,
,E029,"Guava, pink f",lesh,(Psidium,guajava),5,0.93±0.06,0.07±0.02,0.03±0.01,,,0.09±0.01,,0.01±0.01,0.25±0.04,0.11±0.01,5.35±0.61
,,,,,,,,,,,,,,,,,
,E030,"Jack fruit, rip",e (A,rtocarpus,heterophyllus),5,7.49±0.25,0.06±0.01,,,0.06±0.01,,0.09±0.01,,,0.07±0.01,37.00±3.73
,,,,,,,,,,,,,,,,,
,E031,"Jambu fruit, r",ipe,(Syzygium,cumini),2,0.82,0.04,,,,,,,,0.04,7.94
,,,,,,,,,,,,,,,,,
,E032,Karonda fruit,(Ca,rissa cara,ndas),1,1.43,0.04,,,,,,,,0.04,2.50
,,,,,,,,,,,,,,,,,
,E033,"Lemon, juice",(Cit,rus limon),,6,0.39±0.04,0.06±0.01,,,,,,,,0.06±0.01,1.80±0.63
,,,,,,,,,,,,,,,,,
,E034,"Lime, sweet,",pulp,(Citrus lim,etta),6,0.30±0.09,0.07±0.02,,,,,,,,0.07±0.02,2.20±1.01
,,,,,,,,,,,,,,,,,
,E035,Litchi (Nephe,lium,litchi),,4,0.33±0.09,0.06±0.01,,,,,,,,0.06±0.01,7.81±2.06
,,,,,,,,,,,,,,,,,
,E036,"Mango, ripe,",ban,ganapalli,(Mangifera indica),6,3.71±0.21,0.26±0.06,,0.20±0.04,,,,,,0.28±0.06,4.77±0.20
,,,,,,,,,,,,,,,,,
,E037,"Mango, ripe,",gula,bkhas (M,angifera indica),2,3.91,0.19,,0.16,,,,,,0.20,4.80
,,,,,,,,,,,,,,,,,
,E038,"Mango, ripe,",him,sagar (Ma,ngifera indica),3,3.73±0.11,0.29±0.08,,0.20±0.07,,,,,,0.31±0.09,4.40±0.26
,,,,,,,,,,,,,,,,,
,E039,"Mango, ripe,",kes,ar (Mangife,ra indica),4,3.68±0.38,0.24±0.01,,0.20±0.05,,,,,,0.26±0.02,4.75±0.33
,,,,,,,,,,,,,,,,,
,E040,"Mango, ripe,",nee,lam (Mang,ifera indica),2,3.72,0.24,,0.19,,,,,,0.29,5.00
