,,,,,,,Alpha,Beta,Gamma,Delta,Alpha,Beta,,,
,,,,,µg,,,,,,mg,,,,µg
,,,,RETOL,CHOCAL,,TOCPHA,TOCPHB,TOCPHG,TOCPHD,TOCTRA,TOCTRB,TOCTRG TOCTRD,VITE,VITK2
M,EGG AND EG,G PRODUCT,S,,,,,,,,,,,,
M001,"Egg, poultry, whol","e, raw",6,198±6.7,0.84±0.13,,1.47±0.41,0.05±0.01,0.02±0.01,0.03±0.02,0.07±0.01,0.01±0.01,0.02±0.01,1.51±0.41,14.61±0.27
M002,"Egg, poultry, white",", raw",6,,1.05±0.09,,,,,,,,,,
M003,"Egg, poultry, yolk,",raw,6,539±26.2,3.25±0.47,0.04±0.04,2.94±0.37,0.02±0.01,0.01±0.01,0.04±0.02,0.06±0.02,0.01±0.01,0.01±0.01,2.97±0.36,45.14±3.21
M004,"Egg, poultry, whol","e, boiled",6,180±10.5,0.74±0.10,,1.31±0.11,0.04±0.01,0.02±0.01,,0.03±0.02,0.01±0.01,,1.34±0.10,13.02±1.35
M005,"Egg, poultry, white",", boiled",6,,0.18±0.02,,,,,,,,,,
M006,"Egg, poultry, yolk,",boiled,6,456±31.2,3.04±0.33,,2.77±0.27,0.02±0.01,0.01±0.00,0.03±0.01,0.05±0.02,0.01±0.01,,2.80±0.28,40.29±6.52
M007,"Egg, poultry, omle",t,3,181±18.0,2.98±0.27,,1.82±0.17,0.06±0.01,0.03±0.01,0.25±0.10,0.11±0.02,0.01±0.01,,1.88±0.17,16.62±1.49
M008,"Egg, country hen,","whole, raw",1,206,4.46,,2.05,0.06,0.03,,0.08,0.01,,2.10,64.00
M009,"Egg, country hen, boiled","whole,",1,195,2.99,,2.00,0.05,0.03,,0.08,0.01,,2.05,60.00
M010,"Egg, country hen,",omlet,1,202,3.44,,2.70,0.07,0.04,,0.18,0.01,,2.79,66.00
M011,"Egg, duck, whole,",boiled,1,171,1.90,,2.04,,0.04,,0.04,,,2.06,117
M012,"Egg, duck, whole,",raw,1,181,2.67,,2.45,,0.04,,0.05,,,2.47,118
M013,"Egg, duck, whole,",omlet,1,166,2.10,,2.62,,0.06,,0.11,,,2.66,111
M014,"Egg, quial, whole,",raw,1,151,5.72,,0.98,,0.01,,0.05,,,0.99,8.19
M015,"Egg, quial, whole,",boiled,1,140,4.91,,0.82,,0.01,,0.04,,,0.84,4.46
N,POULTRY,,,,,,,,,,,,,,
N001,"Chicken, poultry, l","eg, skinless",4,10.95±2.21,1.12,0.02±0.00,0.60±0.10,,0.10±0.00,,0.02±0.01,0.01±0.01,,0.61±0.10,10.78±1.41
N002,"Chicken, poultry, t skinless","high,",6,16.48±2.85,1.22,0.02±0.00,0.65±0.13,,0.10±0.00,,0.01±0.01,0.02±0.01,,0.66±0.13,16.17±1.12
