Ta,,,,,,,,,
b,,,,,,,,,
le 3,,,s,,Cholecalc,,Tocopherols Tocotrienols,Alpha,
. Fat S,edoC,,noige,Retinol,iferol (D3),25-OH-D3,Alpha Beta Gamma Delta Alpha Beta Gamma Delta,Tocopherol Equivalent,Menaquinones (K2)
olu,do,Food Name,R f,,,,,,
ble,o,,o .,,µg,,mg,,µg
Vi,F,,oN,,,,,,
tam,,,,RETOL,CHOCAL,,TOCPHA TOCPHB TOCPHG TOCPHD TOCTRA TOCTRB TOCTRG TOCTRD,VITE,VITK2
ins,,,,,,,,,
,O023,"Sheep, spleen",1,6.61,,,0.10,0.10,7.50
,,,,,,,,,
,O024,"Sheep, kidneys",2,68.68,0.37,0.07,0.10,0.10,2.90
,,,,,,,,,
,O025,"Beef, shoulder",6,15.51±2.43,0.46,0.14±0.00,0.40±0.12,0.40±0.12,2.90±1.12
,,,,,,,,,
,O026,"Beef, chops",4,2.43±0.40,0.47,0.05±0.00,0.30±0.03,0.30±0.03,2.80±1.07
,,,,,,,,,
,O027,"Beef, round (leg)",6,2.52±0.64,0.43,0.11±0.00,0.40±0.09,0.40±0.09,5.80±1.29
,,,,,,,,,
,O028,"Beef, brain",4,2.18±0.22,0.69,0.05±0.00,0.10±0.02,0.10±0.02,2.70±0.85
,,,,,,,,,
,O029,"Beef, tongue",4,5.56±0.53,0.61,0.15±0.00,0.11±0.02,0.11±0.02,1.90±0.26
,,,,,,,,,
,O030,"Beef, lungs",3,1.89±0.16,,,0.11±0.04,0.11±0.04,3.70±1.05
,,,,,,,,,
82,,,,,,,,,
,O031,"Beef, heart",5,10.13±1.52,5.71,0.27±0.00,0.10±0.02,0.10±0.02,2.50±1.02
,,,,,,,,,
,O032,"Beef, liver",6,9119±707,,4.00±0.00,0.60±0.06,0.60±0.06,4.00±1.31
,,,,,,,,,
,O033,"Beef, tripe",5,4.29±0.30,4.00,0.06±0.00,0.41±0.08,0.41±0.08,3.50±0.64
,,,,,,,,,
,O034,"Beef, spleen",6,8.71±1.00,0.33,,0.10±0.01,0.10±0.01,2.50±1.00
,,,,,,,,,
,O035,"Beef, kidneys",3,98.04±9.31,0.53,0.11±0.00,0.08±0.03,0.08±0.03,2.50±0.92
,,,,,,,,,
,O036,"Calf, shoulder",2,13.17,,,0.30,0.30,3.50
,,,,,,,,,
,O037,"Calf, chops",2,2.10,0.74,,0.30,0.30,3.20
,,,,,,,,,
,O038,"Calf, round (leg)",2,2.42,0.97,,0.20,0.20,6.20
,,,,,,,,,
,O039,"Calf, brain",2,1.41,0.61,7.98,0.10,0.10,3.00
,,,,,,,,,
,O040,"Calf, tongue",2,4.63,,,0.10,0.10,1.70
,,,,,,,,,
,O041,"Calf, heart",1,4.83,,,0.10,0.10,1.90
,,,,,,,,,
,O042,"Calf, liver",1,9664,,,0.50,0.50,5.00
,,,,,,,,,
,O043,"Calf, spleen",1,6.32,0.29,,0.10,0.10,2.50
