edoc dooF,Foo,d Nam,e,snoigeR fo .oN,Lutein,Zeaxanthin Lycopene,β- γ-Carotene α-Carotene Cryptoxanthin,β-Carotene,Total Carotenoid
,,,,,,,µg,,
,,,,,,,,,
,,,,,LUTN,ZEA LYCPN,CRYPXB CARTG CARTA,CARTB,CARTOID
A C,EREALS,AND,MILLETS,,,,,,
A001 Amara,"nth seed, bla",ck (Am,aranthus cruentus),1,10.25,,,,121
Amara A002 cruentu,"nth seed, pal s)",e brow,n (Amaranthus,6,4.11±1.16,,,,59.68±3.09
A003 Bajra (,Pennisetum ty,phoide,um),6,29.69±8.72,9.30±1.23,,28.23±9.42,293±55.7
A004 Barley,(Hordeum vul,gare),,6,5.39±2.77,1.90±0.35,,,69.87±28.88
A005 Jowar,(Sorghum vul,gare),,6,9.08±1.77,7.48±2.41,,8.29±1.30,212±48.9
"A006 Maize,",dry (Zea may,s),,6,186±19.4,42.4±15.7,110±10.1,186±19.2,893±154
"A007 Maize,","tender, local",(Zea m,ays),6,110±28.1,26.53±3.59,37.26±4.60,36.27±11.33,1428±225
"A008 Maize,","tender, swee",t (Zea,mays),4,108±25.0,28.19±4.22,58.41±4.60,47.01±6.23,1035±154
A009 Quinoa,(Chenopodiu,m quin,oa),1,11.88,10.05,,5.12,153
A010 Ragi (E,leusine corac,ana),,5,25.53±5.82,1.45±0.23,,1.53±0.25,154±25.6
A011 Rice fl,akes (Oryza,sativa ),,6,1.46±0.25,,,,33.61±4.26
A012 Rice p,uffed (Oryza s,ativa ),,6,1.51±0.31,,,,50.46±4.52
"A013 Rice, r","aw, brown (O",ryza sa,tiva ),6,13.15±4.03,,,,159±13.9
"A014 Rice, p","arboiled, mil",led (O,ryza sativa ),6,1.46±0.72,,,,46.90±8.29
"A015 Rice, r","aw, milled (O",ryza s,ativa ),6,1.49±0.46,,,,16.87±5.61
A016 Samai,(Panicum mili,are),,6,7.82±1.76,5.24±1.66,,1.91±0.89,120±9.0
A017 Varagu,(Setaria italic,a),,5,59.40±7.01,3.91±1.08,,1.41±0.29,272±25.1
A018 Wheat,"flour, refined",(Tritic,um aestivum),6,24.41±9.21,1.30±0.72,,1.97±0.80,270±69.0
