Ta,,,,,,,,,,
bl,,,,,s,,,β-,,Total
e,,,,,n,Lutein,Zeaxanthin Lycopene,γ-Carotene α-Carotene,β-Carotene,
4.,ed,,,,oi,,,Cryptoxanthin,,Carotenoid
Car,oc,,Food Nam,e,geR,,,,,
oten,doo,,,,fo,,,µg,,
oi,F,,,,.o,,,,,
ds,,,,,N,LUTN,ZEA LYCPN,CRYPXB CARTG CARTA,CARTB,CARTOID
,,,,,,,,,,
,A019,"Wheat flour,",atta (Triticum,aestivum),6,42.12±11.27,1.31±0.69,,2.67±1.29,284±31.9
,,,,,,,,,,
,A020,"Wheat, whol",e (Triticum aes,tivum),6,52.56±5.67,1.47±0.68,,3.03±2.13,287±40.5
,,,,,,,,,,
,A021,"Wheat, bulg",ur (Triticum ae,stivum),6,47.67±13.64,1.06±0.80,,2.55±0.85,191±15.1
,,,,,,,,,,
,A022,"Wheat, semo",lina (Triticum,aestivum),6,29.94±7.39,1.13±0.66,,1.60±0.59,276±29.9
,,,,,,,,,,
,A023,"Wheat, verm",icelli (Triticum,aestivum),6,19.31±5.80,0.89±0.57,,1.68±0.31,39.54±5.33
,,,,,,,,,,
,A024,"Wheat, verm","icelli, roasted",(Triticum,6,12.89±4.12,1.08±0.42,,0.92±0.58,21.33±5.71
,,aestivum),,,,,,,,
,,,,,,,,,,
,B,GRAIN L,EGUMES,,,,,,,
,,,,,,,,,,
94,B001,Bengal gram,", dal (Cicer ar",ietinum),6,314±82.4,1.05±0.44,,165±22.8,1018±16.9
,,,,,,,,,,
,B002,Bengal gram,", whole (Cice",r arietinum),6,385±39.4,24.74±12.0,,172±21.0,999±240
,,,,,,,,,,
,B003,"Black gram,",dal (Phaseolu,s mungo),6,83.87±22.87,,,10.11±2.10,279±54.8
,,,,,,,,,,
,B004,"Black gram,",whole (Phase,olus mungo),6,95.42±2.13,,,12.80±0.50,463±34.2
,,,,,,,,,,
,B005,"Cowpea, bro",wn (Vigna cat,jang),6,83.34±26.30,,,7.08±1.58,218±16.8
,,,,,,,,,,
,B006,"Cowpea, whi",te (Vigna catj,ang),1,78.52,,,8.21,250
,,,,,,,,,,
,B007,"Field bean, b",lack (Phaseol,us vulgaris),1,48.99,,,,207
,,,,,,,,,,
,B008,"Field bean, b",rown (Phase,olus vulgaris),1,53.18,,,,254
,,,,,,,,,,
,B009,"Field bean,",white (Phaseo,lus vulgaris),5,58.47±4.55,,,,256±33.2
,,,,,,,,,,
,B010,"Green gram,",dal (Phaseolu,s aureus),6,113±22.6,2.98±1.73,,122±2.7,619±61.9
,,,,,,,,,,
,B011,"Green gram,",whole (Phase,olus aureus),6,187±20.7,5.63±2.50,,137±33.5,889±106
,,,,,,,,,,
,B012,"Horse gram,",whole (Dolicu,s biflorus),6,67.26±9.84,2.92±1.81,,58.57±9.13,267±42.8
,,,,,,,,,,
,B013,Lentil dal (Le,ns culinaris),,6,5.92±3.05,,,6.34±0.82,812±93.3
