Ta,,,,,,,,,,,
bl,,,,,s,,,β-,,,Total
e,,,,,n,Lutein,Zeaxanthin Lycopene,γ-Carotene,α-Carotene,β-Carotene,
,e,,,,o,,,,,,
4.,d,,,,i,,,Cryptoxanthin,,,Carotenoids
Ca,oc,F,ood Name,,geR,,,,,,
rote,doo,,,,fo,,,µg,,,
no,F,,,,.o,,,,,,
ids,,,,,N,LUTN,ZEA LYCPN,CRYPXB CARTG,CARTA,CARTB,CARTOID
,,,,,,,,,,,
,C008,Bathua leaves (Ch,enopodium album,),2,1795,132,,,1075,3469
,,,,,,,,,,,
,C009,Beet greens (Beta,vulgaris),,6,1495±329.1,146±53.2,,,1703±146,3340.97±143.39
,,,,,,,,,,,
,C010,"Betel leaves, big (",kolkata) (Piper be,tle),6,4253±1026,60.31±18.37,,191±39.0,4186±524,13735±1594
,,,,,,,,,,,
,C011,"Betel leaves, sma",ll (Piper betle),,4,5783±460,79.80±13.41,,427±64.0,4676±622,16563±1292
,,,,,,,,,,,
,C012,Brussels sprouts,(Brassica olerace,a var.,1,1653,35.64,,,360,2564
,,gemmifera),,,,,,,,,
,,,,,,,,,,,
,C013,"Cabbage, Chines",e (Brassica rupa),,1,58.00,1.50,,,5.50,103
,,,,,,,,,,,
,C014,"Cabbage, collard",greens (Brassica,oleracea,1,143,2.68,,,104,358
,,var. viridis),,,,,,,,,
,C015,"Cabbage, green (",Brassica oleracea,var.,6,3.98±1.34,,,,20.48±2.21,273±7.3
,,capitata f. alba),,,,,,,,,
,,"Cabbage, violet (",Brassica oleracea,var.,,,,,,,
9,C016,,,,2,44.50,2.20,,,31.17,339
6,,capitata f. rubra),,,,,,,,,
,C017,Cauliflower leave,s (Brassica olerac,ea var.,6,152±21.2,1.97±0.39,,,146±15.6,1742±9.4
,,botrytis),,,,,,,,,
,C018,"Colocasia leaves,",green (Colocasia,anti-,6,5222±1363,136±28.9,,,5758±1836,26820±3413
,,quorum),,,,,,,,,
,,,,,,,,,,,
,C019,Drumstick leaves,(Moringa oleifera),,3,15580±3760,235±19.4,,,17542±1425,38765±7172
,,,,,,,,,,,
,C020,Fenugreek leaves,(Trigonella foenu,m,5,2275±754,28.28±9.53,,,9245±974,12755±1221
,,graecum),,,,,,,,,
,,,,,,,,,,,
,C021,Garden cress (Le,pidium sativum),,2,1354,16.63,,,88.72,5048
,,,,,,,,,,,
,C022,"Gogu leaves, gre",en (Hibiscus canna,binus),4,5276±985,18.72±10.90,,,5285±856,16088±3497
,,,,,,,,,,,
,C023,"Gogu leaves, red",(Hibiscus cannabi,nus),1,4782,20.50,,,5143,15934
,,,,,,,,,,,
,C024,"Knol-Khol, leaves",(Brassica olerace,a var.,2,15.62,2.77,,,12.04,154
,,gongylodes),,,,,,,,,
,,,,,,,,,,,
,C025,Lettuce (Lactuca s,ativa),,3,1858±322,5.64±2.79,,,1285±167,7532±1363
,,,,,,,,,,,
,C026,Mustard leaves (B,rassica juncea),,3,2939±562,8.13±3.96,,,2619±372,6397±1014
,,,,,,,,,,,
,C027,Pak Choi leaves(,Brassica rapa var.,,1,2655,5.50,,,2450,5111
,,Chinensis),,,,,,,,,
,,,,,,,,,,,
,C028,Parsley (Petroselin,um crispum),,3,3574±455,11.92±7.28,,,2710±349,6558±578
