Ta,,,,,,,,,
bl,,,,s,,,β-,,Total
e,,,,n,Lutein,Zeaxanthin Lycopene,γ-Carotene α-Carotene,β-Carotene,
4.,ed,,,oi,,,Cryptoxanthin,C,arotenoi
Car,oc,Foo,d Name,geR,,,,,
oten,doo,,,fo,,,µg,,
oi,F,,,.o,,,,,
ds,,,,N,LUTN,ZEA LYCPN,CRYPXB CARTG CARTA,CARTB,CARTOID
,,,,,,,,,
,D014,Brinjal-5 (Solanum m,elongena),3,122±10.1,2.78±1.52,,123±12.7,136±3.9
,,,,,,,,,
,D015,Brinjal-6 (Solanum m,elongena),2,126,4.16,,129,168
,,,,,,,,,
,D016,Brinjal-7 (Solanum m,elongena),1,155,4.50,,155,166
,,,,,,,,,
,D017,Brinjal-8(Solanum m,elongena),3,162±19.2,3.77±1.89,,162±16.1,190±12.3
,,,,,,,,,
,D018,Brinjal-9(Solanum m,elongena),2,160,2.89,,158,232
,,,,,,,,,
,D019,Brinjal-10 (Solanum,melongena),2,161,2.39,,161,162
,,,,,,,,,
,D020,Brinjal-11 (Solanum,melongena),6,152±11.5,2.02±0.63,,162±22.2,227±28.0
,,,,,,,,,
,D021,Brinjal-12 (Solanum,melongena),2,147,2.89,,144,217
,,,,,,,,,
,D022,Brinjal-13(Solanum,melongena),1,138,3.90,,138,116
98,,,,,,,,,
,D023,Brinjal-14(Solanum,melongena),3,137±12.2,4.12±2.23,,134±21.4,493±142
,,,,,,,,,
,D024,Brinjal-15 (Solanum,melongena),4,169±24.2,4.35±1.76,,162±41.9,346±84.4
,,,,,,,,,
,D025,Brinjal-16(Solanum,melongena),1,155,1.80,,155,364
,,,,,,,,,
,D026,Brinjal-17(Solanum,melongena),1,146,1.90,,146,564
,,,,,,,,,
,D027,Brinjal-18 (Solanum,melongena),3,128±15.1,2.88±1.48,,130±11.4,364±94.2
,,,,,,,,,
,D028,Brinjal-19(Solanum,melongena),3,119±14.7,3.68±1.70,,119±16.8,552±90.6
,,,,,,,,,
,D029,Brinjal-20(Solanum,melongena),5,139±12.6,4.08±1.72,,139±18.5,651±37.7
,,,,,,,,,
,D030,Brinjal-21(Solanum,melongena),2,156,4.44,,155,670
,,,,,,,,,
,D031,Brinjal - all varieties,(Solanum melongena),6,144±18.7,3.21±1.55,,146±24.0,309±188
,,,,,,,,,
,D032,Broad beans (Vicia f,aba),3,106±33.5,24.25±8.69,,6.38±0.62,574±5.14
,,,,,,,,,
,D033,"Capsicum, green (C",apsicum annuum),6,164±43.9,21.41±8.02,,328±61.7,2511±776
,,,,,,,,,
,D034,"Capsicum, red (Cap",sicum annuum),4,165±33.2,18.28±6.66,,246±47.2,3047±785
,,,,,,,,,
,D035,"Capsicum, yellow (C",apsicum annuum),4,280±57.2,17.95±5.26,,166±15.0,2717±203
