Ta,,,,,,,,,,,,
bl,,,,s,,,,β-,,,,Total
e,,,,n,Lutein,Zeaxanthin,Lycopene,,γ-Carotene,α-Carotene,β-Carotene,
4.,ed,,,oi,,,,Cryptoxanthin,,,,Carotenoid
Car,oc,Fo,od Name,geR,,,,,,,,
oten,doo,,,fo,,,,µg,,,,
oi,F,,,.o,,,,,,,,
ds,,,,N,LUTN,ZEA,LYCPN,CRYPXB,CARTG,CARTA,CARTB,CARTOID
,,,,,,,,,,,,
,D057,"Mango, green, raw",(Mangifera indica),6,122±13.7,1.52±1.18,,11.94±0.73,,,72.37±6.60,517±53.6
,,,,,,,,,,,,
,D058,"Onion, stalk (Allium",cepa),6,575±175,2.43±0.68,,,,,700±2.6,3488±11.1
,,,,,,,,,,,,
,D059,"Papaya, raw (Carica",papaya),6,266±55.8,7.88±0.32,,76.80±18.04,,,164±60.8,548±67.5
,,,,,,,,,,,,
,D060,Parwar (Trichosanth,es dioica),6,322±102,10.77±3.25,,,,,13.10±1.50,965±15.0
,,,,,,,,,,,,
,D061,"Peas, fresh (Pisum",sativum),6,68.6±19.1,11.40±2.54,,,,,121±12.5,1286±259
,,,,,,,,,,,,
,D062,"Plantain, flower (M",usa x paradisiaca),6,75.7±5.0,5.90±2.93,,,,,35.36±7.72,149±19.5
,,,,,,,,,,,,
,D063,"Plantain, green (Mu",sa x paradisiaca),6,28.9±9.85,3.45±1.94,,,,,3.01±1.65,224±29.8
,,,,,,,,,,,,
,D064,"Plantain, stem (Mu",sa x paradisiaca),6,26.3±6.75,3.68±1.72,,,,,2.39±1.25,69.31±6.73
,,,,,,,,,,,,
,D065,"Pumpkin, green, cy",lindrical (Cucurbita,1,394,26.60,,,,63.91,363,1319
1,,maxima),,,,,,,,,,
00,,,,,,,,,,,,
,D066,"Pumpkin, orange,",round (Cucurbita maxima),6,161±17.5,34.91±4.73,,,,90.74±12.40,149±16.8,1449±167
,,,,,,,,,,,,
,D067,"Red gram, tender, f",resh (Cajanus cajan),1,190,,,,,,165,495
,,,,,,,,,,,,
,D068,Ridge gourd (Luffa,acutangula),6,129±20.5,19.50±3.17,,,,,348±31.4,838±101
,,,,,,,,,,,,
,D069,"Ridge gourd, smoo",th skin (Luffa acutangula),3,127±25.8,18.83±2.68,,,,,349±23.4,851±84.6
,,,,,,,,,,,,
,D070,"Snake gourd, long,",pale green,6,38.9±8.68,3.67±2.30,,,,,61.29±2.40,190±18.8
,,(Trichosanthes angu,ina),,,,,,,,,
,,,,,,,,,,,,
,D071,"Snake gourd, long,",dark green,2,39.60,5.41,,,,,61.64,188
,,(Trichosanthes angu,ina),,,,,,,,,
,,,,,,,,,,,,
,D072,"Snake gourd, short",(Trichosanthes anguina),1,32.75,4.50,,,,,62.84,188
,,,,,,,,,,,,
,D073,"Tinda, tender (Prae",citrullus fistulosus),6,8.19±2.71,2.22±1.62,,,,,7.96±1.10,49.81±2.51
,,,,,,,,,,,,
,D074,"Tomato, green (Lyc",opersicon esculentum),6,38.9±8.90,2.48±1.34,35.97±13.4,,5.80±0.79,,32.33±3.91,546±59.3
,,,,,,,,,,,,
,D075,"Tomato, ripe, hybri",d (Lycopersicon,6,1568±530,10.96±2.17,2481±495,,7.32±1.16,,1513±146,5826±828
,,esculentum),,,,,,,,,,
,,,,,,,,,,,,
,D076,"Tomato, ripe, local",(Lycopersicon,6,965±167,17.52±6.44,1736±278,,9.37±0.53,,905±58.4,4656±636
,,esculentum),,,,,,,,,,
,,,,,,,,,,,,
,D077,"Zucchini, green (C",ucurbita pepo),2,87.86,16.23,,,,,85.79,963
