Ta,,,,,,,,,,,,
bl,,,,,,s,,,,β-,,Total
e,,,,,,n,,,,,,
4,e,,,,,o,Lutein,Zeaxanthin,Lycopene,γ-Carotene α-Carotene,β-Carotene,
.,d,,,,,i,,,,Cryptoxanthin,,Carotenoid
Car,oc,,F,ood Nam,e,geR,,,,,,
oten,doo,,,,,fo,,,,µg,,
oi,F,,,,,.o,,,,,,
ds,,,,,,N,LUTN,ZEA,LYCPN,CRYPXB CARTG CARTA,CARTB,CARTOID
,,,,,,,,,,,,
,E020,Fig (Ficus car,ica),,,6,19.0±2.27,2.01±0.64,,,2.40±0.59,454±51.3
,,,,,,,,,,,,
,E021,Goosberry (E,mbli,ca officina,lis),5,38.7±9.78,2.86±1.61,,,1.58±0.09,62.01±6.45
,,,,,,,,,,,,
,E022,"Grapes, seed","ed,","round, bla",ck (Vitis vinifera),4,27.8±8.85,3.59±2.20,,,29.36±8.37,213±29.4
,,,,,,,,,,,,
,E023,"Grapes, seed","ed,","round, gre",en (Vitis vinifera),5,31.3±8.77,4.06±1.60,,,30.77±11.10,208±28.8
,,,,,,,,,,,,
,E024,"Grapes, seed","ed,","round, red",(Vitis vinifera),5,17.2±3.04,7.58±2.28,,,19.94±1.29,314±99.9
,,,,,,,,,,,,
,E025,"Grapes, seed",less,", oval, bla",ck (Vitis vinifera),5,19.4±3.07,8.14±1.73,,,19.73±1.76,321±50.6
,,,,,,,,,,,,
,E026,"Grapes, seed",less,", round, g",reen (Vitis,5,25.8±7.90,6.82±3.77,,,25.46±6.66,216±31.3
,,vinifera),,,,,,,,,,
,E027,"Grapes, seed",less,", round, b",lack (Vitis,5,16.1±2.90,7.95±1.73,,,20.58±2.36,232±27.9
,,vinifera),,,,,,,,,,
,,,,,,,,,,,,
,E028,"Guava, white",fles,h (Psidium,guajava),5,19.7±4.59,5.92±3.06,,,298±32.8,996±108
102,,,,,,,,,,,,
,E029,"Guava, pink f",lesh,(Psidium,guajava),5,90.3±11.5,8.94±2.21,2843±340,,267±88.2,4078±477
,,,,,,,,,,,,
,E030,"Jack fruit, rip",e (A,rtocarpus,heterophyllus),5,19.3±6.91,2.42±1.27,,,23.53±1.24,59.61±4.90
,,,,,,,,,,,,
,E031,"Jambu fruit, r",ipe,(Syzygium,cumini),2,18.49,5.68,,,1.55,66.50
,,,,,,,,,,,,
,E032,Karonda fruit,(Ca,rissa cara,ndas),1,6.12,1.14,,,15.64,55.89
,,,,,,,,,,,,
,E033,"Lemon, juice",(Cit,rus limon),,6,9.68±2.22,1.72±0.50,,,2.62±0.34,85.99±3.36
,,,,,,,,,,,,
,E034,"Lime, sweet,",pulp,(Citrus lim,etta),6,13.2±3.54,1.89±0.44,,,2.54±0.30,85.13±10.71
,,,,,,,,,,,,
,E035,Litchi (Nephe,lium,litchi),,4,27.33±9.81,1.61±0.62,,,1.47±0.21,129±15.1
,,,,,,,,,,,,
,E036,"Mango, ripe,",ban,ganapalli,(Mangifera indica),6,3.19±1.51,1.62±0.22,,2.72±1.31,1168±141,1424±308
,,,,,,,,,,,,
,E037,"Mango, ripe,",gula,bkhas (M,angifera indica),2,4.18,1.64,,4.58,666,1350
,,,,,,,,,,,,
,E038,"Mango, ripe,",him,sagar (Ma,ngifera indica),3,6.26±2.09,1.19±0.14,,5.60±3.84,1181±136,1423±201
,,,,,,,,,,,,
,E039,"Mango, ripe,",kes,ar (Mangife,ra indica),4,3.71±2.21,2.33±0.17,,6.96±3.31,1264±172,1438±314
,,,,,,,,,,,,
,E040,"Mango, ripe,",nee,lam (Mang,ifera indica),2,2.95,1.67,,2.51,1291,1376
,,,,,,,,,,,,
,E041,"Mango, ripe,",pah,eri (Mangif,era indica),2,2.51,7.19,,2.49,1061,1210
