Ta,,,,,,,,,,,
bl,,,,s,,,,β-,,,Total
e,,,,n,,,,,,,
,e,,,o,Lutein,Zeaxanthin,Lycopene,γ-Carotene,α-Carotene,β-Carotene,
4.,d,,,i,,,,Cryptoxanthin,,,Carotenoid
Ca,oc,,,ge,,,,,,,
ro,d,Food,Name,R,,,,µg,,,
te,oo,,,fo,,,,,,,
noi,F,,,.o,,,,,,,
ds,,,,N,LUTN,ZEA,LYCPN,CRYPXB CARTG,CARTA,CARTB,CARTOID
,,,,,,,,,,,
,E064,"Tamarind, pulp (Tama",rindus indicus),6,28.4±2.99,11.61±5.64,,,,1.54±0.42,188±21.3
,,,,,,,,,,,
,E065,"Water melon, dark gr",een (sugar baby),6,914±211,25.95±11.73,1477±347,,,605±121,4176±537
,,(Citrullus vulgaris),,,,,,,,,
,,,,,,,,,,,
,E066,"Water melon, pale gr",een (Citrullus vulgaris),6,981±124,23.40±8.65,1257±408,,,576±119,4300±379
,,,,,,,,,,,
,E067,Wood Apple (Limonia,acidissima),3,11.0±1.56,2.57±0.83,,,,3.81±1.28,77.06±7.46
,,,,,,,,,,,
,E068,Zizyphus(Zizyphus ju,jube),1,10.70,1.60,,,,1.50,76.80
,,,,,,,,,,,
,F,ROOTS AND TU,BERS,,,,,,,,
,,,,,,,,,,,
,F001,Beet root (Beta vulgar,is),6,28.6±10.9,4.57±2.69,,,,10.14±2.52,12.88±1.58
,,,,,,,,,,,
,F002,"Carrot, orange (Dacu",s carota),6,257±63.1,13.93±4.31,157±44.9,,2654±524,5423±450,9377±1093
10,,,,,,,,,,,
4,F003,"Carrot, red (Dacus ca",rota),4,224±45.1,15.49±4.61,871±95.9,,1128±179,2706±298,7570±412
,,,,,,,,,,,
,,,,,,,,,,,
,F004,Colocasia (Colocasia,antiquorum),6,5.87±1.78,2.07±0.69,,,,6.50±1.16,21.72±2.75
,,,,,,,,,,,
,F005,Lotus root (Nelumbiu,m nelumbo),3,13.0±1.58,,,,,,156±19.5
,,,,,,,,,,,
,F006,"Potato, brown skin, b",ig (Solanum,6,8.07±0.98,122±4.9,,,,,208±19.3
,,tuberosum),,,,,,,,,
,F007,"Potato, brown skin, s",mall (Solanum,1,7.86,125,,,,,224
,,tuberosum),,,,,,,,,
,,,,,,,,,,,
,F008,"Potato, red skin (Sola",num tuberosum),1,8.12,123,,,,,226
,,,,,,,,,,,
,F009,"Radish, elongate, red",skin (Raphanus,3,8.68±1.90,2.38±0.93,,,,1.62±0.37,17.61±5.77
,,sativus),,,,,,,,,
,F010,"Radish, elongate, wh",ite skin (Raphanus,6,5.34±0.84,2.08±0.84,,,,,10.60±1.22
,,sativus),,,,,,,,,
,,,,,,,,,,,
,F011,"Radish, round, red sk",in (Raphanus sativus),1,7.80,2.50,,,,1.20,13.07
,,,,,,,,,,,
,F012,"Radish, round, white",skin (Raphanus,2,6.36,1.66,,,,,23.69
,,sativus),,,,,,,,,
,,,,,,,,,,,
,F013,"Sweet potato, brown",skin (Ipomoes batatas),4,282±56.1,146±22.7,,,,5376±816,8653±749
,,,,,,,,,,,
,F014,"Sweet potato, pink sk",in (Ipomoes batatas),3,208±54.2,133±11.7,,,,11.12±1.45,95.93±16.07
