edoc dooF,Foo,d,Name,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
B015,"Lentil whole, yell",o,wish (Lens culinaris),2,86.38,1.56,1.62,0.299,0.145,261,764,56.28,10.87,3.31
B016,Moth bean (Vigna,a,conitifolia),6,205±13.5,1.07±0.02,,0.059±0.025,0.180±0.014,362±31.7,1356±53.2,18.82±3.46,26.34±0.10,1.92±0.08
B017,"Peas, dry (Pisum",sa,tivum),6,123±8.1,1.08±0.09,1.83±3.36,0.113±0.084,0.111±0.021,334±18.3,922±67.4,50.07±3.23,23.40±0.07,3.10±0.14
B018,"Rajmah, black (P",ha,seolus vulgaris),2,160,1.19,,0.034,0.283,386,1362,18.65,9.40,3.08
B019,"Rajmah, brown (P",h,aseolus vulgaris),6,164±22.3,1.19±0.09,1.48±0.18,0.081±0.043,0.287±0.122,396±32.5,1366±113,12.70±5.51,10.47±0.10,2.60±0.17
B020,"Rajmah, red (Pha",se,olus vulgaris),3,173±9.7,1.24±0.11,,0.054±0.035,0.203±0.085,409±32.4,1324±195,22.45±5.37,10.45±0.05,2.69±0.34
B021,"Red gram, dal (Ca",j,anus cajan),6,119±15.3,1.12±0.08,1.56±0.34,0.131±0.080,0.198±0.053,328±17.2,1395±118,14.36±4.16,18.01±0.12,2.63±0.10
B022,"Red gram, whole",(C,ajanus cajan),6,155±23.1,1.34±0.29,2.22±0.47,0.087±0.054,0.161±0.031,312±38.3,1303±103,15.41±7.61,19.03±0.11,2.99±0.25
B023,Ricebean (Vigna u,m,bellata),1,201,1.68,,,,270,1196,,10.62,2.29
B024,"Soya bean, brown",,(Glycine max),6,259±40.2,2.69±0.37,1.15±0.30,0.157±0.108,0.154±0.039,483±38.9,1613±75.6,19.00±5.48,2.07±0.05,4.01±0.51
B025,"Soya bean, white",(,Glycine max),1,189,2.27,,0.156,0.169,494,1634,16.85,2.83,3.47
C,GREEN LEA,F,Y VEGETABLES,,,,,,,,,,,
C001,Agathi leaves (Se,s,bania grandiflora),1,96.64,1.24,0.41,0.003,0.068,52.52,674,30.70,18.12,0.53
C002,"Amaranth leaves, gangeticus)",g,reen (Amaranthus,6,194±53.2,1.24±0.23,,0.024±0.023,0.017±0.008,73.22±12.66,572±152,20.97±2.01,16.08±3.71,0.86±0.31
C003,"Amaranth leaves, gangeticus)",r,ed (Amaranthus,1,177,2.15,,0.013,0.026,75.98,564,22.55,14.58,1.37
C004,"Amaranth leaves, (Amaranthus gang",r et,ed and green icus),4,146±25.9,1.43±0.44,,0.010±0.004,0.030±0.020,68.23±5.66,597±118,21.62±2.82,17.55±2.59,1.03±0.31
C005,Amaranth spinos (Amaranthus spino,u s,"s, leaves, green us)",4,202±68.2,1.07±0.31,,0.032±0.015,0.024±0.004,72.46±21.03,569±78.0,28.97±2.54,15.66±1.50,1.57±0.50
C006,Amaranth spinos green (Amaranthu,u s,"s, leaves, red and spinosus)",2,187,1.84,,0.021,0.020,85.02,588,19.41,16.27,1.11
C007,Basella leaves (B,as,ella alba),2,153,1.29,,0.006,0.044,37.26,337,6.17,18.74,0.39
