edoc dooF,Foo,d Name,,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
C009,Beet greens (Beta,vulgaris),,6,120±7.8,1.16±0.04,0.26±0.12,0.036±0.030,0.02±0.011,36.02±4.80,530±49.0,47.75±17.81,111±34.1,0.16±0.03
C010,"Betel leaves, big (",kolkata) (P,iper betle),6,107±22.4,2.57±0.77,0.21±0.13,0.004±0.004,0.050±0.023,51.73±4.83,649±9.0,12.15±2.80,16.80±0.03,0.47±0.17
C011,"Betel leaves, sma",ll (Piper bet,le),4,89.94±14.98,1.79±0.62,,0.002±0.002,0.043±0.017,55.72±3.36,678±5.2,5.40±1.71,14.04±2.32,0.39±0.06
C012,Brussels sprouts var. gemmifera),(Brassica o,leracea,1,32.99,0.41,0.06,0.013,0.012,98.56,639,2.01,18.51,0.57
C013,"Cabbage, Chines",e (Brassica,rupa),1,11.51,0.19,,,,33.05,258,1.85,20.28,0.19
C014,"Cabbage, collard oleracea var. viridi",greens (Br s),assica,1,45.90,1.27,,0.004,0.030,54.67,292,2.35,22.98,0.35
C015,"Cabbage, green ( capitata f. alba)",Brassica ole,racea var.,6,17.99±3.22,0.20±0.09,,0.002±0.001,0.009±0.003,30.15±6.48,233±59.0,1.08±0.16,14.98±2.78,0.16±0.03
C016,"Cabbage, violet (B capitata f. rubra)",rassica ole,racea var.,2,26.87,0.19,,0.002,0.004,22.14,201,1.08,24.00,0.13
C017,Cauliflower leave var. botrytis),s (Brassica,oleracea,6,41.50±1.86,0.50±0.05,,0.006±0.003,0.013±0.009,62.82±2.98,374±14.1,1.05±0.16,24.31±5.03,0.31±0.06
C018,"Colocasia leaves, quorum)",green (Col,ocasia anti-,6,59.44±16.08,1.30±0.42,0.25±0.07,0.015±0.011,0.026±0.012,57.88±5.60,404±104,4.30±1.13,12.08±1.93,0.82±0.21
C019,Drumstick leaves,(Moringa ol,eifera),3,97.09±10.17,1.26±0.60,,0.036±0.000,0.024±0.015,109±20.7,397±2.1,5.95±3.28,9.34±2.11,0.72±0.19
C020,Fenugreek leaves graecum),(Trigonella,foenum,5,63.67±18.51,0.84±0.34,,0.017±0.014,0.034±0.013,53.05±7.08,226±63.0,1.29±0.51,47.01±4.23,0.54±0.06
C021,Garden cress (Le,pidium sativ,um),2,79.24,1.20,0.34,0.005,0.042,45.55,379,8.08,25.35,1.52
C022,"Gogu leaves, gre cannabinus)",en (Hibiscus,,4,83.09±15.88,2.03±0.32,,0.012±0.007,0.050±0.013,41.99±6.83,260±5.4,2.38±0.33,12.34±2.36,0.65±0.08
C023,"Gogu leaves, red",(Hibiscus c,annabinus),1,75.75,1.75,,0.010,0.050,36.38,161,3.25,14.08,0.63
C024,"Knol-Khol, leaves var. gongylodes)",(Brassica o,leracea,2,66.00,0.70,0.29,0.105,0.018,55.02,309,10.50,26.80,0.42
C025,Lettuce (Lactuca s,ativa),,3,43.22±17.56,0.38±0.15,0.08±0.04,0.004±0.002,0.010±0.002,44.10±11.69,279±77.6,5.56±1.89,17.53±2.53,0.51±0.22
C026,Mustard leaves (B,rassica jun,cea),3,51.63±4.38,0.41±0.07,,0.010±0.001,0.015±0.001,71.62±16.63,403±62.5,8.03±0.33,19.14±3.67,0.68±0.09
C027,Pak Choi leaves(B Chinensis),rassica rap,a var.,1,45.28,0.36,0.08,0.020,0.024,25.95,250,0.79,33.73,0.16
C028,Parsley (Petroseli,num crispum,),3,49.18±13.89,0.91±0.01,0.49±0.22,0.015±0.007,0.043±0.017,78.56±15.86,466±62.2,10.24±1.91,53.08±0.46,1.29±0.14
