edoc dooF,Food,Name,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
D013,Brinjal-4 (Solanum,melongena),4,20.65±7.46,0.18±0.03,,0.001±0.000,0.019±0.011,31.82±5.99,268±114,,3.31±0.24,0.21±0.04
D014,Brinjal-5 (Solanum,melongena),3,25.36±11.97,0.16±0.02,,0.001±0.001,0.011±0.008,33.13±6.40,227±35.4,,4.03±0.55,0.20±0.05
D015,Brinjal-6 (Solanum,melongena),2,18.82,0.20,,0.003,0.007,30.12,289,,3.75,0.20
D016,Brinjal-7 (Solanum,melongena),1,15.26,0.16,,0.001,0.011,29.58,238,,3.45,0.16
D017,Brinjal-8(Solanum m,elongena),3,26.63±8.03,0.19±0.02,,0.002±0.001,0.012±0.009,35.84±3.90,284±124,,4.73±0.10,0.24±0.08
D018,Brinjal-9(Solanum m,elongena),2,26.23,0.16,,,0.003,35.71,224,,3.08,0.23
D019,Brinjal-10 (Solanum,melongena),2,22.11,0.18,,,0.016,37.36,252,,4.35,0.23
D020,Brinjal-11 (Solanum,melongena),6,20.73±5.13,0.14±0.02,,0.002±0.001,0.007±0.003,33.28±7.08,260±51.3,,3.47±0.27,0.22±0.04
D021,Brinjal-12 (Solanum,melongena),2,19.26,0.18,,0.001,0.013,37.81,259,,3.88,0.25
D022,Brinjal-13(Solanum,melongena),1,18.00,0.15,,,0.007,26.81,260,,3.00,0.19
D023,Brinjal-14(Solanum,melongena),3,19.19±8.62,0.15±0.07,,0.002±0.000,0.015±0.013,30.07±4.05,246±20.2,,3.71±0.25,0.19±0.06
D024,Brinjal-15 (Solanum,melongena),4,21.89±3.72,0.15±0.05,,0.004±0.003,0.003±0.001,30.32±4.00,215±67.5,,3.34±0.27,0.22±0.04
D025,Brinjal-16(Solanum,melongena),1,17.06,0.18,,,0.003,29.86,294,,3.22,0.19
D026,Brinjal-17(Solanum,melongena),1,23.13,0.14,,,0.005,35.94,233,,3.09,0.25
D027,Brinjal-18 (Solanum,melongena),3,15.48±1.73,0.17±0.04,,0.006±0.000,0.010±0.013,28.03±6.25,208±51.4,,3.63±0.38,0.18±0.05
D028,Brinjal-19(Solanum,melongena),3,18.41±2.91,0.16±0.02,,0.001±0.000,0.016±0.003,29.76±2.67,243±57.7,,3.11±0.08,0.19±0.03
D029,Brinjal-20(Solanum,melongena),5,18.51±3.26,0.16±0.05,,0.001±0.001,0.009±0.007,31.21±6.76,239±29.6,,3.58±0.27,0.20±0.05
D030,Brinjal-21(Solanum,melongena),2,17.30,0.23,,,0.017,34.98,252,,3.06,0.20
D031,Brinjal - all varietie melongena),s (Solanum,6,21±5.68,0.17±0.06,,0.002±0.002,0.011±0.009,32.56±5.91,247±59.8,,3.55±0.47,0.21±0.05
D032,Broad beans (Vicia,faba),3,40.18±2.10,0.47±0.04,,0.024±0.006,0.04±0.01,67.97±8.14,362±14.1,9.03±1.67,20.74±0.65,0.61±0.06
D033,"Capsicum, green (C",apsicum annuum),6,11.84±1.91,0.10±0.04,,0.001±0.001,0.014±0.007,23±5.42,154±24.2,0.18±0.05,1.84±0.10,0.15±0.03
