,,,,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
D056,Ladies finger (Abel,moschus esculentus),6,0.47±0.15,,0.002±0.001,86.12±6.93,0.005±0.001,0.002±0.001,0.13±0.01,0.84±0.15,0.001±0.000,0.002±0.001
D057,"Mango, green, raw",(Mangifera indica),6,0.11±0.02,,,27.00±4.93,0.010±0.003,,0.08±0.02,0.40±0.08,,
D058,"Onion, stalk (Allium",cepa),6,2.78±1.26,1.73±0.46,0.003±0.003,31.12±7.53,0.059±0.014,0.002±0.001,0.14±0.03,3.09±0.54,0.016±0.008,0.007±0.001
D059,"Papaya, raw (Caric",a papaya),6,0.05±0.01,0.63±0.34,,22.72±1.71,0.003±0.002,,0.05±0.04,0.20±0.03,0.001±0.000,0.001±0.001
D060,Parwar (Trichosanth,es dioica),6,0.33±0.06,0.68±0.38,,30.76±3.08,0.013±0.002,0.001±0.001,0.09±0.01,0.50±0.11,,
D061,"Peas, fresh (Pisum",sativum),6,0.20±0.06,,,28.24±3.62,0.002±0.001,0.003±0.001,0.22±0.03,1.58±0.15,,
D062,"Plantain, flower (M",usa x paradisiaca),6,0.07±0.02,,,34.06±1.85,0.005±0.002,,0.10±0.01,0.40±0.05,,
D063,"Plantain, green (Mu",sa x paradisiaca),6,0.08±0.06,,,13.80±2.56,0.012±0.009,0.002±0.003,0.10±0.03,0.34±0.09,0.001±0.001,
D064,"Plantain, stem (Mu",sa x paradisiaca),6,0.13±0.02,0.05±0.03,,11.24±2.30,0.015±0.006,0.001±0.001,0.04±0.02,0.26±0.10,0.002±0.003,0.001±0.001
D065,"Pumpkin, green, cy maxima)",lindrical (Cucurbita,1,0.09,,,24.10,0.004,,0.04,0.29,,
D066,"Pumpkin, orange, maxima)",round (Cucurbita,6,0.11±0.05,,,23.06±4.30,0.002±0.001,,0.06±0.01,0.36±0.11,,
D067,"Red gram, tender, f cajan)",resh (Cajanus,1,,0.11,0.002,58.58,,0.001,0.45,1.18,0.006,
D068,Ridge gourd (Luffa,acutangula),6,0.07±0.03,,,13.70±1.38,0.003±0.000,0.001±0.000,0.10±0.03,0.42±0.05,,0.001±0.001
D069,"Ridge gourd, smoo acutangula)",th skin (Luffa,3,0.10±0.07,,,14.96±2.15,0.003±0.001,0.001±0.001,0.09±0.02,0.50±0.18,,0.001±0.001
D070,"Snake gourd, long, (Trichosanthes angu",pale green ina),6,0.06±0.03,,,24.60±4.77,0.002±0.002,0.001±0.001,0.09±0.02,0.32±0.08,,0.001±0.000
D071,"Snake gourd, long, (Trichosanthes angu",dark green ina),2,0.05,,,27.11,0.002,0.001,0.11,0.47,,0.001
D072,"Snake gourd, short anguina)",(Trichosanthes,1,0.05,,,17.90,0.001,,0.05,0.20,,
D073,"Tinda, tender (Prae",citrullus fistulosus),6,0.15±0.03,,,19.68±3.27,0.004±0.001,0.001±0.000,0.08±0.01,0.41±0.03,,0.001±0.001
D074,"Tomato, green (Lyc esculentum)",opersicon,6,,0.18±0.07,0.001±0.000,8.49±1.56,0.028±0.013,0.002±0.001,0.06±0.02,0.42±0.08,0.002±0.001,
D075,"Tomato, ripe, hybri esculentum)",d (Lycopersicon,6,0.05±0.02,,,8.90±1.04,0.003±0.001,0.001±0.000,0.04±0.01,0.22±0.02,0.001±0.000,
D076,"Tomato, ripe, local esculentum)",(Lycopersicon,6,0.04±0.02,,,10.17±1.84,0.005±0.004,,0.06±0.01,0.30±0.09,,
