edoc dooF,,Food Name,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
D056,Ladies finger (,Abelmoschus esculentus),6,66.10±8.99,0.30±0.04,,0.005±0.002,0.012±0.001,57.48±6.93,263±32.5,,7.37±0.14,0.45±0.04
D057,"Mango, green,",raw (Mangifera indica),6,17.54±3.18,0.23±0.06,,,0.006±0.002,14.92±2.22,147±20.9,,33.15±0.10,0.09±0.02
D058,"Onion, stalk (A",llium cepa),6,66.71±8.82,0.22±0.06,,0.017±0.007,0.031±0.007,28.53±3.74,312±63.2,5.22±2.02,15.52±2.48,0.99±0.21
D059,"Papaya, raw (C",arica papaya),6,15.03±1.12,0.03±0.01,,0.001±0.001,0.002±0.000,24.11±6.35,173±29.1,1.29±1.05,7.55±0.08,0.08±0.01
D060,Parwar (Trichos,anthes dioica),6,24.59±3.64,0.13±0.03,,,0.012±0.004,33.81±3.72,117±2.5,2.32±0.88,2.29±0.09,0.23±0.03
D061,"Peas, fresh (Pis",um sativum),6,40.11±3.29,0.46±0.06,,0.020±0.004,0.043±0.008,55.95±2.74,249±9.0,1.63±0.41,3.66±0.04,1.09±0.15
D062,"Plantain, flowe",r (Musa x paradisiaca),6,39.76±5.37,1.09±0.21,,0.004±0.002,0.009±0.003,47.31±5.74,488±46.3,2.82±0.48,7.51±0.11,0.42±0.05
D063,"Plantain, green",(Musa x paradisiaca),6,35.64±5.34,0.29±0.09,0.12±0.01,0.002±0.001,0.005±0.003,31.69±5.76,402±17.8,0.82±0.79,18.57±0.13,0.23±0.05
D064,"Plantain, stem",(Musa x paradisiaca),6,32.82±9.01,0.10±0.05,,0.001±0.001,0.003±0.002,16.31±1.61,373±1.7,0.45±0.272,23.17±2.40,0.14±0.10
D065,"Pumpkin, gree maxima)","n, cylindrical (Cucurbita",1,13.27,0.08,,,,24.51,186,0.34,5.21,0.14
D066,"Pumpkin, oran maxima)","ge, round (Cucurbita",6,10.43±2.35,0.07±0.02,,,,22.18±7.47,253±39.2,0.37±0.17,8.81±0.09,0.11±0.04
D067,"Red gram, tend cajan)","er, fresh (Cajanus",1,56.95,0.53,0.05,0.149,0.121,141,616,2.19,2.54,1.10
D068,Ridge gourd (L,uffa acutangula),6,16.15±2.57,0.11±0.04,,0.003±0.001,0.012±0.005,33.06±5.97,118±4.0,0.59±0.28,4.71±0.20,0.22±0.06
D069,"Ridge gourd, s acutangula)",mooth skin (Luffa,3,17.66±2.71,0.15±0.02,,0.003±0.001,0.014±0.002,39.25±4.18,125±4.1,,6.27±0.03,0.26±0.05
D070,"Snake gourd, l (Trichosanthes","ong, pale green anguina)",6,18.70±5.79,0.14±0.06,,0.002±0.001,0.012±0.005,23.27±3.04,100±18.6,,7.07±1.20,0.14±0.02
D071,"Snake gourd, l (Trichosanthes","ong, dark green anguina)",2,21.70,0.19,,0.001,0.017,31.03,104,,5.04,0.20
D072,"Snake gourd, s anguina)",hort (Trichosanthes,1,15.07,0.11,,0.002,0.007,21.33,84.00,,2.50,0.11
D073,"Tinda, tender (",Praecitrullus fistulosus),6,18.96±4.68,0.10±0.01,,0.001±0.000,0.012±0.002,30.37±2.47,56.18±3.68,0.22±0.06,20.61±4.52,0.20±0.01
D074,"Tomato, green esculentum)",(Lycopersicon,6,13.57±2.84,0.12±0.04,,0.005±0.002,0.007±0.005,22.50±3.04,225±10.5,8.25±1.97,13.11±2.73,0.16±0.03
D075,"Tomato, ripe, h esculentum)",ybrid (Lycopersicon,6,11.86±2.87,0.09±0.02,,0.008±0.012,0.003±0.002,15.45±2.11,167±18.9,,11.86±2.83,0.11±0.02
D076,"Tomato, ripe, l esculentum)",ocal (Lycopersicon,6,13.65±2.13,0.09±0.01,,,,18.77±3.79,204±34.1,,9.73±2.51,0.12±0.02
