edoc dooF,Fo,od Name,,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
E018,"Dates, dry, dark b dactylifera)",rown (Ph,oenix,2,75.23,0.84,,0.004,0.022,70.26,782,0.77,3.09,0.58
E019,"Dates, processed",(Phoenix,dactylifera),2,14.34,0.44,,0.003,0.035,33.88,289,0.46,1.60,0.42
E020,Fig (Ficus carica),,,6,26.18±2.34,0.07±0.01,,,0.013±0.003,21.62±1.97,231±7.2,,2.37±1.29,0.22±0.01
E021,Goosberry (Embli,ca officinal,is),5,6.50±0.93,0.11±0.02,,0.001±0.000,0.010±0.003,21.85±1.87,223±12.6,,1.37±0.19,0.05±0.01
E022,"Grapes, seeded, vinifera)","round, bla",ck (Vitis,4,7.47±0.92,0.08±0.03,,,0.003±0.002,21.04±3.63,171±26.5,,1.93±0.19,0.05±0.02
E023,"Grapes, seeded, vinifera)","round, gre",en (Vitis,5,6.87±1.10,0.07±0.01,,,0.002±0.001,19.50±3.45,166±28.0,,1.89±0.19,0.05±0.01
E024,"Grapes, seeded, vinifera)","round, red",(Vitis,5,7.06±0.84,0.11±0.01,,,0.003±0.002,27.91±4.51,188±10.2,,1.59±0.71,0.07±0.01
E025,"Grapes, seedless vinifera)",", oval, bla",ck (Vitis,5,11.29±1.79,0.15±0.02,,0.007±0.003,0.043±0.013,29.02±4.16,237±11.1,,1.83±0.74,0.10±0.02
E026,"Grapes, seedless vinifera)",", round, g",reen (Vitis,5,8.43±1.73,0.07±0.02,,,0.002±0.000,20.27±1.20,168±20.4,,1.81±1.02,0.05±0.01
E027,"Grapes, seedless vinifera)",", round, b",lack (Vitis,5,10.80±1.71,0.15±0.02,,0.003±0.002,0.005±0.002,26.68±3.14,235±9.8,,1.92±0.75,0.09±0.02
E028,"Guava, white fles",h (Psidium,guajava),5,15.26±2.22,0.22±0.07,,,0.009±0.002,23.54±3.12,283±47.1,1.84±0.64,2.87±0.09,0.23±0.03
E029,"Guava, pink flesh",(Psidium,guajava),5,13.26±1.32,0.16±0.03,,0.003±0.002,0.014±0.003,29.93±7.85,270±11.6,2.10±1.06,1.89±0.06,0.21±0.01
E030,"Jack fruit, ripe (A heterophyllus)",rtocarpus,,5,31.84±5.19,0.35±0.17,,,0.005±0.003,23.02±9.21,279±58.8,,1.62±0.08,0.17±0.07
E031,"Jambu fruit, ripe",(Syzygium,cumini),2,27.97,0.04,,,0.016,9.60,103,,2.64,0.06
E032,Karonda fruit (Ca,rissa caran,das),1,24.45,0.24,0.07,0.006,0.010,32.62,351,1.57,2.55,0.25
E033,"Lemon, juice (Citr",us limon),,6,8.90±0.55,0.02±0.00,,0.009±0.006,0.001±0.000,9.86±0.52,113±19.1,,1.21±0.23,0.08±0.02
E034,"Lime, sweet,pulp",(Citrus lim,etta),6,15.40±1.42,0.04±0.01,,0.001±0.001,0.001±0.000,20.55±1.27,182±39.4,0.72±0.46,1.17±0.45,0.05±0.01
E035,Litchi (Nephelium,litchi),,4,14.58±1.67,0.04±0.01,,,0.007±0.002,23.32±3.13,161±35.6,0.46±0.22,0.54±0.14,0.24±0.09
E036,"Mango, ripe, ban indica)",ganapalli (,Mangifera,6,13.35±1.07,0.22±0.08,,,0.007±0.002,11.07±2.00,144±15.3,1.91±0.745,1.34±0.06,0.12±0.04
E037,"Mango, ripe, gula indica)",bkhas (M,angifera,2,11.53,0.11,,,0.001,10.66,115,2.05,1.39,0.06
E038,"Mango, ripe, him indica)",sagar (Ma,ngifera,3,12.07±0.78,0.17±0.04,,,0.005±0.004,12.25±4.15,137±17.7,1.90±0.49,1.31±0.02,0.12±0.07
