edoc dooF,,Food Name,,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
E039,"Mango, ripe, k",esar (Mangifer,a indica),4,12.53±1.19,0.22±0.07,,,0.004±0.002,12.36±0.38,143±21.5,1.85±0.41,1.43±0.03,0.10±0.04
E040,"Mango, ripe, n",eelam (Mangif,era indica),2,10.10,0.07,,,,11.63,137,1.36,1.20,0.07
E041,"Mango, ripe, p",aheri (Mangife,ra indica),2,14.28,0.24,,,0.003,15.18,153,1.44,1.63,0.20
E042,"Mango, ripe, to",tapari (Mangi,fera indica),1,12.55,0.32,,,0.004,9.87,160,1.85,1.32,0.08
E043,Mangosteen (G,arcinia mango,stana),1,12.00,0.04,0.03,0.002,5.183,7.18,46.93,,3.79,0.21
E044,Manila tamarin,d (Pithecellobi,um dulce),1,32.98,0.27,,,,73.53,376,,1.35,0.56
E045,"Musk melon, o melon)",range flesh (C,ucumis,5,11.62±3.20,0.04±0.01,,,0.006±0.003,17.28±1.65,206±41.9,0.88±0.32,14.94±2.71,0.09±0.03
E046,"Musk melon, y melon)",ellow flesh (C,ucumis,6,9.81±2.68,0.04±0.01,,,0.006±0.002,13.09±2.91,196±42.2,1.35±0.48,15.78±3.74,0.09±0.02
E047,"Orange, pulp (",Citrus aurantiu,m),6,11.05±0.52,0.02±0.00,,0.001±0.001,0.001±0.000,12.90±4.47,164±23.6,0.19±0.16,1.47±0.05,0.04±0.01
E048,"Palm fruit, ten",der (Borassus,flabellifer),1,,,,,,,158,,1.25,0.05
E049,"Papaya, ripe (C",arcia papaya),,6,10.97±2.21,0.03±0.00,,0.001±0.000,0.002±0.001,17.73±3.53,173±12.4,12.78±5.71,6.68±0.16,0.08±0.03
E050,Peach (Prunus,communis),,1,8.06,0.05,0.01,0.713,0.138,19.08,281,0.67,1.15,0.10
E051,Pear (Pyrus sp.,),,6,7.61±1.23,0.08±0.01,,,0.008±0.004,6.74±1.79,106±6.6,,1.64±0.08,0.07±0.02
E052,Phalsa (Grewia,asiatica),,2,76.92,0.47,0.17,0.003,0.006,23.65,362,3.53,1.99,0.48
E053,Pineapple (An,anas comosus,),6,12.68±4.32,1.28±0.35,,,0.017±0.004,13.56±4.36,143±22.2,0.08±0.06,1.43±0.10,0.10±0.02
E054,Plum (Prunus d,omestica),,3,7.79±1.00,0.06±0.02,0.01±0.00,0.115±0.162,0.052±0.023,13.83±3.85,162±3.3,0.56±0.04,1.55±0.09,0.10±0.04
E055,"Pomegranate, granatum)",maroon seed,s (Punica,6,11.07±0.96,0.13±0.03,,,0.005±0.003,27.20±10.01,206±32.9,0.55±0.22,2.13±0.10,0.18±0.04
E056,Pummelo (Citr,us maxima),,3,6.83±1.69,0.01±0.00,0.03±0.01,0.001±0.000,,13.99±1.75,189±15.4,,1.06±0.49,0.06±0.01
E057,"Raisins, dried,",black (Vitis vi,nifera),6,33.76±6.09,0.52±0.09,,0.016±0.020,0.025±0.004,77.62±8.95,1105±145,1.86±0.98,10.99±1.77,0.22±0.07
E058,"Raisins, dried,",golden (Vitis,vinifera),6,28.32±6.15,0.41±0.06,,0.011±0.015,0.018±0.007,93.30±7.18,913±59.9,1.72±0.45,10.16±0.04,0.25±0.05
