,,,,,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
F011,"Radish, round, red sativus)",skin (R,aphanus,1,0.17,,,35.76,0.003,,0.03,0.42,,
F012,"Radish, round, whit sativus)",e skin,(Raphanus,2,0.08,,,34.23,0.002,0.001,0.04,0.41,,
F013,"Sweet potato, brow batatas)",n skin,(Ipomoes,4,,0.15±0.16,0.001±0.000,27.50±5.24,0.002±0.001,0.002±0.002,0.17±0.02,0.35±0.03,,
F014,"Sweet potato, pink batatas)",skin (Ip,omoes,3,,0.09±0.04,,28.93±3.24,0.002±0.001,0.001±0.001,0.15±0.03,0.51±0.16,,
F015,Tapioca (Manihot es,culenta,),3,0.26±0.18,,,25.89±6.52,0.005±0.001,0.002±0.001,0.19±0.04,0.81±0.18,0.001±0.001,0.001±0.001
F016,Water Chestnut (Ele,ochari,s dulcis),1,0.11,0.60,0.001,37.15,0.014,0.003,0.19,0.77,0.029,0.113
F017,"Yam, elephant (Amo campanulatus)",rphoph,allus,6,0.72±0.19,,0.001±0.001,46.91±5.12,0.009±0.003,0.006±0.004,0.17±0.04,1.22±0.11,0.001±0.001,0.001±0.000
F018,"Yam, ordinary (Amo campanulatus)",rphoph,allus,4,0.46±0.14,,,16.19±2.79,0.006±0.002,0.001±0.000,0.23±0.08,0.77±0.22,,
F019,"Yam, wild (Dioscore",a versic,olor),2,,0.21,0.001,44.13,,0.003,0.21,1.04,0.006,
G,CONDIMENTS,AND,SPICES-FR,ESH,,,,,,,,,,
G001,"Chillies, green-1 (C",apsicu,m annum),5,0.35±0.24,,,24.10±7.08,0.006±0.002,0.003±0.002,0.19±0.06,1.46±0.30,0.001±0.000,0.006±0.002
G002,"Chillies, green-2 (C",apsicu,m annum),3,0.20±0.06,,0.000±0.001,16.86±2.36,0.004±0.001,0.003±0.001,0.15±0.03,1.24±0.38,0.001±0.001,0.008±0.002
G003,"Chillies, green-3 (C",apsicu,m annum),5,0.33±0.16,,0.001±0.001,18.04±3.56,0.004±0.003,0.005±0.004,0.14±0.06,1.25±0.08,,0.004±0.001
G004,"Chillies, green-4 (C",apsicu,m annum),3,0.32±0.16,,0.001±0.001,15.87±1.49,0.004±0.003,0.005±0.003,0.16±0.11,1.08±0.28,0.005±0.000,0.003±0.003
G005,"Chillies, green-5 (C",apsicu,m annum),2,0.27±0.20,,0.000±0.001,15.31±3.61,0.005±0.004,0.003±0.002,0.12±0.03,0.93±0.12,,0.004±0.001
G006,"Chillies, green-6 (C",apsicu,m annum),1,0.10,,0.001,24.82,0.003,0.005,0.14,0.75,,0.002
G007,"Chillies, green-7 (C",apsicu,m annum),1,2.09,,,16.85,0.002,0.006,0.09,1.23,,0.006
G008,"Chillies, green - all annum)",varieti,es (Capsicum,6,0.45±0.57,,0.001±0.001,18.45±4.86,0.005±0.002,0.004±0.003,0.15±0.06,1.20±0.30,0.002±0.002,0.005±0.003
G009,Coriander leaves (C,oriandr,um sativum),6,1.84±0.49,,,146±13.0,0.033±0.007,0.002±0.001,0.24±0.04,5.30±1.55,0.001±0.001,0.006±0.002
G010,Curry leaves (Murra,ya koe,nigii),6,4.10±0.44,7.42±1.16,0.002±0.000,659±77.4,0.060±0.012,0.005±0.002,0.46±0.09,8.67±0.42,0.037±0.018,0.051±0.033
