edoc dooF,Food Name,,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
F011,"Radish, round, red skin (R sativus)",aphanus,1,22.25,0.08,,0.016,0.003,28.27,308,0.22,32.27,0.18
F012,"Radish, round, white skin sativus)",(Raphanus,2,15.46,0.13,,0.005,0.009,29.47,287,0.13,24.14,0.17
F013,"Sweet potato, brown skin batatas)",(Ipomoes,4,17.37±4.75,0.28±0.24,,0.003±0.000,0.013±0.001,42.96±1.95,345±24.3,,29.60±5.32,0.16±0.05
F014,"Sweet potato, pink skin (Ip batatas)",omoes,3,21.05±3.95,0.20±0.03,,0.005±0.000,0.009±0.004,37.60±4.74,329±37.6,,29.04±3.64,0.14±0.03
F015,Tapioca (Manihot esculenta,),3,23.08±4.06,0.20±0.06,,,0.015±0.008,42.55±11.04,255±36.3,0.07±0.01,10.86±0.10,0.17±0.05
F016,Water Chestnut (Eleochari,s dulcis),1,57.43,0.57,0.02,0.007,0.011,62.83,382,2.43,13.08,0.67
F017,"Yam, elephant (Amorphoph campanulatus)",allus,6,33.51±7.66,0.28±0.07,,0.005±0.005,0.011±0.003,43.06±5.98,501±84.3,0.59±0.12,14.33±2.20,0.26±0.04
F018,"Yam, ordinary (Amorphoph campanulatus)",allus,4,30.40±3.90,0.14±0.10,,0.002±0.001,0.013±0.003,49.46±8.37,463±74.1,0.57±0.08,15.28±0.07,0.33±0.09
F019,"Yam, wild (Dioscorea versic",olor),2,31.75,0.37,0.21,0.002,0.020,55.94,654,0.56,12.80,0.31
G,CONDIMENTS AND,SPICES-FR,ESH,,,,,,,,,,
G001,"Chillies, green-1 (Capsicu",m annum),5,34.72±8.28,0.29±0.08,,0.002±0.002,0.014±0.002,62.16±14.29,431±53.8,,3.32±0.66,0.31±0.08
G002,"Chillies, green-2 (Capsicu",m annum),3,27.54±6.31,0.27±0.09,,0.002±0.002,0.041±0.027,51.72±9.20,321±41.7,,2.47±0.50,0.26±0.06
G003,"Chillies, green-3 (Capsicu",m annum),5,29.90±6.97,0.27±0.10,,0.002±0.002,0.032±0.017,50.24±12.28,317±72.7,,2.56±1.04,0.27±0.08
G004,"Chillies, green-4 (Capsicu",m annum),3,29.74±8.00,0.29±0.18,,0.001±0.001,0.032±0.035,42.79±2.85,318±25.0,,1.94±0.60,0.28±0.15
G005,"Chillies, green-5 (Capsicu",m annum),2,23.96±6.20,0.25±0.11,,0.001±0.001,0.021±0.014,44.35±15.69,317±66.7,,2.19±0.88,0.31±0.13
G006,"Chillies, green-6 (Capsicu",m annum),1,34.80,0.33,,0.006,,56.05,340,,2.43,0.29
G007,"Chillies, green-7 (Capsicu",m annum),1,26.71,0.28,,,0.034,45.58,319,,2.00,0.17
G008,"Chillies, green - all varieti annum)",es (Capsicum,6,29.51±7.13,0.28±0.10,,0.002±0.002,0.029±0.022,50.91±11.79,341±64.6,,2.50±0.80,0.27±0.09
G009,Coriander leaves (Coriandr,um sativum),6,72.68±14.20,0.96±0.25,,0.014±0.009,0.044±0.015,64.69±13.00,546±134,0.45±0.26,37.00±8.01,0.68±0.16
