edoc dooF,Food N,ame,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
G011,"Garlic, big clove (Alli",um sativum),6,27.08±7.89,0.34±0.03,,0.001±0.000,0.019±0.009,119±10.9,430±84,,9.42±0.07,0.89±0.18
G012,"Garlic, small clove (",Allium sativum),3,25.78±4.86,0.32±0.11,,,0.026±0.016,116±27.9,453±126,0.37±0.07,10.56±0.05,0.81±0.17
G013,"Garlic, single clove, sativum)",Kashmir (Allium,1,41.13,0.13,,0.009,0.032,128,584,0.43,8.87,0.66
G014,"Ginger, fresh (Zinzib",er officinale),6,54.66±7.12,3.85±1.56,,0.002±0.001,0.030±0.017,44.36±2.16,407±49.5,,10.03±1.91,0.39±0.17
G015,Mango ginger (Curcu,ma amada),3,36.86±6.27,1.52±0.53,0.04±0.01,0.006±0.004,0.011±0.005,68.33±20.13,384±2.5,,5.51±1.29,0.47±0.14
G016,Mint leaves (Mentha,spicata ),4,110±30.9,1.06±0.57,0.21±0.00,0.020±0.000,0.042±0.000,65.25±16.18,539±2.7,10.79±1.48,16.87±5.37,0.75±0.08
G017,"Onion, big (Allium ce",pa),6,17.96±5.17,0.24±0.21,,,0.008±0.005,32.34±7.63,171±38.6,0.35±0.10,5.50±1.14,0.35±0.29
G018,"Onion, small (Allium",cepa),5,15.16±3.75,0.11±0.02,,0.003±0.000,0.005±0.002,39.65±9.90,160±34.8,1.02±0.77,4.06±0.06,0.24±0.04
G,CONDIMENTS,AND SPICES-DR,Y,,,,,,,,,,
G019,Asafoetida (Ferula a,ssa-foetida),6,96.40±17.98,2.96±1.11,,0.014±0.006,0.052±0.030,69.09±15.60,245±30.4,13.42±2.90,16.04±0.55,0.98±0.21
G020,"Cardamom, green (E cardamomum)",lettaria,6,330±66.1,37.98±1.44,,0.013±0.018,0.219±0.074,132±14.8,1262±14.4,11.71±2.73,15.51±0.70,3.71±0.31
G021,"Cardamom, black (E cardamomum)",lettaria,4,286±31.9,30.25±2.38,,0.006±0.001,0.234±0.183,117±18.7,1331±63.7,3.99±1.89,16.25±4.22,4.75±0.36
G022,"Chillies, red (Capsic",um annum),6,231±25.4,1.45±0.13,1.60±0.25,0.012±0.011,0.036±0.004,280±57.5,2245±145,18.83±2.09,19.45±3.60,1.66±0.12
G023,Cloves (Syzygium ar,omaticum),6,334±42.2,61.86±5.79,,0.008±0.004,0.060±0.021,83.10±18.56,1434±86.6,7.75±1.59,183±23.9,1.13±0.14
G024,Coriander seeds (Co,riandrum sativum),6,343±25.5,2.81±0.39,,0.011±0.005,0.143±0.024,293±54.4,1473±59.2,6.34±1.22,34.41±0.39,3.91±0.32
G025,Cumin seeds (Cumin,um cyminum),6,442±65.7,4.21±0.63,,0.015±0.006,0.164±0.063,382±6.4,1886±139,4.01±1.98,125±31.1,4.29±0.23
G026,Fenugreek seeds (Tr graecum),igonella foenum,6,167±35.6,1.60±0.33,,0.098±0.036,0.188±0.054,435±115,891±11.5,9.98±1.81,40.20±0.06,3.80±0.93
G027,Mace (Myristica fragr,ans),6,207±25.1,2.12±0.73,,0.013±0.009,0.259±0.093,110±17.7,623±25.9,7.24±3.15,27.17±6.81,1.16±0.15
G028,Nutmeg (Myristica fra,grans),6,212±25.0,3.42±0.17,,0.007±0.005,0.221±0.060,207±37.2,474±15.2,7.33±6.84,14.31±0.28,1.45±0.10
G029,Omum (Trachysperm,um ammi),6,273±22.3,6.86±0.92,,0.053±0.018,0.296±0.069,329±57.7,1692±246,87.04±10.70,28.58±0.29,5.67±0.46
