edoc dooF,,Food Nam,e,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
G031,"Pepper, b",lack (Piper nig,rum),6,196±68.8,7.50±1.22,,0.022±0.014,0.269±0.088,144±14.8,1487±178,12.13±2.48,24.08±3.85,1.24±0.43
G032,Poppy se,eds (Papaver,somniferum),6,393±60.9,7.14±1.11,,0.103±0.030,0.143±0.039,804±139,646±55.0,7.68±1.67,25.35±2.22,6.38±0.21
G033,Turmeric,powder (Curc,uma domestica),6,260±16.2,8.09±1.55,1.93±0.52,0.047±0.048,0.049±0.020,276±33.1,2374±172,6.41±1.34,24.41±2.48,2.64±0.25
H,NUTS,AND OIL S,EEDS,,,,,,,,,,,
H001,Almond (,Prunus amygd,alus),6,318±49.5,2.54±0.20,,0.033±0.012,0.130±0.027,446±23.2,699±43.4,3.61±1.30,1.50±0.51,3.50±0.10
H002,"Arecanut,","dried, brown",(Areca catechu),6,76.39±17.49,2.14±0.75,,0.005±0.003,0.111±0.057,105±8.3,524±43.4,15.21±4.09,12.06±1.47,0.89±0.11
H003,"Arecanut, catechu)","dried, red co",lor (Areca,3,91.01±14.45,2.32±0.84,,0.022±0.036,0.104±0.019,127±3.4,617±125,12.52±1.56,17.13±2.81,1.02±0.20
H004,"Arecanut,",fresh (Areca,catechu),2,47.60,1.36,,,,90.48,329,,5.53,0.56
H005,Cashew n,ut (Anacardiu,m occidentale),6,307±46.6,1.78±0.08,,0.025±0.011,0.607±0.145,500±35.3,635±35.2,13.08±1.07,9.00±0.19,5.34±0.27
H006,"Coconut,","kernal, dry (C",ocos nucifera),6,97.21±14.66,1.61±0.40,2.10±0.65,0.025±0.013,0.282±0.098,203±6.0,739±62.0,25.25±2.78,16.68±0.38,1.41±0.11
H007,"Coconut,","kernel, fresh",(Cocos nucifera),6,35±11.30,0.74±0.15,,0.012±0.008,0.050±0.025,67.73±15.15,246±81.2,,8.12±2.48,0.58±0.16
H008,Garden cr sativum),"ess, seeds (L",epidium,5,307±11.9,2.87±0.35,,0.033±0.007,0.128±0.045,539±50.7,952±41.7,54.41±4.38,21.84±3.57,4.83±0.97
H009,Gingelly s indicum),"eeds, black (",Sesamum,6,390±53.1,2.53±0.32,,0.075±0.021,0.262±0.100,568±96.4,480±8.7,15.70±1.67,15.91±0.56,8.59±0.69
H010,Gingelly s indicum),"eeds, brown",(Sesamum,4,328±13.3,1.76±0.19,,0.114±0.029,0.113±0.030,613±86.8,491±7.5,52.64±8.89,11.94±0.17,7.84±0.93
H011,Gingelly s indicum),"eeds, white (",Sesamum,5,372±39.9,1.74±0.15,,0.126±0.036,0.116±0.039,754±42.6,460±38.9,26.74±2.78,15.43±0.70,7.77±0.67
H012,Ground n,ut (Arachis hy,pogea),6,197±15.5,1.62±0.07,1.37±0.00,0.108±0.024,0.174±0.065,391±13.0,679±48.9,3.41±0.74,12.21±0.47,3.18±0.14
H013,Mustard s,eeds (Brassic,a juncea),6,266±47.3,4.23±1.18,,0.028±0.010,0.076±0.036,715±82.1,694±112,71.47±15.33,3.97±1.01,4.03±0.26
H014,Linseeds,(Linum usitati,ssimum),6,349±19.8,2.14±0.23,,0.022±0.009,0.171±0.052,445±20.1,655±45.6,46.87±9.22,32.93±6.45,4.86±0.25
