edoC dooF,Foo,d Name,snoiger fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
M,EGG AND EG,G PRODUCTS,,,,,,,,,,,
M001,"Egg, poultry, whol","e, raw",6,12.01±0.50,0.02±0.01,,,,185±2.8,138±7.1,40.44±3.63,123±6.2,1.23±0.31
M002,"Egg, poultry, whit","e, raw",6,11.42±1.07,,,,,15.81±2.31,152±3.9,21.23±2.87,166±1.9,0.03±0.01
M003,"Egg, poultry, yolk,",raw,6,13.17±0.30,0.03±0.00,,,,549±18.2,118±7.7,51.44±1.97,46.33±2.16,1.64±0.32
M004,"Egg, poultry, whol","e, boiled",6,13.76±0.25,0.03±0.00,,,,209±16.3,127±1.4,46.12±3.87,121±2.8,1.31±0.11
M005,"Egg, poultry, whit","e, boiled",6,11.62±0.57,,,,,23±3.3,147±15.0,14.86±1.51,144±15.3,0.09±0.03
M006,"Egg, poultry, yolk,",boiled,6,15.52±2.19,0.05±0.01,,,,586±2.9,106±7.7,38.57±3.23,44.83±2.04,3.59±0.20
M007,"Egg, poultry, omle",t,3,14.84±0.34,0.02±0.00,,,,222±30.3,163±10.6,42.18±3.37,169±19.9,1.31±0.13
M008,"Egg, country hen,","whole, raw",1,11,0.02,,,,198,117,62.33,157,1.12
M009,"Egg, country hen,","whole, boiled",1,11,0.02,,,,206,120,52.65,149,1.25
M010,"Egg, country hen,",omlet,1,13,0.03,,,,243,151,58.63,157,1.26
M011,"Egg, duck, whole,",boiled,1,12,0.06,,,,263,221,43.66,110,1.58
M012,"Egg, duck, whole,",raw,1,12,0.06,,,,247,228,46.33,113,1.49
M013,"Egg, duck, whole,",omlet,1,15,0.08,,,,309,154,42.02,175,1.89
M014,"Egg, quial, whole,",raw,1,11,0.03,,,,236,119,50.63,132,1.51
M015,"Egg, quial, whole,",boiled,1,12,0.03,,,,237,115,42.60,130,1.55
N,POULTRY,,,,,,,,,,,,
N001,"Chicken, poultry, l","eg, skinless",4,23.82±1.59,0.03±0.01,,,0.01±0.00,199±13.7,283±28.5,20.22±1.67,65.07±13.68,1.77±0.14
N002,"Chicken, poultry, t","high, skinless",6,22.55±0.64,0.02±0.00,,,,186±12.6,263±33.7,18.69±2.12,64.59±14.32,1.42±0.07
N003,"Chicken, poultry,","breast, skinless",5,20.20±0.14,0.02±0.01,,,,178±0.5,295±15.6,18.56±2.12,36.70±3.29,0.78±0.30
