edoC dooF,,Food Name,snoiger fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
O006,"Goat, lu",ngs,4,11.48±1.33,0.04±0.00,0.07±0.03,0.02±0.00,0.01±0.00,209±8.5,180±19.4,26.00±6.96,85.72±22.56,1.70±0.32
O007,"Goat, h",eart,5,18±2.32,0.03±0.01,0.04±0.03,,0.01±0.00,174±21.0,224±26.8,15.00±3.00,73.21±10.98,1.45±0.16
O008,"Goat, li",ver,6,18±1.34,0.26±0.04,0.44±0.79,0.12±0.04,0.01±0.00,336±45.5,284±48.8,48.12±26.66,55.41±14.75,3.48±1.32
O009,"Goat, tr",ipe,5,13±2.07,0.07±0.03,0.15±0.07,,0.01±0.01,59.2±21.2,45±28.7,15.59±7.21,22.38±5.45,1.66±0.40
O010,"Goat, s",pleen,4,15.3±2.76,0.03±0.00,0.05±0.01,0.01±0.00,0.01±0.00,266±7.3,368±17.1,48.55±13.46,52.40±8.62,1.95±0.19
O011,"Goat, ki",dneys,4,18.6±2.65,0.08±0.01,0.38±0.11,0.01±0.00,0.01±0.00,220±8.1,195±43.7,142±47.6,184±21.3,1.73±0.07
O012,"Goat, tu",be (small intestine),3,7.14±1.99,0.05±0.02,0.05±0.03,0.01±0.00,0.03±0.00,55.9±16.5,130±5.4,26.09±10.09,7.46±2.01,1.12±0.55
O013,"Goat, te",stis,2,13.66,0.02,0.64,,,186,253,80.34,92.61,1.19
O014,"Sheep,",shoulder,5,21.31±3.01,0.02±0.01,0.07±0.03,0.01±0.00,0.01±0.00,195±24.9,336±61.6,22.36±7.31,45.65±11.25,3.69±0.53
O015,"Sheep,",chops,4,21.42±2.22,0.03±0.01,0.13±0.01,,0.01±0.00,191±20.0,323±49.9,20.82±9.63,45.26±10.93,3.46±0.71
O016,"Sheep,",leg,5,22.22±1.50,0.01±0.00,0.02±0.02,,,187±9.2,333±22.2,20.00±7.37,49.30±9.48,2.67±0.56
O017,"Sheep,",brain,1,14.08,0.04,0.02,,0.01,271,312,34.60,122,1.11
O018,"Sheep,",tongue,1,24.53,0.03,0.45,,0.02,207,220,23.20,185,2.46
O019,"Sheep,",lungs,2,11.68,0.03,0.07,0.01,0.01,187,204,16.12,109,1.58
O020,"Sheep,",heart,1,15.19,0.03,0.03,,0.01,163,225,33.30,72.62,1.31
O021,"Sheep,",liver,4,17.91±2.26,0.28±0.02,0.16±0.15,0.15±0.03,0.02±0.01,334±55.6,280±53.8,43.38±17.97,55.82±12.86,3.73±1.05
O022,"Sheep,",tripe,2,17.81,0.16,0.19,,0.01,55.61,48.75,13.92,18.37,1.89
O023,"Sheep,",spleen,1,17.23,0.04,0.04,0.04,0.01,266,327,64.53,50.58,1.71
O024,"Sheep,",kidneys,2,17.46,0.69,0.61,0.02,0.01,204,198,127,163,1.92
O025,"Beef, s",houlder,6,22.24±3.28,0.01±0.00,0.10±0.07,,,201±25.2,367±56.0,11.58±3.25,45.59±12.45,4.64±0.38
O026,"Beef, c",hops,4,24.72±4.70,0.01±0.00,0.24±0.39,,,209±42.2,383±73.0,11.54±4.42,32.47±4.39,3.77±1.08
