edoC dooF,Food Name,snoiger fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
O028,"Beef, brain",4,15.84±2.93,0.03±0.01,0.04±0.01,,0.01±0.00,326±34.2,320±59.0,16.57±4.35,127±25.4,1.18±0.19
O029,"Beef, tongue",4,22.82±7.66,0.04±0.01,0.11±0.07,,0.01±0.00,220±61.6,260±57.4,15.16±2.49,89.88±20.41,3.31±0.35
O030,"Beef, lungs",3,11.60±1.19,0.07±0.09,0.07±0.02,0.01±0.00,0.01±0.00,172±15.0,216±37.2,16.69±5.47,109±14.5,1.52±0.20
O031,"Beef, heart",5,15.66±8.91,0.03±0.01,0.09±0.07,,,181±16.0,258±69.1,20.66±7.75,70.52±13.92,1.50±0.22
O032,"Beef, liver",6,18.57±2.85,0.25±0.08,0.46±0.25,0.10±0.02,0.02±0.01,332±61.4,289±58.2,20.20±5.44,50.14±3.83,4.36±1.97
O033,"Beef, tripe",5,9.33±2.12,0.03±0.02,0.08±0.03,,0.01±0.00,60.17±9.2,143±61.1,10.18±3.72,41.00±11.13,2.02±0.36
O034,"Beef, spleen",6,15.80±1.25,0.03±0.01,0.11±0.04,0.05±0.01,0.01±0.00,252±24.2,348±32.4,37.55±9.76,58.94±5.92,2.01±0.16
O035,"Beef, kidneys",3,14.70±6.6.8,0.05±0.02,0.78±0.18,0.01±0.01,,180±16.5,184±80.9,135±16.8,160±31.1,1.40±0.49
O036,"Calf, shoulder",2,22.71,0.01,0.07,,0.01,197,369,12.34,77.00,3.31
O037,"Calf, chops",2,20.77,,0.13,,0.01,195,366,12.53,64.94,3.29
O038,"Calf, round (leg)",2,22.28,0.01,0.05,,0.01,185,356,13.32,67.04,2.64
O039,"Calf, brain",2,14.29,0.03,0.03,,0.01,296,306,15.48,115,1.11
O040,"Calf, tongue",2,15.38,0.03,0.07,,0.01,178,238,10.57,91.64,2.67
O041,"Calf, heart",1,18.21,0.04,0.05,,0.01,185,224,11.86,58.00,1.63
O042,"Calf, liver",1,19.16,0.19,0.80,0.12,0.01,358,307,19.94,54.99,3.80
O043,"Calf, spleen",1,18.95,0.04,0.11,0.08,0.01,274,372,41.33,67.87,2.02
O044,"Calf, kidneys",2,17.35,0.06,1.33,0.01,0.01,204,206,91.31,174,1.58
O045,"Mithun, shoulder",1,18.86,0.01,0.08,,0.02,199,307,28.28,32.94,6.11
O046,"Mithun, chops",1,18.20,0.02,,,0.03,178,222,14.58,42.17,6.08
O047,"Mithun, round (leg)",1,22.23,0.01,,,0.06,190,338,14.81,28.42,3.47
O048,"Pork, shoulder",6,15.01±4.36,0.02±0.01,0.15±0.10,,,157±36.8,234±33.1,13.26±5.22,54.47±16.10,2.08±0.66
