,,,sn,Aluminium,Arsenic,Cadmium,Calcium,Chromium,Cobalt,Copper,Iron,Lead,Lithium
,ed,,oi,(Al),(As),(Cd),(Ca),(Cr),(Co),(Cu),(Fe),(Pb),(Li)
,oC,Food Name,ger,,,,,,,,,,
,do,,fo,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,oF,,.o,,,,,,,,,,
,,,N,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,O050,"Pork, ham",6,0.32±0.28,1.54±0.94,,7.40±2.16,0.015±0.012,,0.20±0.19,1.27±0.48,0.003±0.001,
,,,,,,,,,,,,,
,O051,"Pork, lungs",4,0.33±0.14,2.03±0.55,0.002±0.000,10.30±0.26,0.007±0.007,0.001±0.001,0.21±0.12,6.76±2.03,,
,,,,,,,,,,,,,
,O052,"Pork, heart",4,0.29±0.09,1.06±0.24,,4.74±0.91,0.011±0.004,,0.32±0.04,3.97±0.43,0.002±0.001,
,,,,,,,,,,,,,
,O053,"Pork, liver",5,0.33±0.27,1.64±0.89,0.003±0.004,5.52±0.27,0.007±0.002,0.003±0.003,0.66±0.31,20.74±7.24,0.002±0.001,
,,,,,,,,,,,,,
,O054,"Pork, stomach",1,0.44,5.94,,11.75,0.042,,0.74,1.92,0.006,
,,,,,,,,,,,,,
,O055,"Pork, spleen",3,0.26±0.22,1.83±1.59,0.003±0.003,6.98±2.93,0.018±0.018,,0.11±0.01,27.21±6.43,0.799±1.381,
,,,,,,,,,,,,,
,O056,"Pork, kidneys",5,0.11±0.02,1.80±1.89,0.022±0.014,6.71±0.55,0.012±0.008,0.001±0.001,0.53±0.19,6.26±2.55,0.002±0.001,
,,,,,,,,,,,,,
,O057,"Pork, tube (small intestine)",1,0.52,2.48,0.001,16.05,0.008,,0.11,2.83,0.007,
,,,,,,,,,,,,,
,O058,"Hare, shoulder",1,,,,57.51,0.002,,0.43,2.98,0.002,
,,,,,,,,,,,,,
1,,,,,,,,,,,,,
55,O059,"Hare, chops",1,,,,38.36,,,0.19,2.78,0.001,
,,,,,,,,,,,,,
,O060,"Hare, leg",1,,,,53.02,,,0.25,2.46,0.002,
,,,,,,,,,,,,,
,O061,"Rabbit, shoulder",1,,,,46.37,0.001,,0.64,1.74,0.003,
,,,,,,,,,,,,,
,O062,"Rabbit, chops",1,,,,25.48,,,0.08,2.42,0.002,
,,,,,,,,,,,,,
,O063,"Rabbit, leg",1,,,,22.31,,,0.18,1.21,0.003,
,,,,,,,,,,,,,
Table,,,,,,,,,,,,,
5.,,,,,,,,,,,,,
Minerals,,,,,,,,,,,,,
and,,,,,,,,,,,,,
Trace,,,,,,,,,,,,,
Elements,,,,,,,,,,,,,
