,,,,mgg,,mg,mg,mg,mg,mg,mg,mg,mg
,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
P,MARINE FI,SH,,,,,,,,,,,
P001,Allathi (Elops m,achnata),1,,,,13.78,0.012,,0.03,0.62,,
P002,Aluva (Parastro,mateus niger),3,,,0.001±0.000,11.32±2.07,0.011±0.007,0.001±0.000,0.04±0.01,0.42±0.02,0.004±0.002,0.003±0.002
P003,Anchovy (Stole,phorus indicus),2,,,0.003,36.60,0.016,,0.04,0.54,,0.011
P004,Ari fish (Aprion,virescens ),1,,,,4.36,0.002,,0.02,0.47,,0.002
P005,Betki (Lates cal,carifer),1,0.01,0.27,,8.84,0.014,,0.79,0.31,0.002,
P006,Black snapper,(Macolor niger),1,0.17,0.08,,9.91,0.046,,0.02,0.56,,
P007,Bombay d u c k (,Harpadon nehereus),2,0.67,7.68,0.001,159,0.010,0.001,0.03,0.81,0.003,0.004
P008,Bommu r a l u (M,uraenesox cinerius),3,,,,47.33±16.91,0.017±0.002,0.001±0.000,0.14±0.21,0.43±0.10,,0.002±0.001
P009,Cat f i s h (Tachy,surus thalassinus),1,,,,5.54,0.015,,0.03,0.72,,
P010,Cha k l a (Rachyc,entron canadum),5,,,,6.55±1.09,0.014±0.003,0.001±0.001,0.38±0.73,0.41±0.10,0.001±0.000,0.002±0.002
P011,Chappal (Aluter,us monoceros ),1,,,,10.22,0.014,,0.43,1.29,,0.001
P012,Chelu (Elagatis,bipinnulata),2,,,,8.17,0.009,,0.13,0.67,,0.002
P013,Chembali (Lutj,anus quinquelineatus),1,,,0.001,23.72,0.003,,0.03,0.31,,0.001
P014,Eri meen (Pristi filamentosus),pomoides,1,,,,12.45,0.001,,0.02,0.46,,0.001
P015,Go b r o (Epineph,elus diacanthus),2,,,,24.18,0.006,0.001,0.10,0.36,,0.001
P016,Guitar fish (Rhi,nobatus prahli),1,,,,17.32,0.024,0.001,0.03,0.44,,0.002
P017,Hilsa (Tenualos,a ilisha),2,0.59,0.18,0.001,19.82,0.006,0.001,0.15,1.19,,0.001
P018,Jallal (Arius sp.,),1,,,,14.73,0.003,,0.03,0.46,,0.002
P019,Jathi vela m e e,n (Lethrinus lentjan),2,,,,6.65,0.011,0.001,0.02,0.28,0.001,0.001
