Ta,,,,,,,,,,,,,,
ble,,,,sn,Magnesium,Manganese,Mercury,Molebdenum,Nickel,Phosphorus,Potassium,Selenium,Sodium,Zinc
5.,ed,,,oig,(Mg),(Mn),(Hg),(Mo),(Ni),(P),(K),(Se),(Na),(Zn)
Min,oC,Fis,h Name,eR,,,,,,,,,,
erals,doo,,,fo .,mg,mgg,,mg,mg,mg,mgg,,mg,mg
an,F,,,oN,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
d,,,,,,,,,,,,,,
Tr,,,,,,,,,,,,,,
ace,P,MARINE FI,SH,,,,,,,,,,,
El,,,,,,,,,,,,,,
em,P001,Allathi (Elops m,achnata),1,29.08,0.01,,,0.004,215,286,12.55,32.68,0.30
ents,,,,,,,,,,,,,,
,P002,Aluva (Parastro,mateus niger),3,34.38±1.63,0.01±0.00,,,0.004±0.001,245±13.9,470±61.3,35.15±8.07,44.86±6.80,0.38±0.02
,,,,,,,,,,,,,,
,P003,Anchovy (Stole,phorus indicus),2,53.00,0.07,,,0.004,246,270,56.22,212,0.65
,,,,,,,,,,,,,,
,P004,Ari fish (Aprion,virescens ),1,30.27,0.01,,,0.006,265,447,53.21,37.35,0.31
,,,,,,,,,,,,,,
,P005,Betki (Lates cal,carifer),1,24.16,0.01,5.87,,0.003,188,355,35.75,63.68,0.36
,,,,,,,,,,,,,,
,P006,Black snapper,(Macolor niger),1,26.72,0.01,6.88,0.001,0.007,195,341,14.40,41.23,0.40
,,,,,,,,,,,,,,
,P007,Bombay d u c k (,Harpadon nehereus),2,24.27,0.05,0.90,,0.006,185,188,25.45,223,0.42
,,,,,,,,,,,,,,
,P008,Bommu r a l u (M,uraenesox cinerius),3,27.13±4.91,0.03±0.03,,,0.005±0.002,207±29.5,349±27.7,18.01±5.16,61.87±2.43,0.67±0.21
158,,,,,,,,,,,,,,
,P009,Cat f i s h (Tachy,surus thalassinus),1,25.69,0.01,,,0.005,252,429,42.33,35.82,0.58
,,,,,,,,,,,,,,
,P010,Cha k l a (Rachyc,entron canadum),5,24.71±1.74,0.01±0.00,,0.001±0.000,0.006±0.002,219±59.3,343±43.7,58.99±7.35,51.41±11.15,0.57±0.38
,,,,,,,,,,,,,,
,P011,Chappal (Aluter,us monoceros ),1,25.85,0.01,,0.004,,203,306,52.37,38.12,0.67
,,,,,,,,,,,,,,
,P012,Chelu (Elagatis,bipinnulata),2,31.68,0.02,,,0.019,252,406,18.43,37.60,0.41
,,,,,,,,,,,,,,
,P013,Chembali (Lutj,anus quinquelineatus),1,30.55,0.02,,,0.002,211,323,15.65,38.98,0.32
,,,,,,,,,,,,,,
,,Eri meen (Pristi,pomoides,,,,,,,,,,,
,P014,filamentosus),,1,30.99,0.01,,,0.005,243,402,14.36,41.19,0.31
,,,,,,,,,,,,,,
,P015,Go b r o (Epineph,elus diacanthus),2,28.23,0.01,,,0.004,170,316,70.58,52.68,0.37
,,,,,,,,,,,,,,
,P016,Guitar fish (Rhi,nobatus prahli),1,27.45,0.01,,0.003,0.002,230,342,34.66,70.81,0.35
,,,,,,,,,,,,,,
,P017,Hilsa (Tenualos,a ilisha),2,30.62,0.08,0.52,,0.001,278,341,37.62,80.88,0.64
,,,,,,,,,,,,,,
,P018,Jallal (Arius sp.,),1,29.12,0.01,,,0.003,204,368,41.03,74.33,0.83
,,,,,,,,,,,,,,
,P019,Jathi vela m e e,n (Lethrinus lentjan),2,31.12,0.01,,0.001,0.003,249,467,12.35,30.53,0.35
,,,,,,,,,,,,,,
,P020,Kadal bral (Syn,odus indicus),1,29.55,0.02,,,0.002,219,366,52.85,53.66,0.38
