,,,sn,Magnesium,Manganese,Mercury,Molebdenum,Nickel,Phosphorus,Potassium,Selenium,Sodium,Zinc
e,,,,,,,,,,,,,
d,,,oi,(Mg),(Mn),(Hg),(Mo),(Ni),(P),(K),(Se),(Na),(Zn)
oC,F,ish Name,geR,,,,,,,,,,
do,,,fo,mg,mgg,,mg,mg,mg,mgg,,mg,mg
oF,,,.o,,,,,,,,,,
,,,N,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
,,,,,,,,,,,,,
,,,,,,,,,,,,,
P021,Kadali (Nemip,terus mesoprion),1,26.23,,,0.001,0.005,207,390,16.88,36.06,0.35
,,,,,,,,,,,,,
,Kalamaara (L,eptomelanosoma,,,,,,,,,,,
P022,indicum),,2,34.29,0.01,,0.001,0.003,227,420,57.99,29.33,0.38
,,,,,,,,,,,,,
P023,Kalava (Epine,phelus coioides),1,22.87,0.02,,,0.003,177,279,12.34,40.14,0.82
,,,,,,,,,,,,,
P024,Kanamayya (,Lutjanus rivulatus),2,27.07,0.01,,,0.003,194,346,5.60,50.53,0.31
,,,,,,,,,,,,,
P025,Kannadi pa a r,a i (Alectis indicus),3,32.36±2.43,0.01±0.00,,,0.005±0.002,252±47.7,432±47.8,23.26±0.15,59.57±15.15,0.40±0.05
,,,,,,,,,,,,,
P026,Karim e e n (Et,roplus suratensis),1,28.49,0.03,,,0.005,192,452,19.66,23.72,0.46
,,,,,,,,,,,,,
P027,Karnagaw a l a,(Anchoa hepsetus),1,44.30,0.02,,,0.004,178,228,16.45,63.27,0.41
,,,,,,,,,,,,,
P028,Kayrai (Thunn,us albacores),2,31.74,0.01,,,0.003,266,321,40.32,25.12,0.39
,,,,,,,,,,,,,
P029,Kiriyan (Atule,mate),1,31.98,0.03,,0.001,0.004,214,277,23.56,35.88,0.82
,,,,,,,,,,,,,
,,,,,,,,,,,,,
P030,Kite fish (Mob,ula kuhlii),1,28.46,0.01,,,0.005,231,387,15.69,59.03,0.55
,,,,,,,,,,,,,
P031,Korka (Terapo,n jarbua),1,28.55,0.02,,,0.007,229,349,51.96,43.30,1.47
,,,,,,,,,,,,,
,Kulam paarai,(Carangoides,,,,,,,,,,,
P032,fulvoguttatus),,1,30.79,0.01,,,0.008,244,366,21.51,49.17,0.52
,,,,,,,,,,,,,
P033,Maagaa (Poly,nemus plebeius),1,30.32,0.01,,,0.002,181,375,32.85,52.28,0.35
,,,,,,,,,,,,,
P034,Mack e r e l (Ra,strelliger kanagurta),3,37.46±10.04,0.02±0.00,,,0.002±0.001,231±18.6,309±36.8,64.08±9.98,83.01±12.99,0.67±0.11
,,,,,,,,,,,,,
P035,Manda cl a t h i,(Naso reticulatus),1,37.88,0.01,,0.003,0.006,320,431,22.56,58.50,0.37
,,,,,,,,,,,,,
P036,Matha (Acanth,urus mata),2,40.24,0.01,,,0.012,263,450,17.90,62.58,0.32
,,,,,,,,,,,,,
P037,Milk fish (Cha,nos chanos),1,35.38,0.02,,,0.003,292,301,62.25,42.98,2.43
,,,,,,,,,,,,,
P038,Moon fish (M,ene maculata),1,37.14,0.04,,,0.003,169,157,30.02,65.17,0.93
,,,,,,,,,,,,,
P039,Mullet (Mugil,cephalus),3,34.09±4.19,0.04±0.03,,,0.004±0.002,222±35.2,331±18.9,40.49±16.75,66.09±6.91,0.45±0.13
,,,,,,,,,,,,,
,Mural (Tylosur,us,,,,,,,,,,,
P040,crocodilus cro,codilus),1,27.10,0.01,,,0.001,224,330,26.36,110,0.71
,,,,,,,,,,,,,
P041,Myil m e e n (Is,tiophorus platypterus),2,30.08,0.02,,0.007,0.004,268,365,47.58,61.96,0.58
