,,,,,mgg,,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
P042,Nalla bontha (Epi,nep,helus sp.),1,,,,9.04,0.005,,0.02,0.31,,0.002
P043,Narba (Caranx se,xfas,ciatus),2,,,0.001,7.21,0.004,,0.10,1.11,0.004,0.002
P044,Paarai (Caranx he,ber,i),1,,,,13.52,0.011,,0.03,0.69,,0.001
P045,Padaya p p a (Can,thid,ermis maculata),1,,,0.001,9.83,0.003,0.001,0.58,0.33,0.001,0.001
P046,Pali kora (Panna,mic,rodon),1,,,,17.03,0.002,,0.01,0.42,,0.002
P047,Pamb a d a (Leptur,aca,nthus savala),2,,,,16.53,0.023,0.001,0.02,0.38,,0.004
P048,Pandukopa (Pse manchurica),udo,sciaena,1,,,,12.18,0.004,,0.03,0.47,,0.002
P049,Parava (Lactarius,lac,tarius),1,,,,29.12,0.006,,0.02,3.58,,0.002
P050,Parcus (Psettode,s er,umei),1,,,,21.08,0.005,,0.02,0.28,,0.002
P051,Parrot fish (Scaru,s g,hobban),1,,,,9.21,0.021,0.003,0.06,0.38,,
P052,Perinkilichai (Pin,jalo,pinjalo),1,,,,7.25,0.015,,0.02,0.29,,0.001
P053,Phopat (Corypha,ena,hippurus),4,,,,9.32±3.09,0.013±0.002,,0.05±0.01,0.47±0.05,0.015±0.006,
P054,Piranha (Pygoprit,is s,p.),1,,,,14.85,0.003,0.001,,0.50,,
P055,"Pomfret, black (P niger)",ara,stromateus,1,0.13,1.52,0.001,18.10,0.008,,0.07,0.78,,
P056,"Pomfret, snub no blochii)",se,(Trachinotus,2,,,0.001,6.57,0.002,,0.03,0.41,,0.001
P057,"Pomfret, w h i t e (P",am,pus argenteus),2,,,,13.64,0.011,0.004,0.05,0.31,,0.001
P058,Pranel (Gerres sp,.),,1,,,,21.88,0.003,0.001,0.03,0.41,,0.001
P059,Pulli paarai (Gna speciosus),than,odon,1,,,,21.84,0.014,0.001,0.04,0.35,,0.002
P060,Queen fish (Scom commersonianus),be,roides,3,,,,5.75±1.87,0.015±0.005,,0.05±0.01,0.49±0.09,,0.001±0.001
P061,Raai f i s h (Lobote,s su,rinamensis),2,,,0.001,11.09,0.016,0.001,0.03,0.46,,0.001
P062,Raai vanthu (Epi chlorostigma),nep,helus,1,,,,8.72,0.009,,0.03,0.36,,0.001
