edoC dooF,Fish,Na,me,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdenum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,,mg,mgg,,mg,mg,mg,mgg,,mg,mg
,,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
P042,Nalla bontha (Epi,nep,helus sp.),1,29.20,0.01,,,0.003,197,403,12.34,57.87,0.30
P043,Narba (Caranx se,xfas,ciatus),2,26.33,0.01,,,0.003,235,384,42.50,49.51,0.45
P044,Paarai (Caranx he,ber,i),1,27.59,0.01,,0.003,0.007,284,384,35.63,45.22,0.45
P045,Padaya p p a (Cant,hide,rmis maculata),1,28.98,0.02,,,0.006,256,490,62.35,33.87,1.48
P046,Pali kora (Panna,mic,rodon),1,28.00,0.01,,,0.001,195,364,32.15,54.85,0.38
P047,Pamb a d a (Leptur,acan,thus savala),2,29.87,0.02,,,0.002,170,263,13.58,82.65,0.41
P048,Pandukopa (Pse manchurica),udo,sciaena,1,29.15,0.01,,,0.004,203,427,15.65,49.15,0.33
P049,Parava (Lactarius,lac,tarius),1,32.52,0.03,,0.001,0.009,194,363,11.54,84.08,0.56
P050,Parcus (Psettode,s er,umei),1,28.84,0.02,,,0.004,218,446,16.23,64.38,0.33
P051,Parrot fish (Scaru,s g,hobban),1,28.88,0.02,,0.004,0.003,316,432,64.52,51.79,0.31
P052,Perinkilichai (Pin,jalo,pinjalo),1,29.01,0.01,,,0.003,236,365,26.33,34.16,0.36
P053,Phopat (Corypha,ena,hippurus),4,32.27±2.78,0.01±0.00,,,0.007±0.004,258±21.3,439±12.1,65.53±7.30,36.20±2.65,0.36±0.06
P054,Piranha (Pygoprit,is s,p.),1,23.41,0.02,,,0.003,170,323,28.22,38.97,0.43
P055,"Pomfret, black ( niger)",Par,astromateus,1,28.22,0.02,1.70,,0.005,195,295,50.25,69.09,0.50
P056,"Pomfret, snub no blochii)",se,(Trachinotus,2,29.85,0.01,,,0.004,247,483,30.62,36.10,0.92
P057,"Pomfret, w h i t e (P",am,pus argenteus),2,32.20,0.02,,0.001,0.003,211,255,29.33,46.09,0.53
P058,Pranel (Gerres sp,.),,1,26.26,0.02,,,0.003,166,251,63.35,52.37,0.55
P059,Pulli paarai (Gna speciosus),than,odon,1,31.12,0.01,,,0.002,232,335,53.25,58.56,0.52
P060,Queen fish (Scom commersonianus),be,roides,3,28.10±2.72,0.01±0.00,,0.001±0.000,0.006±0.003,235±17.8,440±17.8,39.82±11.13,48.93±9.31,0.35±0.02
P061,Raai f i s h (Lobote,s su,rinamensis),2,21.99,0.02,,,0.003,213,347,7.92,47.62,0.36
P062,Raai vanthu (Epi chlorostigma),nep,helus,1,27.39,0.01,,,0.006,178,311,16.53,50.83,0.35
