edoC dooF,Fish N,ame,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdenum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,mg,mgg,,mg,mg,mg,mgg,,mg,mg
,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
P063,Rani (Pink perch),,1,29.91,0.02,4.53,,0.001,208,335,40.12,63.17,0.40
P064,"Ray fish, bow head ancylostoma)",", spotted (Rhina",1,19.25,0.01,,,0.003,196,353,44.37,105,0.49
P065,Red snapper (Lutjan argentimaculatus),us,1,32.65,0.01,,,0.003,204,446,12.84,59.89,0.34
P066,"Red snapper, small hamrur)",(Priacanthus,1,31.03,0.01,,,0.004,204,327,23.65,38.97,0.40
P067,Sadaya (Platax orbic,ularis),1,26.27,0.02,,,0.033,221,360,23.55,49.41,0.68
P068,Salmon (Salmo sala,r),1,31.18,0.01,,0.003,0.005,211,345,36.34,20.25,0.51
P069,Sang a d a (Nemipter,us japanicus),1,28.37,0.09,,,0.003,211,217,26.00,77.82,0.32
P070,Sankata pa a r a i (Car,anx ignobilis),1,27.53,0.01,,,0.001,246,379,33.02,22.33,0.39
P071,Sardine (Sardinella,longiceps),1,24.39,0.02,1.49,,0.003,191,228,50.21,38.49,0.89
P072,Shark (Carcharhinu,s sorrah),2,32.58,0.02,,0.002,0.005,263,372,28.90,63.63,0.46
P073,"Shark, hammer hea mokarran)",d (Sphyrna,1,25.11,0.02,3.74,,0.008,200,304,50.31,53.55,0.40
P074,"Shark, spotted (Ste fasciatum)",gostoma,1,19.05,0.02,,,0.003,179,318,62.32,131,0.55
P075,Shelavu (Sphyraena,jello),4,29.90±6.95,0.01±0.00,,,0.006±0.003,251±28.2,453±51.9,30.81±3.61,38.73±5.26,0.42±0.12
P076,Silan (Silonia silondi,a),1,22.64,0.02,0.21,,,163,223,20.23,29.39,0.58
P077,Silk fish (Beryx sp.),,1,27.13,0.01,,,0.004,211,440,16.59,41.57,0.34
P078,Silver carp (Hypoph molitrix),thalmichthys,1,24.97,0.03,1.81,,0.005,187,249,72.55,19.60,0.57
P079,Sole fish (Cynoglos,sus arel),1,27.96,0.07,,,0.003,123,199,40.22,74.57,0.17
P080,Stingray (Dasyatis p,astinaca),1,24.61,0.01,1.54,,0.004,174,270,23.85,64.14,0.44
P081,Tarlava (Drepane pu,nctata),2,30.10,0.01,,0.001,0.005,199,370,23.42,67.40,0.31
P082,Tho l a m (Plectorhinc,hus schotaf),2,26.14,0.01,,0.001,0.004,241,382,46.23,28.00,0.36
